Date,Symbol,Open,High,Low,Close,Volume,Deliverable Volume
2021-08-23,CIPLA,898.0,908.0,888.65,898.35,2081206,769857
2021-08-24,CIPLA,903.0,919.55,897.65,917.65,2588128,1073135
2021-08-25,CIPLA,917.0,923.6,905.95,912.6,1697757,645068
2021-08-26,CIPLA,912.6,916.75,906.3,911.3,1522032,688032
2021-08-27,CIPLA,913.8,925.45,907.5,923.9,1878603,678262
2021-08-30,CIPLA,924.0,936.5,920.45,934.7,2016968,1087070
2021-08-31,CIPLA,935.0,949.7,930.3,947.8,2463088,1430887
2021-09-01,CIPLA,949.0,954.9,920.0,922.85,4434153,2197402
2021-09-02,CIPLA,927.0,960.0,923.4,955.25,3688123,1274557
2021-09-03,CIPLA,956.1,963.0,930.65,941.1,3110583,1105772
2021-09-06,CIPLA,945.85,958.0,942.65,950.2,1699875,401700
2021-09-07,CIPLA,950.2,957.3,944.05,950.5,1113880,376293
2021-09-08,CIPLA,948.0,953.15,940.0,951.8,1600457,783719
2021-09-09,CIPLA,951.15,952.1,926.0,949.3,3769007,2688693
2021-09-13,CIPLA,946.0,953.9,942.55,950.45,865538,457854
2021-09-14,CIPLA,954.8,958.35,949.6,953.15,1373821,864685
2021-09-15,CIPLA,955.0,956.6,948.3,952.95,2509424,1977518
2021-09-16,CIPLA,954.5,964.8,950.2,954.0,3574908,1984930
2021-09-17,CIPLA,960.0,962.5,948.05,954.05,2006356,1120877
2021-09-20,CIPLA,953.0,953.0,929.8,938.1,2308294,1531033
2021-09-21,CIPLA,935.0,959.0,933.0,956.1,2438464,1265090
2021-09-22,CIPLA,952.25,974.25,951.65,963.5,2267730,1226519
2021-09-23,CIPLA,965.45,970.0,959.5,968.1,1297533,730251
2021-09-24,CIPLA,969.6,983.4,960.45,967.65,1803409,753558
2021-09-27,CIPLA,965.0,970.05,952.3,962.7,1217035,631070
2021-09-28,CIPLA,960.5,977.0,950.8,971.0,1542732,803586
2021-09-29,CIPLA,970.5,1005.0,965.15,987.6,4052980,1216272
2021-09-30,CIPLA,988.0,999.75,976.35,983.55,2312926,981890
2021-10-01,CIPLA,980.0,991.9,973.1,986.2,1948517,847560
2021-10-04,CIPLA,986.0,996.95,954.9,957.5,4097873,1629812
2021-10-05,CIPLA,961.8,961.9,928.45,934.55,4986700,2375257
2021-10-06,CIPLA,935.55,938.55,911.15,913.45,2615582,1360327
2021-10-07,CIPLA,920.0,922.25,898.0,916.05,7008049,3545300
2021-10-08,CIPLA,923.0,929.45,911.65,917.1,2075219,713480
2021-10-11,CIPLA,922.8,923.15,910.0,913.75,1449593,749698
2021-10-12,CIPLA,913.5,924.7,907.85,915.95,1164581,399775
2021-10-13,CIPLA,921.65,924.45,912.05,913.5,1821818,926359
2021-10-14,CIPLA,917.45,920.5,909.9,911.35,913675,360635
2021-10-18,CIPLA,911.35,915.9,899.5,903.75,1913667,1050664
2021-10-19,CIPLA,906.0,917.3,903.25,906.2,1360282,650163
2021-10-20,CIPLA,905.0,912.7,900.0,905.9,1941581,1050989
2021-10-21,CIPLA,914.45,917.9,901.6,911.55,2723509,1612662
2021-10-22,CIPLA,911.55,915.0,889.35,896.35,1360319,528786
2021-10-25,CIPLA,895.9,913.0,890.0,901.85,1901039,408040
2021-10-26,CIPLA,908.9,914.15,900.0,907.5,1405411,543805
