Date,Open,High,Low,Close,Volume,Deliverable Volume,DeliverablePct
2020-08-30,140.7,143.95,138.65,139.05,54903700,17312249,31.532026074745417
2020-09-06,139.25,142.15,130.7,132.45,73318736,17774763,24.243138888810083
2020-09-13,133.0,133.8,124.65,125.1,53786288,18554556,34.49681450409815
2020-09-20,126.0,126.85,122.9,123.65,59611218,23568381,39.53682174385365
2020-09-27,123.65,124.15,113.9,117.1,60865928,19575108,32.16102775924159
2020-10-04,117.9,121.55,114.65,117.25,45510058,11521341,25.316032337291244
2020-10-11,117.95,119.5,112.3,114.9,58926141,19101825,32.4165551584313
2020-10-18,115.3,115.5,109.55,111.35,65028787,20976952,32.257947545600075
2020-10-25,112.5,118.2,111.25,117.7,80617361,22359489,27.73532738190227
2020-11-01,117.9,117.9,110.55,114.2,60785349,13825273,22.74441658630602
2020-11-08,114.6,122.4,113.55,121.8,66301868,17592211,26.533507321392513
2020-11-15,122.9,127.5,120.65,127.1,109941172,34168496,31.078890081324584
2020-11-22,128.3,129.3,120.15,121.45,86073605,27451717,31.893304573451992
2020-11-29,121.25,127.4,119.75,125.55,97273524,34880439,35.85810153233474
2020-12-06,126.0,134.95,124.7,133.3,75213503,22554545,29.987361444925654
2020-12-13,133.3,140.7,132.8,138.25,96835014,30266813,31.256063018692803
2020-12-20,139.65,146.0,139.1,141.7,96504783,25992776,26.934184184425348
2020-12-27,141.4,141.5,129.35,136.25,61999716,15234331,24.571614166748766
2021-01-03,139.9,139.9,134.2,135.35,72781950,21258543,29.208537281565008
2021-01-10,136.85,140.95,133.8,139.7,83437528,30915377,37.052124794492954
2021-01-17,140.5,148.8,140.3,143.25,99780989,29222623,29.2867642352192
2021-01-24,143.3,143.9,132.5,133.2,63496888,17559251,27.653719029505826
2021-01-31,134.9,135.5,125.25,125.9,49034767,15503464,31.617289014547577
2021-02-07,126.4,144.3,125.85,140.85,104459111,33031413,31.62138054190409
2021-02-14,141.05,143.45,132.75,133.85,59703744,15266765,25.57086704646194
2021-02-21,134.5,143.2,132.0,139.25,76256967,19646686,25.763791523468278
2021-02-28,138.85,163.0,135.1,152.2,258052115,53533619,20.745274263688945
2021-03-07,155.5,157.3,149.7,151.1,91967987,26672333,29.00175797041203
2021-03-14,153.9,156.0,148.5,150.5,58973509,16860297,28.58961131175016
2021-03-21,146.45,148.05,133.5,136.3,90893233,41046179,45.15867424365904
2021-03-28,137.6,137.6,127.05,129.6,59302048,22115767,37.2934287193589
2021-04-04,131.0,134.45,130.0,132.15,41711375,18446316,44.223706363072424
2021-04-11,131.9,133.75,128.05,129.5,40839570,14518648,35.55044286705271
2021-04-18,128.0,130.8,123.6,127.85,38426995,12736000,33.14336705225064
2021-04-25,125.6,127.25,123.4,126.15,32378376,11183454,34.5398855087729
2021-05-02,127.75,134.6,126.5,133.05,50899446,15303859,30.066847878855107
2021-05-09,133.0,138.0,131.2,136.85,45344298,12782812,28.190561027099815
2021-05-16,137.1,159.7,137.1,146.8,177779764,37123796,20.8819019469505
2021-05-23,147.0,152.5,144.0,147.2,87364648,20738243,23.737568312528428
2021-05-30,148.1,150.0,144.1,146.9,75106240,25432737,33.8623488541032
2021-06-06,147.05,154.4,145.05,153.1,70494066,22853140,32.41853009301521
2021-06-13,156.0,165.0,152.8,162.65,147576816,35415776,23.998197657279718
2021-06-20,164.0,164.0,145.1,146.4,115696478,32785542,28.337545417761117
2021-06-27,146.0,150.6,143.5,148.75,55845638,19997063,35.807743838471325
2021-07-04,147.1,149.0,143.95,147.65,69187574,29941169,43.275356063214474
2021-07-11,148.0,150.7,145.3,146.7,43361387,18620230,42.941961243075546
2021-07-18,146.8,149.4,145.3,145.55,35021653,16262658,46.43600917409581
