Date,Open,High,Low,Close,Volume,Deliverable Volume,DeliverablePct
2020-08-30,1988.0,2024.45,1920.15,2001.45,662589,200348,30.237145500453522
2020-09-06,2020.0,2035.0,1880.5,1919.1,624437,121881,19.518542302906457
2020-09-13,1922.0,2102.9,1885.0,2090.6,2258783,246703,10.921943365077565
2020-09-20,2087.3,2272.0,2062.8,2193.7,2684962,297299,11.072745163618702
2020-09-27,2205.0,2325.85,2057.4,2304.35,3299392,467085,14.156699173665935
2020-10-04,2328.05,2420.0,2280.0,2335.8,1690286,320197,18.943362247572303
2020-10-11,2354.8,2554.9,2322.0,2466.45,2560022,365350,14.271361730485129
2020-10-18,2467.0,2814.0,2467.0,2577.2,6919766,889429,12.85345487116183
2020-10-25,2588.0,2635.9,2340.0,2380.1,4560901,822428,18.032138825201425
2020-11-01,2365.0,2399.15,2165.55,2205.65,9179208,4125865,44.94794104240802
2020-11-08,2205.0,2229.4,2077.5,2218.05,2699737,490667,18.174622194680445
2020-11-15,2246.3,2358.7,2210.7,2318.95,3494222,860380,24.622934661850334
2020-11-22,2329.0,2405.0,2272.35,2355.0,1979854,368868,18.631070775925902
2020-11-29,2366.0,2495.0,2349.35,2400.65,2342912,579119,24.717915141499127
2020-12-06,2404.0,2514.0,2385.0,2448.15,1619389,448901,27.720393308834378
2020-12-13,2449.9,2564.55,2411.0,2498.0,1951738,413158,21.168722441229303
2020-12-20,2501.0,2625.0,2483.0,2556.8,1840868,392603,21.327058757064602
2020-12-27,2560.0,2687.0,2305.0,2652.55,2823547,354101,12.540998963360625
2021-01-03,2670.0,2748.0,2657.05,2722.25,1400644,196639,14.039184832120084
2021-01-10,2750.9,2909.55,2720.0,2804.2,2445388,514213,21.027869605968462
2021-01-17,2820.2,2848.0,2610.0,2637.8,1808679,491014,27.147658595029856
2021-01-24,2648.0,2759.2,2475.0,2491.0,2113683,523735,24.778313493556034
2021-01-31,2496.0,2511.3,2353.0,2392.8,1769636,481041,27.183047813222604
2021-02-07,2381.0,2572.55,2325.05,2498.6,2012169,715980,35.58249828915961
2021-02-14,2520.0,2699.9,2480.4,2611.8,1789886,496392,27.733162894173148
2021-02-21,2629.0,2666.1,2540.0,2570.25,1209191,309619,25.605466795568276
2021-02-28,2571.0,2590.0,2300.0,2542.05,855775,233432,27.27726329934854
2021-03-07,2555.5,2698.0,2476.05,2585.65,1048364,303773,28.975909130798083
2021-03-14,2618.95,2793.95,2495.1,2722.1,1994926,296495,14.862456051001391
2021-03-21,2740.0,3032.0,2727.0,2966.75,3799664,474842,12.496947098480286
2021-03-28,2975.65,3012.8,2725.0,2796.05,1401187,337938,24.117979969839855
2021-04-04,2832.0,3070.8,2776.3,2933.45,1876065,410900,21.902226202183826
2021-04-11,2919.0,3184.95,2885.0,3167.85,3483168,822576,23.61574290990271
2021-04-18,3153.8,3222.9,2817.7,3171.95,4194356,692916,16.520200002098058
2021-04-25,3050.95,3170.0,2843.3,2851.0,2205219,453840,20.580268898463146
2021-05-02,2869.9,2931.0,2785.0,2869.05,1992583,505967,25.392518153572524
2021-05-09,2875.95,3544.8,2821.85,3380.75,10608317,669311,6.3093042939799036
2021-05-16,3374.95,3469.9,3142.7,3349.55,5878933,985422,16.76191921221079
2021-05-23,3372.0,3515.35,3251.55,3330.2,7249309,2335536,32.21736030289232
2021-05-30,3348.0,3585.0,3261.7,3543.05,4437000,922695,20.79546991210277
2021-06-06,3558.0,3715.0,3505.9,3694.1,2399677,493583,20.56872654111366
2021-06-13,3694.1,4009.7,3660.8,3978.95,3394676,974855,28.71717359771595
2021-06-20,4013.95,4048.85,3870.0,3971.05,1821248,321134,17.63263432547352
2021-06-27,3959.95,4157.7,3878.2,4097.7,1881134,347154,18.454506696492647
2021-07-04,4110.0,4256.0,4032.0,4196.95,1879148,639249,34.01802306151511
2021-07-11,4201.0,4520.15,4120.05,4356.55,2873613,784438,27.297969489976552
2021-07-18,4360.0,4610.0,4300.0,4547.75,2349426,626417,26.662555024078223
2021-07-25,4539.95,4767.3,4474.45,4688.45,1346104,326811,24.278287561733713
2021-08-01,4686.0,5230.0,4563.6,5083.9,3484281,574674,16.493331048787397
2021-08-08,5114.6,5213.5,4642.25,4789.65,9362030,4205343,44.9191361275279
2021-08-15,4780.0,4906.85,4664.15,4811.45,1925460,731296,37.980326779055396
2021-08-22,4840.0,5055.0,4753.1,4906.7,2011218,628774,31.26334390404223
2021-08-29,4936.9,5249.8,4815.55,5077.0,3192945,628190,19.674313212410485
2021-09-05,5125.9,5336.6,5036.25,5243.25,2105355,545698,25.919524260754123
2021-09-12,5268.0,5312.7,5082.05,5114.95,1070321,364592,34.063799551723264
2021-09-19,5120.0,5525.0,5100.0,5444.7,2188041,652327,29.813289604719472
2021-09-26,5444.0,5832.95,5314.95,5649.0,1745691,422454,24.199815431253295
2021-10-03,5690.0,5695.1,5001.0,5279.5,2345804,906181,38.62986848006057
2021-10-10,5298.6,5730.0,5243.05,5645.85,1554565,388838,25.012656273619953
2021-10-17,5600.0,5790.0,5159.35,5604.1,1874088,527102,28.12578704948754
2021-10-24,5662.8,6030.0,5335.4,5397.5,2778238,782895,28.1795512119552
2021-10-31,5310.0,5345.0,4726.6,4870.45,2964527,969367,32.69887573970485
2021-11-07,4930.0,5150.7,4890.0,5081.4,970297,333451,34.36586941936335
2021-11-14,5100.0,5470.0,5025.0,5418.0,1470252,440138,29.936228619311517
2021-11-21,5410.35,5937.55,5396.15,5572.1,3189654,631950,19.812493768916628
2021-11-28,5608.1,5608.1,5202.0,5267.65,1523214,455123,29.879124010152218
2021-12-05,5200.0,5479.45,5033.1,5350.15,1634823,666023,40.73976204151764
2021-12-12,5330.0,5370.0,5001.0,5315.35,1286032,343349,26.69832476952362
2021-12-19,5350.0,5587.0,5300.0,5392.95,1511229,393841,26.060974213702888
2021-12-26,5345.0,5668.75,5060.0,5645.6,1717771,438178,25.5085223816213
2022-01-02,5657.0,5923.45,5549.4,5890.35,1547531,372418,24.065301438226438
2022-01-09,5920.0,6005.0,5910.0,5973.15,313011,82692,26.418240892492594
