Date,Symbol,Open,High,Low,Close,Volume,Deliverable Volume
2021-08-23,COROMANDEL,822.45,827.85,780.2,794.75,437060,212993
2021-08-24,COROMANDEL,798.0,805.7,781.1,783.85,494276,251658
2021-08-25,COROMANDEL,784.35,790.95,772.05,773.0,526696,310922
2021-08-26,COROMANDEL,773.7,783.6,764.95,767.8,468386,257566
2021-08-27,COROMANDEL,767.8,782.95,765.15,766.8,437541,213165
2021-08-30,COROMANDEL,770.3,790.85,770.3,786.85,599309,265309
2021-08-31,COROMANDEL,793.75,796.95,779.1,792.9,631601,379202
2021-09-01,COROMANDEL,792.5,802.9,789.05,794.95,378137,121545
2021-09-02,COROMANDEL,794.95,819.1,794.95,801.45,962376,434363
2021-09-03,COROMANDEL,803.5,808.25,791.55,799.25,390599,160472
2021-09-06,COROMANDEL,806.9,806.9,792.1,797.65,202824,75052
2021-09-07,COROMANDEL,798.65,801.8,786.9,788.65,226039,109843
2021-09-08,COROMANDEL,790.1,793.7,779.15,789.1,317531,93173
2021-09-09,COROMANDEL,789.1,829.7,789.1,814.4,2171045,290036
2021-09-13,COROMANDEL,821.5,839.6,807.05,835.05,954243,246637
2021-09-14,COROMANDEL,834.5,835.95,821.65,827.2,258280,76097
2021-09-15,COROMANDEL,827.15,835.95,825.1,831.35,721095,586463
2021-09-16,COROMANDEL,831.35,845.35,830.75,833.5,813103,528177
2021-09-17,COROMANDEL,833.35,836.95,802.4,807.6,609235,368735
2021-09-20,COROMANDEL,805.0,814.65,785.0,793.5,1206318,865353
2021-09-21,COROMANDEL,787.0,808.55,782.0,806.3,480093,115740
2021-09-22,COROMANDEL,806.1,825.6,806.1,818.75,376351,127502
2021-09-23,COROMANDEL,824.85,833.45,802.75,806.15,730935,368695
2021-09-24,COROMANDEL,807.6,827.75,782.7,807.4,2068309,663479
2021-09-27,COROMANDEL,807.75,815.3,793.5,797.15,813403,532359
2021-09-28,COROMANDEL,798.0,806.65,785.2,799.0,804322,454371
2021-09-29,COROMANDEL,791.6,814.95,788.0,797.15,856874,457265
2021-09-30,COROMANDEL,801.3,808.0,791.5,794.45,294773,119202
2021-10-01,COROMANDEL,790.8,802.0,788.1,799.9,236040,70544
2021-10-04,COROMANDEL,802.0,811.0,798.15,800.9,364074,174318
2021-10-05,COROMANDEL,800.0,830.0,799.3,827.05,883386,383002
2021-10-06,COROMANDEL,831.0,865.0,829.2,857.0,1275895,422068
2021-10-07,COROMANDEL,870.0,874.9,841.5,857.8,1452929,416420
2021-10-08,COROMANDEL,858.0,879.8,844.8,859.15,1623091,873019
2021-10-11,COROMANDEL,859.8,876.75,850.8,856.9,404050,168374
2021-10-12,COROMANDEL,841.0,886.4,841.0,852.8,1221391,513422
2021-10-13,COROMANDEL,859.95,882.65,856.8,869.6,756920,340215
2021-10-14,COROMANDEL,871.8,887.95,860.5,863.2,515540,106236
2021-10-18,COROMANDEL,863.5,876.75,850.85,857.35,300400,125045
2021-10-19,COROMANDEL,857.0,869.75,835.5,841.15,308991,90405
2021-10-20,COROMANDEL,840.0,845.7,820.55,835.5,659487,399857
2021-10-21,COROMANDEL,834.0,848.4,824.8,830.65,748364,431326
2021-10-22,COROMANDEL,835.0,846.95,820.0,824.25,220480,52413
2021-10-25,COROMANDEL,825.0,826.5,792.0,814.15,400605,167286
2021-10-26,COROMANDEL,814.8,816.25,799.05,807.9,292120,154776
2021-10-27,COROMANDEL,808.9,817.0,801.25,803.3,279588,111669
2021-10-28,COROMANDEL,803.3,808.45,774.05,796.9,756578,267134
2021-10-29,COROMANDEL,785.0,792.0,778.0,785.6,611035,336032
2021-11-01,COROMANDEL,781.1,794.95,776.25,784.7,284657,109862
2021-11-02,COROMANDEL,785.5,802.75,778.5,783.5,560428,214627
2021-11-03,COROMANDEL,787.6,787.6,767.05,773.55,915885,525842
2021-11-04,COROMANDEL,775.5,783.95,768.0,780.6,36513,19501
2021-11-08,COROMANDEL,779.0,784.65,771.75,777.45,251305,150896
2021-11-09,COROMANDEL,779.0,796.4,776.15,791.05,585222,320055
2021-11-10,COROMANDEL,791.9,795.2,785.55,788.4,681698,556457
2021-11-11,COROMANDEL,790.9,798.65,788.0,795.2,370305,187690
2021-11-12,COROMANDEL,798.0,799.4,781.45,790.9,699888,522005
2021-11-15,COROMANDEL,792.1,799.0,781.6,795.3,190631,78614
