Date,Open,High,Low,Close,Volume,Deliverable Volume,DeliverablePct
2020-08-30,1.35,1.4,1.25,1.35,319843,171079,53.48843026109685
2020-09-06,1.4,1.4,1.25,1.35,80158,42414,52.91299683125826
2020-09-13,1.35,1.35,1.2,1.3,77505,60577,78.15882846267984
2020-09-20,1.3,1.35,1.2,1.25,88509,69302,78.29938198375307
2020-09-27,1.2,1.3,1.1,1.15,70869,50907,71.83253608771113
2020-10-04,1.25,1.25,1.1,1.15,123967,101254,81.67818855017867
2020-10-11,1.15,1.25,1.1,1.2,50068,38250,76.39610130222897
2020-10-18,1.15,2.1,1.1,2.1,391122,287720,73.5627246741426
2020-10-25,2.2,2.6,2.2,2.6,53311,53311,100.0
2020-11-01,2.7,3.15,2.7,3.15,51387,51361,99.94940354564385
2020-11-08,3.3,3.9,3.3,3.85,733817,560618,76.3975214528963
2020-11-15,3.7,3.75,3.7,3.7,145193,133596,92.0127003367931
2020-11-22,,,,,0,0,
2020-11-29,,,,,0,0,
2020-12-06,,,,,0,0,
2020-12-13,,,,,0,0,
2020-12-20,,,,,0,0,
2020-12-27,,,,,0,0,
2021-01-03,,,,,0,0,
2021-01-10,,,,,0,0,
2021-01-17,,,,,0,0,
2021-01-24,,,,,0,0,
2021-01-31,,,,,0,0,
2021-02-07,,,,,0,0,
2021-02-14,,,,,0,0,
2021-02-21,,,,,0,0,
2021-02-28,,,,,0,0,
2021-03-07,,,,,0,0,
2021-03-14,,,,,0,0,
2021-03-21,,,,,0,0,
2021-03-28,,,,,0,0,
2021-04-04,,,,,0,0,
2021-04-11,,,,,0,0,
2021-04-18,,,,,0,0,
2021-04-25,,,,,0,0,
2021-05-02,2.35,2.35,2.0,2.05,323631,247554,76.49267221001696
2021-05-09,2.1,2.15,2.0,2.05,243161,142153,58.46044390342201
2021-05-16,2.1,2.25,2.0,2.15,327914,209519,63.894496727800586
2021-05-23,2.15,2.2,2.0,2.05,471960,352836,74.75972540045767
2021-05-30,2.1,2.5,2.05,2.3,546334,431012,78.89166700223673
2021-06-06,2.35,2.5,2.2,2.45,766128,528480,68.98064031075747
2021-06-13,2.65,3.45,2.65,3.45,1391277,986281,70.89034031325178
2021-06-20,3.6,3.9,3.6,3.6,1015684,842377,82.93691738769144
2021-06-27,,,,,0,0,
2021-07-04,,,,,0,0,
2021-07-11,,,,,0,0,
2021-07-18,,,,,0,0,
2021-07-25,2.95,2.95,2.75,2.85,263572,199106,75.54140804030777
2021-08-01,2.85,3.35,2.85,3.35,773425,673663,87.10127032356078
2021-08-08,3.5,3.65,2.8,3.1,506969,427993,84.42192717897939
2021-08-15,3.3,3.3,2.75,3.1,637835,486718,76.30782255599019
2021-08-22,3.25,3.25,2.65,2.7,667813,446347,66.83712356602821
2021-08-29,2.7,2.9,2.5,2.75,640375,470827,73.52363849307046
2021-09-05,2.7,3.1,2.65,3.05,621660,443911,71.40736093684652
2021-09-12,3.15,3.15,2.8,2.9,504326,327054,64.84972022065094
2021-09-19,2.9,3.15,2.85,2.95,607166,400079,65.89285302536703
2021-09-26,2.9,3.15,2.75,2.95,601329,499343,83.03989995493316
2021-10-03,2.95,3.1,2.8,2.85,530878,392211,73.87968610490546
2021-10-10,2.9,3.6,2.8,3.6,1727599,1115722,64.58223233516574
2021-10-17,4.1,4.7,3.6,3.6,5340438,3166222,59.28768389409258
2021-10-24,3.7,3.7,3.1,3.45,1242009,904380,72.815897469342
2021-10-31,3.55,3.6,3.1,3.15,430935,350500,81.33477206539268
2021-11-07,3.2,3.45,3.1,3.4,297968,230527,77.36636148848199
2021-11-14,3.4,3.55,3.25,3.4,577023,466039,80.76610464400899
2021-11-21,3.4,3.5,3.3,3.3,365197,294846,80.73615062555278
2021-11-28,3.4,3.4,3.25,3.25,447851,346305,77.32594099376801
2021-12-05,3.25,3.5,3.05,3.5,912781,689392,75.5265501801637
2021-12-12,3.55,4.1,3.2,3.85,1904756,1302769,68.39558452631204
2021-12-19,3.9,4.2,3.65,3.95,2003434,1244642,62.125430635598676
2021-12-26,3.95,4.45,3.6,4.45,2388598,1610903,67.44136099921376
2022-01-02,4.85,5.8,4.85,5.8,298185,298185,100.0
2022-01-09,6.05,6.05,6.05,6.05,31953,31953,100.0
