Date,Symbol,Open,High,Low,Close,Volume,Deliverable Volume
2021-10-12,CREATIVE,263.85,263.85,263.85,263.85,12454,12454
2021-10-13,CREATIVE,277.0,277.0,277.0,277.0,12822,12822
2021-10-14,CREATIVE,290.85,290.85,290.85,290.85,20632,20632
2021-10-18,CREATIVE,305.35,305.35,305.35,305.35,12488,12488
2021-10-19,CREATIVE,320.6,320.6,291.15,317.75,340218,173940
2021-10-20,CREATIVE,325.0,328.55,301.9,309.5,53945,41606
2021-10-21,CREATIVE,309.0,324.95,294.05,294.1,77926,54543
2021-10-22,CREATIVE,290.0,308.8,282.05,298.65,53809,38306
2021-10-25,CREATIVE,313.55,313.55,313.55,313.55,40918,40918
2021-10-26,CREATIVE,329.2,329.2,329.2,329.2,10965,10965
2021-10-27,CREATIVE,345.65,345.65,345.65,345.65,89176,69113
2021-10-28,CREATIVE,362.9,362.9,335.1,350.3,247233,113617
2021-10-29,CREATIVE,340.0,367.8,333.0,367.8,65882,41390
2021-11-01,CREATIVE,386.15,386.15,369.5,386.15,34337,29708
2021-11-02,CREATIVE,405.45,405.45,405.45,405.45,35652,34125
2021-11-03,CREATIVE,422.95,422.95,385.2,385.2,105574,80118
2022-01-04,CREATIVE,496.05,496.15,473.0,496.15,38061,37328
2022-01-05,CREATIVE,518.0,520.95,508.0,520.95,54961,44140
2022-01-06,CREATIVE,546.95,546.95,546.95,546.95,47215,37215
2022-01-07,CREATIVE,574.25,574.25,546.95,574.25,82336,59163
2022-01-10,CREATIVE,602.95,602.95,578.4,589.6,161345,118768
2022-01-11,CREATIVE,614.95,619.05,596.65,619.05,119680,88822
2022-01-12,CREATIVE,650.0,650.0,626.0,650.0,150500,89549
2022-01-13,CREATIVE,677.0,682.5,617.5,676.65,206428,131175
2022-01-14,CREATIVE,699.9,704.9,665.0,668.0,78699,52953
2022-01-17,CREATIVE,670.0,685.0,634.6,671.15,107842,59227
2022-01-18,CREATIVE,679.0,704.7,642.55,700.0,130646,77891
2022-01-19,CREATIVE,712.0,731.95,673.05,723.25,86065,44481
2022-01-20,CREATIVE,734.9,743.95,700.0,705.05,33969,20314
2022-01-21,CREATIVE,695.0,725.0,678.2,688.5,88066,48111
2022-01-24,CREATIVE,697.0,704.7,654.1,654.1,107109,93015
2022-01-25,CREATIVE,621.4,666.0,621.4,655.45,124845,95881
2022-01-27,CREATIVE,655.45,688.2,637.5,687.35,122538,72738
2022-01-28,CREATIVE,687.0,706.7,666.0,670.1,31122,19633
2022-01-31,CREATIVE,685.0,687.0,637.0,643.3,33348,24284
2022-02-01,CREATIVE,637.0,657.7,612.55,645.55,70266,35921
2022-02-02,CREATIVE,658.5,659.0,616.15,618.9,17130,12944
2022-02-03,CREATIVE,607.2,621.95,596.2,603.0,53804,38075
2022-02-04,CREATIVE,592.0,632.7,591.95,616.4,34717,19456
2022-02-07,CREATIVE,625.0,629.9,596.25,601.5,15116,8355
2022-02-08,CREATIVE,604.95,616.0,590.0,612.55,25399,18252
2022-02-09,CREATIVE,616.95,643.15,606.5,615.75,32071,19218
2022-02-10,CREATIVE,615.0,646.0,612.0,635.1,31990,20437
2022-02-11,CREATIVE,665.6,665.6,615.1,624.15,26679,20064
2022-02-14,CREATIVE,592.95,624.2,592.95,596.95,67064,45381
2022-02-15,CREATIVE,597.0,610.0,568.1,591.25,39149,24331
2022-02-16,CREATIVE,615.0,617.0,582.0,585.1,28172,21569
2022-02-17,CREATIVE,588.0,598.0,575.95,585.3,18075,12742
2022-02-18,CREATIVE,579.0,608.0,573.3,590.7,8298,6432
2022-02-21,CREATIVE,599.8,607.0,561.2,561.6,19149,13581
