Date,Symbol,Open,High,Low,Close,Deliverable Volume
2020-08-19,CUB,124.3,124.35,123.55,123.8,2671625
2020-08-20,CUB,123.8,125.45,122.55,124.5,4541869
2020-08-21,CUB,125.55,132.15,124.75,129.3,3756767
2020-08-24,CUB,130.1,133.3,129.25,130.0,1529483
2020-08-25,CUB,130.8,132.75,130.5,131.1,2140717
2020-08-26,CUB,132.9,137.4,132.0,134.7,4430455
2020-08-27,CUB,135.5,143.0,135.5,138.75,3903832
2020-08-28,CUB,139.75,152.0,139.2,150.0,5168519
2020-08-31,CUB,153.0,155.9,134.0,135.0,4806244
2020-09-01,CUB,136.45,145.0,135.1,140.35,2449661
2020-09-02,CUB,140.05,143.35,137.15,142.65,399780
2020-09-03,CUB,143.7,146.65,140.75,145.3,1442353
2020-09-04,CUB,140.55,144.0,138.35,141.0,553022
2020-09-07,CUB,141.15,141.95,139.0,140.0,379639
2020-09-08,CUB,140.0,140.7,135.15,136.55,324108
2020-09-09,CUB,136.0,136.0,129.3,130.45,1964239
2020-09-10,CUB,132.25,134.5,131.1,133.7,529262
2020-09-11,CUB,133.7,135.75,132.3,133.85,376806
2020-09-14,CUB,137.0,150.5,136.0,143.65,3694311
2020-09-15,CUB,145.15,147.15,143.5,145.75,587802
2020-09-16,CUB,146.4,146.7,142.15,143.65,433274
2020-09-17,CUB,142.9,146.0,141.15,142.45,810580
2020-09-18,CUB,143.75,145.35,142.05,143.9,671893
2020-09-21,CUB,142.2,144.2,135.85,139.15,350073
2020-09-22,CUB,138.0,138.0,132.0,135.15,638771
2020-09-23,CUB,136.4,138.9,132.25,135.05,277581
2020-09-24,CUB,135.5,135.7,132.15,133.7,381797
2020-09-25,CUB,135.0,136.5,132.0,133.8,496198
2020-09-28,CUB,135.2,136.7,132.55,135.65,577546
2020-09-29,CUB,135.65,139.0,135.15,136.15,2245858
2020-09-30,CUB,135.2,141.0,135.1,139.75,2077693
2020-10-01,CUB,141.0,142.7,140.2,141.45,349509
2020-10-05,CUB,141.55,145.9,141.55,144.0,766994
2020-10-06,CUB,145.1,145.4,141.8,144.5,891940
2020-10-07,CUB,144.3,145.25,138.7,144.35,688785
2020-10-08,CUB,144.35,148.5,143.0,147.6,1140828
2020-10-09,CUB,147.6,153.0,147.5,150.9,2618131
2020-10-12,CUB,152.0,153.7,148.0,149.85,1807107
2020-10-13,CUB,148.4,149.0,143.05,144.05,394254
2020-10-14,CUB,143.0,144.05,139.25,141.8,340130
2020-10-15,CUB,141.85,143.8,139.1,141.1,276992
2020-10-16,CUB,141.85,144.4,140.05,143.65,400643
2020-10-19,CUB,144.95,150.0,141.55,149.75,828402
2020-10-20,CUB,149.7,150.45,144.3,149.55,1211687
2020-10-21,CUB,149.6,151.75,146.5,147.75,1111387
2020-10-22,CUB,146.5,149.4,145.95,148.75,643543
2020-10-23,CUB,148.1,151.25,147.75,150.3,818704
2020-10-26,CUB,153.8,155.0,149.5,150.8,2224032
2020-10-27,CUB,151.7,155.9,147.95,155.3,639732
2020-10-28,CUB,154.0,160.0,151.4,153.5,728482
2020-10-29,CUB,151.7,151.8,148.5,149.0,800162
2020-10-30,CUB,148.2,151.85,147.0,147.7,669909
2020-11-02,CUB,149.0,154.5,148.5,152.65,343909
2020-11-03,CUB,151.0,159.8,150.0,158.45,1022427
2020-11-04,CUB,156.75,161.25,156.1,158.5,438586
2020-11-05,CUB,157.5,162.3,157.5,161.5,750311
2020-11-06,CUB,161.55,167.2,158.0,166.7,827294
2020-11-09,CUB,168.0,188.5,167.2,183.85,1799785
2020-11-10,CUB,181.3,186.95,177.35,183.75,2802608
2020-11-11,CUB,183.8,184.85,178.1,180.15,842985
2020-11-12,CUB,180.2,181.5,176.1,178.05,797135
2020-11-13,CUB,177.5,188.25,172.4,186.75,978042
2020-11-14,CUB,187.7,189.75,187.0,187.55,97425
2020-11-17,CUB,187.55,192.0,183.25,188.1,965692
2020-11-18,CUB,188.85,200.0,186.55,198.35,2053825
2020-11-19,CUB,197.85,197.85,190.0,192.1,580540
2020-11-20,CUB,190.5,194.2,180.5,182.8,1743507
2020-11-23,CUB,185.0,187.0,181.15,183.75,540287
2020-11-24,CUB,184.15,187.3,181.8,183.3,1332912
2020-11-25,CUB,186.0,187.65,176.0,176.95,1252703
2020-11-26,CUB,178.45,180.95,172.1,172.7,741035
2020-11-27,CUB,174.0,187.0,174.0,186.05,1754252
2020-12-01,CUB,187.0,187.5,180.5,182.1,859974
2020-12-02,CUB,183.8,185.6,180.1,181.7,1449764
2020-12-03,CUB,181.75,183.3,177.6,178.6,1032199
2020-12-04,CUB,180.1,182.05,178.0,179.4,646411
2020-12-07,CUB,180.85,181.45,175.05,175.85,1209294
2020-12-08,CUB,176.4,179.75,172.85,173.75,823627
2020-12-09,CUB,175.75,177.0,173.6,174.85,838910
2020-12-10,CUB,176.0,178.8,172.6,173.65,921961
2020-12-11,CUB,175.0,177.95,172.75,176.85,1040809
2020-12-14,CUB,177.95,186.9,177.0,185.1,1723150
2020-12-15,CUB,184.9,188.6,181.65,186.6,1401591
2020-12-16,CUB,188.3,189.8,186.5,188.55,1111689
2020-12-17,CUB,189.0,189.5,183.0,184.3,1002906
2020-12-18,CUB,185.0,185.45,179.0,180.2,1348482
2020-12-21,CUB,179.0,179.5,174.0,175.55,1090818
2020-12-22,CUB,173.05,176.9,168.2,171.45,836871
