Date,Symbol,Open,High,Low,Close,Volume,Deliverable Volume
2020-08-26,DALMIASUG,145.25,147.25,142.9,143.7,159632,87337
2020-08-27,DALMIASUG,143.95,146.7,141.25,144.45,444213,125357
2020-08-28,DALMIASUG,145.2,145.85,140.0,140.95,250940,129712
2020-08-31,DALMIASUG,140.95,141.1,129.05,131.1,272231,163789
2020-09-01,DALMIASUG,132.1,133.7,126.0,131.05,409231,174049
2020-09-02,DALMIASUG,131.0,132.85,127.3,130.25,194079,67919
2020-09-03,DALMIASUG,133.2,135.95,132.15,133.5,129961,54051
2020-09-04,DALMIASUG,130.25,137.55,130.25,133.9,284438,174008
2020-09-07,DALMIASUG,134.95,136.55,133.1,133.9,105177,51948
2020-09-08,DALMIASUG,136.5,137.0,130.0,131.05,102246,40078
2020-09-09,DALMIASUG,127.3,131.4,127.0,129.1,71512,37550
2020-09-10,DALMIASUG,130.0,133.8,130.0,130.7,74610,34168
2020-09-11,DALMIASUG,132.25,133.5,128.5,131.25,160477,48677
2020-09-14,DALMIASUG,132.45,134.0,130.65,131.55,143304,56098
2020-09-15,DALMIASUG,134.4,135.8,131.55,132.75,149007,50216
2020-09-16,DALMIASUG,133.0,133.65,130.2,131.1,122374,65858
2020-09-17,DALMIASUG,131.9,137.3,131.0,135.55,189409,83493
2020-09-18,DALMIASUG,138.7,138.7,133.0,134.3,120072,58594
2020-09-21,DALMIASUG,131.1,134.2,128.0,128.9,105931,63720
2020-09-22,DALMIASUG,128.5,129.05,124.0,125.7,109909,42868
2020-09-23,DALMIASUG,126.0,127.65,124.0,124.45,65428,31133
2020-09-24,DALMIASUG,123.45,123.75,121.0,121.15,56245,28715
2020-09-25,DALMIASUG,122.0,124.8,121.75,124.15,70125,33125
2020-09-28,DALMIASUG,126.4,130.4,125.3,128.45,152719,42673
2020-09-29,DALMIASUG,128.0,129.9,126.05,126.4,38900,21045
2020-09-30,DALMIASUG,126.4,129.5,126.35,128.65,69027,25318
2020-10-01,DALMIASUG,129.8,129.95,127.6,128.0,32114,15343
2020-10-05,DALMIASUG,129.95,130.0,127.3,128.2,68184,37805
