Date,Symbol,Open,High,Low,Close,Volume,Deliverable Volume
2021-08-23,DATAMATICS,278.0,295.0,274.0,275.85,364505,120764
2021-08-24,DATAMATICS,276.0,282.75,268.7,278.3,135967,66916
2021-08-25,DATAMATICS,280.1,285.9,270.0,274.85,123406,67876
2021-08-26,DATAMATICS,278.85,302.3,273.95,302.3,679476,395364
2021-08-27,DATAMATICS,313.4,325.0,308.05,315.0,1433551,498495
2021-08-30,DATAMATICS,325.45,346.5,322.0,333.3,1959247,557947
2021-08-31,DATAMATICS,335.0,335.25,311.6,314.4,517279,265118
2021-09-01,DATAMATICS,316.8,335.0,313.0,325.5,474162,159581
2021-09-02,DATAMATICS,327.45,327.45,316.95,319.6,278361,178840
2021-09-03,DATAMATICS,320.6,322.7,310.0,312.85,130192,79091
2021-09-06,DATAMATICS,312.8,319.6,311.0,312.4,125589,60041
2021-09-07,DATAMATICS,314.45,316.4,302.15,307.2,197108,95176
2021-09-08,DATAMATICS,309.6,325.0,305.15,321.7,382689,139429
2021-09-09,DATAMATICS,324.0,326.0,315.0,316.55,129516,72188
2021-09-13,DATAMATICS,318.7,318.95,307.0,309.05,156762,92617
2021-09-14,DATAMATICS,311.0,313.1,307.0,308.55,125800,69358
2021-09-15,DATAMATICS,311.9,329.0,311.0,316.75,419762,175711
2021-09-16,DATAMATICS,318.0,319.95,311.15,312.7,128695,87944
2021-09-17,DATAMATICS,313.1,316.0,296.15,304.55,177076,102899
2021-09-20,DATAMATICS,301.0,318.45,300.05,308.15,393287,112454
2021-09-21,DATAMATICS,305.0,308.65,294.0,300.6,231433,130600
2021-09-22,DATAMATICS,303.4,307.0,302.05,303.3,123896,74938
2021-09-23,DATAMATICS,306.2,313.9,303.1,304.15,195343,92725
2021-09-24,DATAMATICS,312.0,315.0,304.65,306.8,176365,88584
2021-09-27,DATAMATICS,309.0,322.8,303.95,305.55,360207,135015
2021-09-28,DATAMATICS,306.3,308.15,300.1,303.45,130027,72813
2021-09-29,DATAMATICS,301.45,309.85,298.0,304.35,152561,53650
2021-09-30,DATAMATICS,310.0,312.0,301.1,302.7,106720,50296
2021-10-01,DATAMATICS,301.9,305.0,298.55,300.85,111225,57253
2021-10-04,DATAMATICS,303.0,312.45,302.0,304.55,208861,94856
2021-10-05,DATAMATICS,305.4,326.0,305.0,322.85,778148,416658
2021-10-06,DATAMATICS,326.0,340.0,324.0,328.3,803960,356773
2021-10-07,DATAMATICS,332.4,337.8,319.5,322.8,329485,160914
2021-10-08,DATAMATICS,324.95,371.2,321.05,364.55,2546710,683319
2021-10-11,DATAMATICS,366.7,366.7,349.7,354.55,513065,202337
2021-10-12,DATAMATICS,356.8,382.4,356.0,369.7,975920,271243
2021-10-13,DATAMATICS,368.0,368.5,354.0,356.55,331514,149901
2021-10-14,DATAMATICS,358.8,373.0,356.0,358.85,280240,105865
2021-10-18,DATAMATICS,361.9,364.1,347.5,348.15,223807,119625
2021-10-19,DATAMATICS,350.65,365.0,300.2,331.3,605086,168800
2021-10-20,DATAMATICS,333.7,344.9,316.75,328.25,328790,114470
2021-10-21,DATAMATICS,322.25,337.9,322.25,332.1,192928,45565
2021-10-22,DATAMATICS,334.0,340.3,309.65,316.15,299394,111381
2021-10-25,DATAMATICS,320.3,320.3,305.0,305.45,212009,90148
2021-10-26,DATAMATICS,305.0,324.7,302.0,321.9,230713,73756
2021-10-27,DATAMATICS,324.9,335.0,309.0,325.75,731701,100087
2021-10-28,DATAMATICS,325.75,325.75,308.4,313.85,174753,75746
2021-10-29,DATAMATICS,314.0,325.45,300.7,314.05,280777,108363
2021-11-01,DATAMATICS,314.0,325.0,314.0,321.2,129581,45529
2021-11-02,DATAMATICS,325.8,340.95,321.85,334.65,357790,148138
2021-11-03,DATAMATICS,337.0,337.35,321.35,322.95,125770,53209
2021-11-04,DATAMATICS,324.6,329.55,324.0,327.1,27332,16590
2021-11-08,DATAMATICS,329.1,337.5,323.0,332.0,167223,54503
2021-11-09,DATAMATICS,333.8,348.5,331.0,338.35,382658,131434
2021-11-10,DATAMATICS,336.5,347.85,333.0,338.8,157021,43325
2021-11-11,DATAMATICS,338.6,341.2,332.0,333.45,61478,27461
2021-11-12,DATAMATICS,334.0,343.5,334.0,337.15,111266,37731
2021-11-15,DATAMATICS,338.8,338.8,325.1,327.5,163016,54740
2021-11-16,DATAMATICS,326.6,336.5,324.0,325.6,134626,46227
2021-11-17,DATAMATICS,326.0,338.0,326.0,328.1,134899,43527
2021-11-18,DATAMATICS,331.0,334.2,313.1,320.75,188800,85159
2021-11-22,DATAMATICS,321.05,321.05,293.8,300.75,284666,140180
2021-11-23,DATAMATICS,300.75,314.9,294.45,312.05,195079,52356
2021-11-24,DATAMATICS,316.8,323.5,313.0,314.65,176106,48149
2021-11-25,DATAMATICS,314.15,321.95,314.15,317.45,103773,39645
2021-11-26,DATAMATICS,310.0,315.8,302.5,303.65,157107,70068
2021-11-29,DATAMATICS,290.2,298.75,279.25,283.15,248877,96348
2021-11-30,DATAMATICS,285.0,299.5,285.0,289.2,228940,64586
2021-12-01,DATAMATICS,281.8,296.25,281.8,293.5,177657,75790
2021-12-02,DATAMATICS,296.0,304.0,287.4,302.35,180502,58947
2021-12-03,DATAMATICS,303.95,307.45,298.0,300.65,100795,44606
2021-12-06,DATAMATICS,292.5,296.75,281.0,285.8,274562,125877
2021-12-07,DATAMATICS,290.05,293.25,286.25,288.2,92994,37378
2021-12-08,DATAMATICS,288.2,300.45,288.2,295.2,98468,43684
2021-12-09,DATAMATICS,297.85,304.9,296.5,300.25,152817,52247
2021-12-10,DATAMATICS,297.0,303.9,297.0,300.8,82079,35420
2021-12-13,DATAMATICS,307.0,312.9,303.05,304.5,146100,76020
2021-12-14,DATAMATICS,303.75,307.95,300.1,305.45,136182,57739
2021-12-15,DATAMATICS,308.0,314.4,302.0,303.4,251986,62367
2021-12-16,DATAMATICS,305.2,308.5,299.05,300.35,92733,38132
2021-12-17,DATAMATICS,302.6,303.2,288.05,290.45,119159,58241
2021-12-20,DATAMATICS,284.8,287.95,270.0,272.7,156485,71064
2021-12-21,DATAMATICS,275.0,283.65,261.65,268.0,286095,107780
2021-12-22,DATAMATICS,267.65,284.5,266.95,281.8,155697,52663
2021-12-23,DATAMATICS,282.0,292.0,282.0,286.05,144953,38360
2021-12-24,DATAMATICS,287.5,299.8,282.3,290.35,241646,53567
2021-12-27,DATAMATICS,286.0,298.0,283.55,296.35,239447,62260
2021-12-28,DATAMATICS,298.5,302.1,292.8,295.0,148181,57679
2021-12-29,DATAMATICS,297.3,318.95,295.2,309.2,571468,183984
2021-12-30,DATAMATICS,309.9,314.35,302.3,304.0,182338,73878
2021-12-31,DATAMATICS,305.1,312.8,304.25,306.0,134859,40857
2022-01-03,DATAMATICS,307.35,314.45,306.3,308.15,183830,45499
2022-01-04,DATAMATICS,309.5,312.7,302.5,307.6,188538,69642
2022-01-05,DATAMATICS,305.7,316.95,303.85,309.6,256849,71262
2022-01-06,DATAMATICS,303.05,314.95,303.0,312.15,253330,73073
2022-01-07,DATAMATICS,310.25,329.0,310.25,319.9,494775,187200
2022-01-10,DATAMATICS,322.3,353.0,320.8,348.6,1018240,349067
2022-01-11,DATAMATICS,351.85,366.4,342.1,356.95,1003644,292088
2022-01-12,DATAMATICS,357.6,361.9,342.5,345.7,317122,159046
2022-01-13,DATAMATICS,347.35,355.0,346.35,349.6,217244,90076
2022-01-14,DATAMATICS,357.6,366.95,352.0,357.4,419640,136162
2022-01-17,DATAMATICS,355.05,363.95,353.0,355.35,209795,86503
2022-01-18,DATAMATICS,355.0,360.0,341.0,344.05,188172,93207
2022-01-19,DATAMATICS,344.1,357.0,341.05,352.3,228515,90460
2022-01-20,DATAMATICS,350.0,363.45,328.4,339.25,763728,261915
2022-01-21,DATAMATICS,340.0,349.8,313.4,318.45,457673,205265
2022-01-24,DATAMATICS,321.55,324.15,298.05,301.15,265652,57749
2022-01-25,DATAMATICS,290.0,314.1,288.25,310.3,183468,60210
2022-01-27,DATAMATICS,306.0,310.85,297.3,299.55,186828,81785
2022-01-28,DATAMATICS,303.95,311.9,300.0,303.8,123252,38031
2022-01-31,DATAMATICS,307.2,310.0,301.3,302.4,109938,47046
2022-02-01,DATAMATICS,305.4,312.95,299.75,306.3,190789,49332
2022-02-02,DATAMATICS,309.0,321.0,307.65,314.05,255862,89205
2022-02-03,DATAMATICS,314.05,319.4,309.15,310.9,114114,35802
2022-02-04,DATAMATICS,312.0,314.4,302.55,305.15,104634,43730
2022-02-07,DATAMATICS,305.4,308.5,303.25,304.9,137288,85186
2022-02-08,DATAMATICS,307.0,308.5,297.7,300.85,119230,34882
2022-02-09,DATAMATICS,302.2,307.45,295.25,299.5,129752,41082
2022-02-10,DATAMATICS,301.8,306.0,298.3,303.7,105618,30334
2022-02-11,DATAMATICS,301.0,304.1,295.55,298.05,142008,32630
2022-02-14,DATAMATICS,292.1,294.0,275.0,278.45,193806,67317
2022-02-15,DATAMATICS,275.0,287.8,272.0,284.45,164659,55540
2022-02-16,DATAMATICS,287.2,299.7,286.95,293.8,160942,41406
2022-02-17,DATAMATICS,292.4,297.8,286.45,288.5,99385,33433
2022-02-18,DATAMATICS,284.3,294.7,283.65,290.1,76553,27311
2022-02-21,DATAMATICS,290.0,290.0,277.2,279.7,148082,43943
2022-02-22,DATAMATICS,251.1,271.0,251.1,258.55,246914,95922
2022-02-23,DATAMATICS,259.0,277.5,254.0,255.6,337336,105133
2022-02-24,DATAMATICS,247.0,250.0,230.1,233.25,246086,104298
2022-02-25,DATAMATICS,245.0,251.15,243.2,249.55,150387,61267
2022-02-28,DATAMATICS,250.0,254.7,243.15,252.05,236548,110143
2022-03-02,DATAMATICS,252.05,258.85,248.6,256.65,127330,67056
2022-03-03,DATAMATICS,260.0,262.95,258.75,260.4,69763,26117
2022-03-04,DATAMATICS,260.65,264.95,250.25,251.35,120273,43509
2022-03-07,DATAMATICS,246.1,252.5,244.5,247.1,78915,29619
2022-03-08,DATAMATICS,252.0,264.0,250.0,261.1,127038,46633
2022-03-09,DATAMATICS,267.0,274.0,262.2,273.2,161689,61518
2022-03-10,DATAMATICS,279.75,285.0,268.4,269.3,144806,73868
2022-03-11,DATAMATICS,270.0,276.8,269.1,274.05,70332,36555
2022-03-14,DATAMATICS,275.8,279.0,274.1,277.7,105124,32928
2022-03-15,DATAMATICS,277.7,283.6,269.9,273.65,125837,31164
2022-03-16,DATAMATICS,276.5,279.35,272.95,274.65,94257,24101
2022-03-17,DATAMATICS,278.6,280.3,275.0,276.75,80788,32018
2022-03-21,DATAMATICS,282.0,289.9,277.0,282.25,155989,67484
2022-03-22,DATAMATICS,283.3,287.9,278.0,279.9,137822,48752
2022-03-23,DATAMATICS,281.55,286.75,280.15,281.6,150819,56452
2022-03-24,DATAMATICS,281.0,309.8,280.55,302.1,872171,176944
2022-03-25,DATAMATICS,306.0,314.5,303.7,310.45,393150,132299
2022-03-28,DATAMATICS,312.6,313.3,305.0,308.05,149941,66969
2022-03-29,DATAMATICS,307.5,312.4,304.65,309.75,115015,58244
2022-03-30,DATAMATICS,312.0,317.8,293.05,299.0,169847,69062
2022-03-31,DATAMATICS,301.6,306.35,297.05,299.6,136901,49274
2022-04-01,DATAMATICS,302.0,315.2,301.0,313.9,193676,79060
2022-04-04,DATAMATICS,316.25,337.8,313.0,332.45,552417,182085
2022-04-05,DATAMATICS,333.0,335.4,325.2,327.1,197747,76197
2022-04-06,DATAMATICS,326.5,338.0,325.0,329.3,156976,61113
2022-04-07,DATAMATICS,329.3,333.5,287.6,310.25,158893,66182
2022-04-08,DATAMATICS,313.4,320.25,312.25,316.1,130400,39521
2022-04-11,DATAMATICS,316.2,321.85,311.05,313.9,119623,44125
2022-04-12,DATAMATICS,314.8,316.25,304.2,309.35,122930,39976
2022-04-13,DATAMATICS,311.7,314.65,304.5,306.4,65751,24594
2022-04-18,DATAMATICS,303.05,309.45,296.85,304.05,118509,51891
2022-04-19,DATAMATICS,304.2,310.0,295.8,297.2,87545,44465
2022-04-20,DATAMATICS,297.2,305.9,297.0,301.05,89527,37541
2022-04-21,DATAMATICS,303.45,306.0,296.35,298.15,95894,37285
2022-04-22,DATAMATICS,296.1,307.5,294.6,303.95,116054,48320
2022-04-25,DATAMATICS,301.25,304.4,292.0,292.75,111842,50076
2022-04-26,DATAMATICS,295.05,297.95,292.05,293.75,70718,32066
2022-04-27,DATAMATICS,291.95,298.0,286.1,290.9,65807,28817
2022-04-28,DATAMATICS,292.1,318.6,290.0,311.6,1106705,188095
