Date,Open,High,Low,Close,Volume,Deliverable Volume,DeliverablePct
2020-08-30,10.9,11.0,10.0,10.3,16647,3636,21.841773292485133
2020-09-06,9.8,10.9,8.8,9.4,8557,4835,56.50344746990768
2020-09-13,9.4,10.1,8.95,9.6,6992,3033,43.37814645308924
2020-09-20,9.9,10.2,9.0,9.75,4116,2546,61.85617103984451
2020-09-27,10.2,10.2,8.6,9.3,1292,906,70.12383900928792
2020-10-04,9.75,9.75,8.35,8.75,1288,1083,84.08385093167702
2020-10-11,8.35,9.1,8.2,9.0,433,371,85.68129330254041
2020-10-18,9.2,11.0,8.1,9.0,2228,1473,66.11310592459606
2020-10-25,8.1,9.9,8.1,8.9,4370,3926,89.83981693363845
2020-11-01,9.1,10.5,8.0,8.65,9409,4090,43.4690190243384
2020-11-08,8.85,9.9,8.05,8.9,12279,8823,71.85438553628146
2020-11-15,9.5,9.75,8.05,8.75,9306,5868,63.05609284332688
2020-11-22,8.05,10.15,8.05,9.4,21721,10120,46.59085677454998
2020-11-29,8.85,11.45,8.85,10.5,114206,68831,60.26916274101185
2020-12-06,10.5,12.1,10.5,10.85,619966,579506,93.47383566195565
2020-12-13,11.35,11.7,10.4,10.75,173221,135744,78.3646324637313
2020-12-20,10.5,10.9,10.0,10.35,45919,30852,67.18787430039853
2020-12-27,10.4,10.7,9.6,10.0,17915,13989,78.08540329332962
2021-01-03,9.9,10.85,9.9,10.1,29890,14526,48.59819337571094
2021-01-10,10.4,11.0,9.8,10.35,53484,38467,71.92244409543041
2021-01-17,10.55,10.55,9.9,10.3,31026,18914,60.96177399600335
2021-01-24,10.45,10.45,9.7,10.2,20792,10069,48.427279722970376
2021-01-31,10.0,10.1,9.4,9.9,5071,3456,68.15223821731415
2021-02-07,9.75,10.1,9.15,9.65,20665,12183,58.95475441567868
2021-02-14,9.65,9.95,9.05,9.35,17971,7349,40.89366201101775
2021-02-21,9.75,9.75,8.45,9.3,19971,10403,52.090531270342
2021-02-28,9.35,9.9,8.6,9.55,26696,20464,76.65567875337129
2021-03-07,9.9,10.5,9.05,10.1,32627,26555,81.38964661170196
2021-03-14,10.1,10.45,9.1,9.3,47799,38455,80.4514738802067
2021-03-21,9.6,9.6,8.0,8.95,61840,18844,30.472186287192756
2021-03-28,9.7,9.7,8.1,8.7,71627,42025,58.67200915855753
2021-04-04,9.0,9.2,8.35,8.75,4488,3134,69.8306595365419
2021-04-11,8.4,9.3,7.9,8.85,18613,10885,58.48063181647236
2021-04-18,8.7,10.2,8.35,9.65,103229,21990,21.30215346462719
2021-04-25,9.4,11.3,8.7,9.3,35852,19005,53.009595001673546
2021-05-02,9.3,9.9,7.5,8.2,121009,84042,69.45103256782554
2021-05-09,8.2,9.65,7.65,8.6,141645,53711,37.9194465035829
2021-05-16,9.0,10.6,8.3,9.85,146045,102197,69.97637714403095
2021-05-23,9.9,11.0,8.9,9.5,40560,27053,66.69871794871794
2021-05-30,9.7,14.45,8.55,14.45,455088,193639,42.54979256759132
2021-06-06,15.8,19.1,15.1,19.1,200992,133995,66.6668325107467
2021-06-13,,,,,0,0,
2021-06-20,,,,,0,0,
2021-06-27,,,,,0,0,
2021-07-04,,,,,0,0,
2021-07-11,,,,,0,0,
2021-07-18,,,,,0,0,
2021-07-25,14.4,15.4,14.1,14.85,19032,11646,61.19167717528373
2021-08-01,15.35,15.35,13.4,14.15,30629,17500,57.13539456071044
2021-08-08,14.45,17.3,13.65,17.3,98328,70978,72.18493206411195
2021-08-15,19.0,24.05,19.0,24.05,105818,102877,97.22069969192387
2021-08-22,25.25,29.15,25.25,26.45,114208,64974,56.890935836368726
2021-08-29,25.15,25.15,22.75,22.75,5414,5403,99.79682305134835
2021-09-05,,,,,0,0,
2021-09-12,,,,,0,0,
2021-09-19,,,,,0,0,
2021-09-26,,,,,0,0,
2021-10-03,,,,,0,0,
2021-10-10,,,,,0,0,
2021-10-17,17.15,18.75,17.1,17.95,45321,16524,36.459919242735154
2021-10-24,18.5,18.5,17.0,17.65,36777,10842,29.48038176033934
2021-10-31,18.45,18.45,16.15,16.45,52536,14726,28.030303030303028
2021-11-07,16.95,17.45,16.2,17.2,16708,9414,56.344266219774966
2021-11-14,16.6,17.95,16.55,16.9,38200,15450,40.44502617801047
2021-11-21,16.6,17.15,15.9,16.3,14782,6548,44.29711811662833
2021-11-28,16.65,17.7,15.0,16.8,30666,9635,31.419161286114917
2021-12-05,17.15,17.15,14.5,15.1,21186,15464,72.99159822524308
2021-12-12,15.45,17.5,14.6,16.85,77041,33417,43.375605197232645
2021-12-19,16.6,19.85,15.25,19.85,89647,45070,50.274967372025834
2021-12-26,21.75,26.35,21.5,26.35,75562,57595,76.22217516741219
2022-01-02,27.65,33.5,25.1,33.5,76359,59450,77.85591744260664
2022-01-09,35.15,35.15,35.15,35.15,1553,1552,99.93560849967804
