Date,Open,High,Low,Close,Volume,Deliverable Volume,DeliverablePct,ADL,OBV
2020-08-30,27.8,31.55,27.2,28.15,107892,68211,63.221554888221554,-35.60754240830872,63.221554888221554
2020-09-06,29.45,29.45,26.0,26.8,68344,49467,72.37943345429007,-74.41970237655119,-9.157878566068511
2020-09-13,26.5,26.9,25.1,25.25,37062,29721,80.19265015379634,-141.24691083804822,-89.35052871986485
2020-09-20,25.95,27.45,25.3,25.35,43722,27537,62.982022780293676,-201.2995372099561,-26.36850593957118
2020-09-27,25.35,27.0,23.0,24.85,54202,38166,70.41437585328954,-206.58061539895277,-96.78288179286072
2020-10-04,24.6,25.9,23.75,25.4,37941,27776,73.20840251970165,-167.42263265585655,-23.57447927315907
2020-10-11,25.15,28.5,24.55,25.45,78571,41550,52.88210662967252,-196.20656411251377,29.30762735651345
2020-10-18,25.45,27.25,23.2,23.85,28350,15525,54.761904761904766,-233.39057351874536,-25.454277405391316
2020-10-25,24.5,27.85,22.55,26.95,106847,65602,61.39807388134435,-192.84467567257462,35.943796475953036
2020-11-01,28.0,28.5,24.5,25.0,70709,49840,70.48607673704903,-245.7092332253614,-34.542280261095996
2020-11-08,25.5,28.85,24.1,26.5,83039,41282,49.71398981201604,-245.18592806944548,15.171709550920042
2020-11-15,26.0,28.5,26.0,28.15,65995,40503,61.372831275096594,-200.99748955137602,76.54454082601663
2020-11-22,28.2,29.5,27.65,28.35,36685,22810,62.178001908136835,-216.12186839389562,138.72254273415348
2020-11-29,28.0,29.75,27.5,28.25,82644,64164,77.63903005662843,-242.00154507943844,61.08351267752505
2020-12-06,30.35,30.7,28.0,29.2,115710,70544,60.9662086250108,-248.77556825999523,122.04972130253586
2020-12-13,30.0,39.5,29.35,38.6,308230,200503,65.04980047367226,-195.26169299347666,187.09952177620812
2020-12-20,39.8,43.5,38.7,41.75,173132,124408,71.85731118452972,-175.80033788099988,258.95683296073787
2020-12-27,,,,,0,0,,-175.80033788099988,258.95683296073787
2021-01-03,,,,,0,0,,-175.80033788099988,258.95683296073787
