Date,Symbol,Open,High,Low,Close,Volume,Deliverable Volume
2020-08-26,DCW,14.65,14.95,14.0,14.2,1124367,813966
2020-08-27,DCW,14.2,15.6,14.1,15.05,1756351,866679
2020-08-28,DCW,15.4,15.9,14.95,15.15,1212650,647368
2020-08-31,DCW,15.25,15.3,13.05,13.8,1133321,650594
2020-09-01,DCW,13.85,14.5,13.4,14.15,456931,191643
2020-09-02,DCW,14.3,14.3,14.0,14.0,264853,212433
2020-09-03,DCW,14.3,14.5,14.0,14.05,205662,142083
2020-09-04,DCW,13.8,14.4,13.4,13.85,303226,210701
2020-09-07,DCW,14.1,14.1,13.4,13.55,290158,216970
2020-09-08,DCW,13.8,13.8,13.0,13.1,287819,195919
2020-09-09,DCW,13.0,13.2,12.65,12.95,199861,144862
2020-09-10,DCW,13.05,13.6,13.05,13.3,172471,105912
2020-09-11,DCW,13.5,13.55,13.05,13.2,299521,185919
2020-09-14,DCW,13.3,14.7,13.2,14.1,627660,365941
2020-09-15,DCW,14.45,14.6,13.75,13.85,521417,380042
2020-09-16,DCW,13.8,14.35,13.8,14.0,488552,303335
2020-09-17,DCW,13.85,16.35,13.85,15.25,3931555,1897696
2020-09-18,DCW,15.7,15.85,15.3,15.45,932621,676265
2020-09-21,DCW,15.35,15.55,13.9,14.65,752250,516807
2020-09-22,DCW,14.25,14.6,13.7,14.3,499511,366734
2020-09-23,DCW,14.3,14.7,14.15,14.55,505650,368208
2020-09-24,DCW,14.55,15.65,14.25,14.9,802585,604560
2020-09-25,DCW,15.1,15.85,14.9,15.3,578961,311844
2020-09-28,DCW,15.3,15.8,14.9,15.15,410635,276046
2020-09-29,DCW,15.3,15.9,15.0,15.25,186910,113090
2020-09-30,DCW,15.25,15.4,15.05,15.1,157941,131276
2020-10-01,DCW,15.25,16.25,15.15,15.4,1363918,434232
2020-10-05,DCW,15.6,15.75,14.8,14.9,402301,289773
2020-10-06,DCW,15.1,15.5,14.6,14.8,302086,175521
2020-10-07,DCW,15.0,15.1,14.65,14.75,180437,122275
2020-10-08,DCW,14.8,15.0,14.25,14.5,231779,164667
2020-10-09,DCW,14.65,15.0,14.4,14.8,215931,114536
2020-10-12,DCW,14.9,14.95,13.6,13.95,217465,163291
2020-10-13,DCW,14.0,14.35,13.85,13.95,138998,95983
2020-10-14,DCW,14.0,14.2,13.8,14.0,73852,53986
