Date,Symbol,Open,High,Low,Close,Volume,Deliverable Volume
2020-08-26,DECCANCE,318.85,327.0,314.9,324.45,175841,111833
2020-08-27,DECCANCE,327.0,327.0,318.7,319.65,95551,59320
2020-08-28,DECCANCE,324.95,325.2,307.0,310.3,122344,74510
2020-08-31,DECCANCE,314.3,316.1,278.0,285.8,178666,100173
2020-09-01,DECCANCE,287.1,291.25,281.3,287.55,66800,35494
2020-09-02,DECCANCE,290.95,297.0,286.75,291.75,38934,24642
2020-09-03,DECCANCE,294.0,302.0,290.05,297.85,43761,23436
2020-09-04,DECCANCE,292.15,297.45,285.1,286.95,49712,29332
2020-09-07,DECCANCE,287.0,293.9,287.0,287.8,22037,13482
2020-09-08,DECCANCE,288.65,288.65,276.0,278.6,27059,18220
2020-09-09,DECCANCE,278.0,278.0,269.0,273.2,27143,15418
2020-09-10,DECCANCE,274.6,283.85,271.65,274.9,55402,37892
2020-09-11,DECCANCE,277.0,294.8,277.0,292.9,216208,62812
2020-09-14,DECCANCE,295.6,295.6,285.2,290.6,68073,35989
2020-09-15,DECCANCE,290.65,295.0,286.05,290.8,34325,21963
2020-09-16,DECCANCE,288.05,315.0,288.05,298.45,123524,59286
2020-09-17,DECCANCE,296.7,303.4,292.2,299.0,33449,15309
2020-09-18,DECCANCE,304.0,304.0,290.6,292.4,32759,16566
2020-09-21,DECCANCE,292.4,295.2,268.0,272.3,61094,43570
2020-09-22,DECCANCE,274.0,282.0,261.1,270.7,38252,21486
2020-09-23,DECCANCE,277.55,277.6,267.1,272.1,27458,14034
2020-09-24,DECCANCE,268.7,270.0,262.05,264.7,38953,24155
2020-09-25,DECCANCE,275.0,275.0,266.15,271.4,19972,10108
2020-09-28,DECCANCE,278.0,285.0,272.0,280.5,34382,22480
2020-09-29,DECCANCE,285.35,295.05,281.5,285.7,49978,22597
2020-09-30,DECCANCE,287.0,290.0,284.0,285.6,23111,15815
2020-10-01,DECCANCE,285.2,289.5,282.55,285.6,17426,11479
2020-10-05,DECCANCE,286.5,290.0,278.0,280.05,37067,23440
2020-10-06,DECCANCE,284.0,286.4,279.0,281.4,25531,17271
2020-10-07,DECCANCE,291.45,291.45,279.5,281.9,52693,29467
2020-10-08,DECCANCE,284.65,285.5,275.5,276.75,31304,21242
2020-10-09,DECCANCE,278.6,281.05,272.4,274.05,34297,25358
2020-10-12,DECCANCE,279.4,279.4,267.05,270.5,30338,20877
2020-10-13,DECCANCE,270.5,282.5,270.5,278.1,57572,23594
2020-10-14,DECCANCE,278.2,279.9,273.05,276.65,31311,22911
2020-10-15,DECCANCE,276.0,280.0,269.0,271.55,15897,10574
2020-10-16,DECCANCE,274.95,276.65,270.75,272.0,23157,18422
2020-10-19,DECCANCE,273.6,279.9,272.05,275.9,34070,23795
2020-10-20,DECCANCE,279.0,287.0,278.0,284.3,85932,53502
2020-10-21,DECCANCE,284.7,296.2,284.7,290.15,160694,100061
2020-10-22,DECCANCE,294.75,327.85,293.0,323.55,517891,210321
2020-10-23,DECCANCE,327.8,334.8,312.6,322.0,207234,108478
2020-10-26,DECCANCE,323.9,335.0,313.0,316.9,117612,64947
2020-10-27,DECCANCE,319.95,329.6,319.1,322.2,137370,44767
2020-10-28,DECCANCE,324.0,334.45,315.3,321.15,106743,48292
2020-10-29,DECCANCE,317.0,320.9,306.0,310.35,63455,38766
2020-10-30,DECCANCE,312.85,325.0,305.45,315.5,69229,31409
2020-11-02,DECCANCE,310.15,319.45,308.1,309.6,35748,20469
2020-11-03,DECCANCE,310.65,314.7,305.35,308.1,25778,13806
2020-11-04,DECCANCE,311.0,318.4,306.4,313.55,32115,15597
2020-11-05,DECCANCE,317.45,323.45,310.9,321.05,45193,23195
2020-11-06,DECCANCE,322.0,349.0,322.0,341.75,313996,162744
2020-11-09,DECCANCE,349.9,359.25,345.05,356.85,259423,108497
2020-11-10,DECCANCE,357.0,358.8,329.3,338.0,248411,100545
2020-11-11,DECCANCE,340.05,349.5,333.15,338.8,93875,40357
2020-11-12,DECCANCE,342.0,346.0,337.1,340.05,37824,18854
2020-11-13,DECCANCE,340.1,344.2,333.75,340.0,68248,39686
2020-11-14,DECCANCE,344.75,347.0,339.95,345.85,22299,15428
2020-11-17,DECCANCE,360.0,367.0,355.0,362.25,190023,104016
2020-11-18,DECCANCE,362.5,365.8,357.0,362.0,49447,28574
2020-11-19,DECCANCE,360.0,364.4,349.0,356.4,57513,31788
2020-11-20,DECCANCE,361.9,361.9,350.55,354.35,33077,18112
2020-11-23,DECCANCE,356.0,360.45,349.1,353.0,38389,22363
2020-11-24,DECCANCE,353.0,356.35,341.25,344.95,55932,37195
2020-11-25,DECCANCE,343.0,349.05,340.0,340.55,39667,22748
2020-11-26,DECCANCE,342.5,346.75,336.95,344.9,37776,20568
2020-11-27,DECCANCE,346.0,347.85,342.8,344.65,28996,16581
2020-12-01,DECCANCE,346.9,361.05,344.95,356.1,88378,51453
2020-12-02,DECCANCE,362.2,372.3,360.5,368.55,108427,54685
2020-12-03,DECCANCE,374.75,381.8,371.4,379.5,86581,47789
2020-12-04,DECCANCE,381.8,391.95,375.0,382.0,92195,49667
2020-12-07,DECCANCE,384.7,389.55,378.05,381.25,73708,39610
2020-12-08,DECCANCE,381.25,387.25,370.1,382.3,51339,31258
2020-12-09,DECCANCE,384.45,385.5,370.05,372.3,61249,39106
2020-12-10,DECCANCE,373.9,373.9,354.1,359.9,69526,37712
2020-12-11,DECCANCE,364.0,367.0,352.5,354.4,55568,38109
2020-12-14,DECCANCE,354.75,368.1,354.75,357.7,69037,37293
2020-12-15,DECCANCE,361.05,378.65,356.5,376.8,116638,68436
2020-12-16,DECCANCE,395.0,396.0,377.0,378.95,288502,118983
2020-12-17,DECCANCE,377.0,384.0,370.0,371.1,56925,32031
2020-12-18,DECCANCE,371.6,376.0,362.0,370.75,43195,22644
2020-12-21,DECCANCE,377.8,377.8,328.7,334.3,110810,65712
2020-12-22,DECCANCE,337.0,346.95,315.25,336.1,180257,88457
2020-12-23,DECCANCE,336.8,350.0,333.0,348.8,58101,28919
2020-12-24,DECCANCE,352.5,360.05,346.0,347.4,52712,29363
2020-12-28,DECCANCE,354.0,369.65,350.45,365.4,99158,56845
2020-12-29,DECCANCE,370.95,373.25,357.0,366.75,64954,35847
2020-12-30,DECCANCE,371.6,380.0,361.15,376.3,125093,60016
2020-12-31,DECCANCE,378.3,382.35,370.0,372.25,56095,27410
2021-01-01,DECCANCE,376.0,378.65,369.8,371.8,31454,16584
2021-01-04,DECCANCE,375.0,378.95,366.7,371.4,37917,20552
2021-01-05,DECCANCE,370.0,375.5,365.9,371.9,56361,30199
2021-01-06,DECCANCE,369.2,380.0,365.0,371.6,76970,38194
2021-01-07,DECCANCE,372.1,388.65,372.1,380.3,182752,75288
2021-01-08,DECCANCE,382.4,385.9,373.05,376.6,74359,40744
2021-01-11,DECCANCE,377.25,383.5,371.1,372.6,57682,31583
2021-01-12,DECCANCE,374.0,375.4,367.8,371.75,51892,28587
2021-01-13,DECCANCE,371.3,375.35,362.0,365.9,45497,27181
2021-01-14,DECCANCE,368.1,371.2,361.95,364.85,21350,10425
2021-01-15,DECCANCE,366.0,368.0,359.0,361.1,30446,15209
2021-01-18,DECCANCE,364.0,364.05,350.0,352.85,31319,15501
2021-01-19,DECCANCE,358.4,364.0,358.4,360.95,19996,11695
2021-01-20,DECCANCE,364.0,370.0,361.1,369.35,27875,14129
2021-01-21,DECCANCE,376.5,379.95,370.0,371.35,69049,37827
2021-01-22,DECCANCE,371.0,376.0,362.1,364.6,41648,25292
2021-01-25,DECCANCE,369.0,374.65,355.0,357.2,27142,11905
2021-01-27,DECCANCE,365.0,365.0,352.25,353.85,18804,11487
2021-01-28,DECCANCE,353.85,359.7,347.6,356.3,13675,5454
2021-01-29,DECCANCE,360.1,363.05,352.25,355.05,12124,6206
2021-02-01,DECCANCE,352.4,370.95,352.25,368.4,38036,17037
2021-02-02,DECCANCE,372.0,382.9,366.75,377.05,58765,31787
2021-02-03,DECCANCE,382.1,390.0,377.7,380.5,122838,57719
2021-02-04,DECCANCE,385.7,385.7,378.0,381.05,25693,14548
2021-02-05,DECCANCE,384.3,384.6,371.3,373.7,20757,10514
2021-02-08,DECCANCE,380.0,381.0,372.25,377.35,52834,31229
2021-02-09,DECCANCE,381.0,400.0,381.0,387.55,217460,124039
2021-02-10,DECCANCE,388.95,395.0,382.3,391.9,90723,48798
2021-02-11,DECCANCE,388.8,394.55,388.0,393.65,42096,23512
2021-02-12,DECCANCE,393.65,409.4,387.4,401.0,332629,103187
2021-02-15,DECCANCE,410.0,412.0,395.0,396.9,126206,64998
2021-02-16,DECCANCE,396.9,408.6,396.05,397.6,88626,41318
2021-02-17,DECCANCE,400.5,415.8,400.5,412.25,175333,71532
2021-02-18,DECCANCE,414.95,432.5,412.65,421.55,152112,59983
2021-02-19,DECCANCE,420.7,427.4,405.3,410.1,72613,32939
2021-02-22,DECCANCE,413.7,415.95,396.0,399.2,78278,42662
2021-02-23,DECCANCE,400.3,411.0,395.0,403.65,51934,24264
2021-02-24,DECCANCE,403.0,414.0,401.0,407.25,15352,9030
2021-02-25,DECCANCE,409.7,414.8,403.3,406.9,33685,19534
2021-02-26,DECCANCE,401.55,418.4,397.25,405.65,85980,37897
2021-03-01,DECCANCE,409.95,415.5,409.95,413.25,44784,30838
2021-03-02,DECCANCE,421.9,427.7,417.9,422.8,67093,37029
2021-03-03,DECCANCE,429.8,433.0,418.5,420.45,88168,54454
2021-03-04,DECCANCE,419.9,457.9,414.25,449.65,249452,105910
2021-03-05,DECCANCE,453.5,465.0,432.2,435.75,127948,55794
