Date,Symbol,Open,High,Low,Close,Deliverable Volume
2020-08-20,DEEPAKNTR,611.5,644.4,605.1,638.5,613773
2020-08-21,DEEPAKNTR,640.3,665.0,640.3,649.6,436198
2020-08-24,DEEPAKNTR,667.0,779.5,654.1,753.8,1370801
2020-08-25,DEEPAKNTR,795.0,824.55,727.0,744.35,1156767
2020-08-26,DEEPAKNTR,745.0,772.0,737.5,742.45,424587
2020-08-27,DEEPAKNTR,745.0,775.0,732.0,761.95,490738
2020-08-28,DEEPAKNTR,765.0,768.0,745.1,747.8,294258
2020-08-31,DEEPAKNTR,749.9,752.85,663.0,683.45,973856
2020-09-01,DEEPAKNTR,690.2,712.85,671.15,702.0,396950
2020-09-02,DEEPAKNTR,706.6,746.8,700.1,731.45,425167
2020-09-03,DEEPAKNTR,736.15,761.1,731.45,736.85,236815
2020-09-04,DEEPAKNTR,720.9,758.9,705.0,732.45,511635
2020-09-07,DEEPAKNTR,735.0,747.0,712.1,717.1,274935
2020-09-08,DEEPAKNTR,720.1,757.0,712.5,742.0,313176
2020-09-09,DEEPAKNTR,728.1,741.8,713.5,730.75,207391
2020-09-10,DEEPAKNTR,738.5,755.7,736.0,751.6,246832
2020-09-11,DEEPAKNTR,757.85,769.75,727.0,733.15,430541
2020-09-14,DEEPAKNTR,755.0,801.8,753.6,795.6,900945
2020-09-15,DEEPAKNTR,804.8,866.35,792.0,857.3,826406
2020-09-16,DEEPAKNTR,864.4,864.4,819.0,857.25,566139
2020-09-17,DEEPAKNTR,853.0,871.0,840.45,847.4,514997
2020-09-18,DEEPAKNTR,851.0,888.0,816.0,853.85,1859122
2020-09-21,DEEPAKNTR,856.0,867.45,804.4,812.8,1514696
2020-09-22,DEEPAKNTR,822.0,854.9,777.0,848.15,485937
2020-09-23,DEEPAKNTR,860.0,873.5,830.0,844.1,511724
2020-09-24,DEEPAKNTR,828.0,835.0,785.25,799.95,373530
2020-09-25,DEEPAKNTR,815.8,825.45,791.15,801.15,411249
2020-09-28,DEEPAKNTR,809.0,844.0,806.0,838.55,289543
2020-09-29,DEEPAKNTR,846.0,846.8,815.6,823.7,205086
2020-09-30,DEEPAKNTR,827.0,839.5,816.55,821.2,167665
2020-10-01,DEEPAKNTR,829.0,833.9,815.0,819.4,174430
2020-10-05,DEEPAKNTR,825.95,826.0,802.0,808.3,211941
2020-10-06,DEEPAKNTR,812.35,818.7,802.6,805.0,248064
