Date,Symbol,Open,High,Low,Close,Volume,Deliverable Volume
2021-08-23,DHANBANK,15.0,15.4,13.85,14.2,1091307,577781
2021-08-24,DHANBANK,14.25,14.75,14.15,14.6,602609,250887
2021-08-25,DHANBANK,15.0,15.15,14.65,14.85,483017,197883
2021-08-26,DHANBANK,14.9,15.3,14.7,14.9,614494,223060
2021-08-27,DHANBANK,14.8,15.5,14.75,15.1,634842,283316
2021-08-30,DHANBANK,15.3,15.35,15.1,15.2,488531,227454
2021-08-31,DHANBANK,15.4,15.4,15.05,15.1,488545,245502
2021-09-01,DHANBANK,15.35,15.9,15.0,15.6,913481,381048
2021-09-02,DHANBANK,15.75,16.1,15.4,15.75,557417,306177
2021-09-03,DHANBANK,16.0,16.2,15.7,15.85,637805,279210
2021-09-06,DHANBANK,15.9,16.6,15.8,16.4,1686706,726617
2021-09-07,DHANBANK,16.35,16.4,15.95,16.05,456241,235300
2021-09-08,DHANBANK,16.05,16.2,15.85,15.9,313682,208083
2021-09-09,DHANBANK,15.85,16.3,15.75,15.9,647699,213503
2021-09-13,DHANBANK,15.95,16.2,15.75,16.0,568221,369724
2021-09-14,DHANBANK,16.1,16.55,16.0,16.35,855419,681148
2021-09-15,DHANBANK,16.25,17.5,16.25,17.35,4640299,2475142
2021-09-16,DHANBANK,17.35,18.1,17.2,17.6,5715405,3440618
2021-09-17,DHANBANK,17.8,18.15,16.85,17.05,1800531,953187
2021-09-20,DHANBANK,16.6,17.3,16.45,16.6,882693,504235
2021-09-21,DHANBANK,16.6,16.6,16.0,16.3,824040,497361
2021-09-22,DHANBANK,16.3,16.5,16.15,16.15,440142,225833
2021-09-23,DHANBANK,16.25,16.5,16.2,16.4,1045143,667953
2021-09-24,DHANBANK,16.35,16.45,15.95,16.05,682808,520352
2021-09-27,DHANBANK,16.1,16.2,15.65,15.8,828333,537359
2021-09-28,DHANBANK,15.9,16.15,15.7,15.85,654244,358662
2021-09-29,DHANBANK,15.9,16.4,15.75,15.95,951157,523274
2021-09-30,DHANBANK,16.25,16.65,16.05,16.15,1001670,506404
2021-10-01,DHANBANK,16.0,16.2,15.95,16.1,451938,201298
2021-10-04,DHANBANK,16.25,16.45,15.95,16.15,1206119,561521
2021-10-05,DHANBANK,16.1,16.55,16.0,16.15,841234,356550
2021-10-06,DHANBANK,16.15,16.35,16.0,16.05,649508,499626
2021-10-07,DHANBANK,16.15,17.3,16.05,16.9,3412057,1639435
2021-10-08,DHANBANK,17.2,17.25,16.5,16.75,1154356,563234
2021-10-11,DHANBANK,16.85,16.85,16.45,16.5,802005,493330
2021-10-12,DHANBANK,16.5,17.05,16.3,16.65,1437145,606517
2021-10-13,DHANBANK,16.7,17.3,16.6,16.85,2144348,1127398
2021-10-14,DHANBANK,17.0,17.35,16.4,16.7,1624385,1039635
2021-10-18,DHANBANK,16.7,17.55,16.15,16.35,3380420,1655575
2021-10-19,DHANBANK,16.45,16.65,15.9,16.0,1448239,886739
2021-10-20,DHANBANK,16.1,16.2,15.9,16.1,728860,335897
2021-10-21,DHANBANK,16.2,16.45,15.95,16.1,1123611,350485
2021-10-22,DHANBANK,16.15,16.4,15.75,15.9,965974,507927
2021-10-25,DHANBANK,16.15,16.15,15.25,15.65,1202733,550793
2021-10-26,DHANBANK,15.65,16.35,15.55,15.9,2102353,884198
2021-10-27,DHANBANK,16.25,16.25,15.65,15.8,1006571,386610
2021-10-28,DHANBANK,15.8,15.8,15.5,15.55,706601,441163
2021-10-29,DHANBANK,15.65,15.65,15.2,15.55,503601,243349
2021-11-01,DHANBANK,15.45,15.9,15.4,15.6,361634,157692
2021-11-02,DHANBANK,15.6,15.9,15.6,15.8,351793,159669
2021-11-03,DHANBANK,16.0,16.0,15.6,15.65,276274,177620
2021-11-04,DHANBANK,15.85,15.9,15.7,15.8,211157,161914
2021-11-08,DHANBANK,15.75,15.85,15.2,15.55,701729,273207
2021-11-09,DHANBANK,15.55,15.75,15.5,15.55,329043,157299
2021-11-10,DHANBANK,15.6,15.65,15.45,15.55,363152,179255
2021-11-11,DHANBANK,15.45,15.5,15.2,15.25,429987,265658
2021-11-12,DHANBANK,15.4,15.4,15.1,15.15,284100,166621
2021-11-15,DHANBANK,15.35,15.35,15.0,15.05,319152,192917
2021-11-16,DHANBANK,15.0,15.0,14.8,14.9,363693,258638
2021-11-17,DHANBANK,14.85,15.1,14.8,14.85,390941,214514
2021-11-18,DHANBANK,14.95,15.25,14.55,14.75,392205,187904
2021-11-22,DHANBANK,14.8,14.9,14.2,14.35,567507,373330
2021-11-23,DHANBANK,14.4,14.7,14.25,14.45,279917,129803
2021-11-24,DHANBANK,14.55,14.9,14.55,14.65,459551,182316
2021-11-25,DHANBANK,14.65,14.8,14.6,14.7,198292,86770
2021-11-26,DHANBANK,14.2,14.9,14.2,14.35,587885,328163
2021-11-29,DHANBANK,14.25,14.45,13.9,14.0,398687,228105
2021-11-30,DHANBANK,14.1,14.4,14.05,14.1,232415,121016
2021-12-01,DHANBANK,14.2,14.25,13.95,14.15,191913,98952
2021-12-02,DHANBANK,14.2,14.2,14.0,14.15,269242,142818
2021-12-03,DHANBANK,14.25,14.85,14.15,14.35,439239,229986
2021-12-06,DHANBANK,14.35,14.45,14.2,14.25,256546,155384
2021-12-07,DHANBANK,14.25,14.45,14.2,14.4,295713,134117
2021-12-08,DHANBANK,14.5,14.7,14.45,14.65,298004,161029
2021-12-09,DHANBANK,14.75,15.0,14.6,14.75,424670,199396
2021-12-10,DHANBANK,14.85,15.3,14.75,15.1,605500,297925
2021-12-13,DHANBANK,15.2,15.35,14.85,14.9,380876,262351
2021-12-14,DHANBANK,14.8,15.0,14.65,14.75,205461,125923
2021-12-15,DHANBANK,14.9,14.9,14.6,14.7,198200,123242
2021-12-16,DHANBANK,14.75,14.85,14.45,14.55,261933,153114
2021-12-17,DHANBANK,14.5,14.55,14.1,14.2,393314,239359
2021-12-20,DHANBANK,14.1,14.1,13.6,13.75,475068,271292
2021-12-21,DHANBANK,13.85,14.25,13.75,13.85,329300,175315
2021-12-22,DHANBANK,14.2,14.2,13.85,13.95,325850,160166
2021-12-23,DHANBANK,14.1,14.4,13.95,14.0,325798,151789
2021-12-24,DHANBANK,14.2,14.2,13.8,13.95,370749,129712
2021-12-27,DHANBANK,14.0,14.0,13.75,13.9,304677,123427
2021-12-28,DHANBANK,13.9,14.9,13.9,14.5,555318,308062
2021-12-29,DHANBANK,14.3,14.65,14.05,14.15,661217,363575
2021-12-30,DHANBANK,14.15,15.9,14.1,14.8,5913272,1609858
2021-12-31,DHANBANK,15.15,15.2,14.7,14.8,648268,404912
2022-01-03,DHANBANK,14.85,15.55,14.75,15.05,2465804,953327
2022-01-04,DHANBANK,15.5,15.55,14.95,15.0,776337,400533
2022-01-05,DHANBANK,15.0,15.2,14.8,14.95,598033,320858
2022-01-06,DHANBANK,14.85,15.0,14.65,14.9,538551,278478
2022-01-07,DHANBANK,14.9,15.2,14.7,14.8,800471,458609
2022-01-10,DHANBANK,14.85,15.15,14.85,15.0,675842,369836
2022-01-11,DHANBANK,15.0,15.35,14.85,15.15,1131782,609882
2022-01-12,DHANBANK,15.15,15.35,14.9,14.95,561466,370344
2022-01-13,DHANBANK,15.05,15.25,14.9,14.95,545324,284662
2022-01-14,DHANBANK,14.95,15.15,14.9,14.95,347535,180519
2022-01-17,DHANBANK,15.0,15.2,14.95,15.0,360788,229019
2022-01-18,DHANBANK,15.0,15.1,14.75,14.8,555930,303773
2022-01-19,DHANBANK,14.9,15.0,14.6,14.9,507111,251951
2022-01-20,DHANBANK,14.95,15.15,14.85,14.9,418895,189768
2022-01-21,DHANBANK,14.9,14.95,14.65,14.7,480021,238416
2022-01-24,DHANBANK,14.55,14.7,14.05,14.2,615701,231926
2022-01-25,DHANBANK,14.2,14.4,14.05,14.3,464339,263207
2022-01-27,DHANBANK,14.45,14.5,14.1,14.35,519316,230806
2022-01-28,DHANBANK,14.4,14.75,14.4,14.5,422364,274552
2022-01-31,DHANBANK,14.55,15.25,14.4,14.95,1222400,801776
2022-02-01,DHANBANK,15.35,15.35,14.7,14.85,530810,337445
2022-02-02,DHANBANK,14.95,15.2,14.85,15.0,479573,251741
2022-02-03,DHANBANK,15.0,15.1,14.65,14.8,537388,365325
2022-02-04,DHANBANK,14.9,14.9,14.7,14.75,310595,245779
2022-02-07,DHANBANK,14.85,15.15,14.7,14.8,586957,384347
2022-02-08,DHANBANK,14.85,15.0,14.65,14.7,346572,238080
2022-02-09,DHANBANK,14.7,14.9,14.65,14.8,268414,166603
2022-02-10,DHANBANK,14.85,15.25,14.7,15.0,920220,487470
2022-02-11,DHANBANK,14.9,14.95,14.7,14.8,316387,205975
2022-02-14,DHANBANK,14.05,14.45,13.85,13.95,879796,623392
2022-02-15,DHANBANK,14.0,14.15,13.5,13.9,591082,276880
2022-02-16,DHANBANK,14.1,14.25,13.9,14.0,279444,164825
2022-02-17,DHANBANK,14.15,14.35,13.95,14.05,363497,173229
2022-02-18,DHANBANK,14.05,14.15,13.65,13.7,353602,271942
2022-02-21,DHANBANK,14.0,14.0,12.9,13.4,706093,347700
2022-02-22,DHANBANK,13.2,13.35,12.95,13.0,516448,367918
2022-02-23,DHANBANK,13.25,13.25,13.05,13.1,331271,163357
2022-02-24,DHANBANK,12.9,12.9,11.8,12.0,841711,540562
2022-02-25,DHANBANK,12.25,13.0,12.15,12.55,779064,437939
2022-02-28,DHANBANK,12.8,12.9,12.4,12.8,423083,195332
2022-03-02,DHANBANK,12.55,12.9,12.55,12.8,252360,136962
2022-03-03,DHANBANK,12.85,13.1,12.7,12.8,346859,237590
2022-03-04,DHANBANK,12.7,12.85,12.55,12.6,244724,139758
2022-03-07,DHANBANK,12.5,12.6,12.3,12.45,164923,98427
