Date,Open,High,Low,Close,Volume,Deliverable Volume,DeliverablePct
2020-08-30,162.5,181.85,154.7,173.05,155240606,26260653,16.916097969882955
2020-09-06,174.75,176.6,153.1,154.85,73028361,17045303,23.34066212988129
2020-09-13,156.0,156.9,145.05,154.3,56154846,5648087,10.058058034742006
2020-09-20,156.0,166.35,153.15,161.25,66908816,7371800,11.017681137863805
2020-09-27,161.65,162.45,142.5,151.35,71717532,12327752,17.189314322751652
2020-10-04,153.0,158.95,151.85,155.9,37896354,3952860,10.430713202647409
2020-10-11,157.0,165.5,155.8,157.0,48003132,6320816,13.167507486803153
2020-10-18,158.4,164.25,153.35,162.55,52616944,10425917,19.814752069219374
2020-10-25,164.2,175.1,161.75,171.3,71768407,7651762,10.66174145400775
2020-11-01,172.9,172.9,150.6,158.3,62161014,12927982,20.797572574990493
2020-11-08,160.3,170.9,156.65,167.9,72935917,14479543,19.85241784236428
2020-11-15,169.9,186.8,169.1,184.6,68346556,15230852,22.284739555859993
2020-11-22,185.45,200.85,180.0,181.95,80273892,14753584,18.37905654306633
2020-11-29,183.95,191.4,179.65,187.2,62618470,12239373,19.545947066416666
2020-12-06,192.0,212.25,189.6,211.3,71340627,17022883,23.861414898974743
2020-12-13,211.0,221.5,204.25,218.8,68246004,13345282,19.554671655207827
2020-12-20,218.25,240.4,207.4,231.4,120920622,25549934,21.129509241194608
2020-12-27,229.0,234.5,208.3,226.1,67906498,10561824,15.553480610942415
2021-01-03,231.0,240.45,228.5,238.35,70413720,6530269,9.274142880109162
2021-01-10,239.85,252.45,233.2,248.3,78505017,14425579,18.375359373528955
2021-01-17,249.0,292.75,243.5,279.45,158908658,15645274,9.845450963408174
2021-01-24,278.0,299.5,266.4,269.4,117363824,13621450,11.606174318246481
2021-01-31,274.15,278.75,251.55,255.45,70424856,17033593,24.186904975709144
2021-02-07,258.5,314.9,255.0,305.3,159573508,20942784,13.124223602328778
2021-02-14,316.05,321.0,304.2,311.75,97013230,12061824,12.43317432065709
2021-02-21,314.5,328.2,293.05,300.6,88369209,15091989,17.07833437775821
2021-02-28,300.0,319.0,291.1,302.5,71590560,13261328,18.523850071853047
2021-03-07,305.8,332.7,302.0,318.1,72795465,19541904,26.844947003223346
2021-03-14,320.8,323.25,306.15,308.5,28560204,3825103,13.393122121956832
2021-03-21,310.7,310.7,277.75,287.4,42615289,5806026,13.624279305016563
2021-03-28,288.9,302.7,270.0,279.2,45456479,5257900,11.566887967719628
2021-04-04,281.95,293.6,274.05,291.8,24023581,4094357,17.043075301721256
2021-04-11,289.0,289.0,272.15,279.55,39947244,7842504,19.632152846389104
2021-04-18,271.0,272.85,244.0,252.45,54552611,11854300,21.73003231687664
2021-04-25,244.0,248.8,231.85,241.95,45284815,10177625,22.474697092170963
2021-05-02,243.05,256.8,242.65,247.3,34461180,7282494,21.132456868859396
2021-05-09,244.0,262.5,241.75,257.95,38820212,6838733,17.61642363004097
2021-05-16,260.3,271.7,250.0,250.55,36160589,10171876,28.129729855893665
2021-05-23,252.9,275.95,250.4,268.4,39653083,8607961,21.70817588130537
2021-05-30,270.9,292.85,267.6,286.3,56661442,11272783,19.89498078781687
