Date,Symbol,Open,High,Low,Close,Deliverable Volume
2020-08-19,DRREDDY,4540.0,4558.95,4476.1,4489.25,219633
2020-08-20,DRREDDY,4485.0,4526.6,4461.1,4476.0,183089
2020-08-21,DRREDDY,4520.0,4520.0,4473.6,4489.75,144200
2020-08-24,DRREDDY,4489.75,4507.1,4425.0,4472.55,274363
2020-08-25,DRREDDY,4490.0,4492.4,4420.0,4427.7,196939
2020-08-26,DRREDDY,4431.0,4452.9,4400.0,4434.75,313774
2020-08-27,DRREDDY,4442.4,4468.3,4417.0,4437.0,338122
2020-08-28,DRREDDY,4460.0,4466.0,4360.8,4374.3,279030
2020-08-31,DRREDDY,4375.0,4425.0,4216.65,4264.7,375793
2020-09-01,DRREDDY,4271.1,4375.9,4232.0,4351.95,184690
2020-09-02,DRREDDY,4351.25,4397.4,4316.7,4352.75,115569
2020-09-03,DRREDDY,4374.55,4466.0,4340.15,4433.15,188046
2020-09-04,DRREDDY,4400.0,4483.45,4291.95,4322.5,307563
2020-09-07,DRREDDY,4344.15,4436.0,4295.25,4419.85,191173
2020-09-08,DRREDDY,4465.0,4481.5,4328.8,4348.8,275438
2020-09-09,DRREDDY,4349.9,4444.0,4335.6,4429.45,182738
2020-09-10,DRREDDY,4460.0,4462.0,4340.55,4380.15,218590
2020-09-11,DRREDDY,4400.0,4447.0,4375.0,4401.6,206236
2020-09-14,DRREDDY,4423.65,4423.65,4336.0,4364.1,134904
2020-09-15,DRREDDY,4374.95,4549.0,4372.55,4442.35,320702
2020-09-16,DRREDDY,4455.0,4650.8,4411.0,4627.9,322855
2020-09-17,DRREDDY,4704.0,4845.55,4654.95,4827.25,864073
2020-09-18,DRREDDY,5000.0,5496.95,4950.25,5333.35,1508687
2020-09-21,DRREDDY,5333.35,5512.65,5111.25,5142.0,469114
2020-09-22,DRREDDY,5214.0,5260.0,5055.0,5167.95,351733
2020-09-23,DRREDDY,5256.0,5280.0,5059.4,5107.75,246306
2020-09-24,DRREDDY,5060.0,5202.9,5002.5,5027.4,337293
2020-09-25,DRREDDY,5120.0,5153.0,5044.0,5112.2,234415
2020-09-28,DRREDDY,5199.95,5200.0,5090.8,5129.85,183822
2020-09-29,DRREDDY,5130.0,5154.95,5066.4,5084.2,156558
2020-09-30,DRREDDY,5100.0,5318.0,5085.0,5187.8,324608
2020-10-01,DRREDDY,5225.0,5256.0,5088.4,5112.05,194522
