Date,Open,High,Low,Close,Volume,Deliverable Volume,DeliverablePct
2020-08-30,983.4,1032.55,815.0,885.35,186925,124484,66.59569345994383
2020-09-06,929.6,929.6,766.0,795.2,183065,111939,61.14713353180564
2020-09-13,805.25,809.9,710.1,754.6,72722,47158,64.84695140397679
2020-09-20,767.0,779.0,725.85,733.5,40548,24350,60.052283713130116
2020-09-27,742.95,742.95,665.0,713.95,80791,41916,51.88201656125063
2020-10-04,717.1,740.2,700.1,708.7,20206,11575,57.284964861922205
2020-10-11,718.4,781.0,712.0,723.75,72162,36414,50.461461711149916
2020-10-18,716.05,736.15,672.25,678.75,28765,15320,53.25916912915001
2020-10-25,678.75,737.9,642.6,708.9,38860,19274,49.59855892949048
2020-11-01,716.65,719.95,657.0,662.55,19477,12203,62.653386045078804
2020-11-08,669.35,733.6,656.0,711.4,103961,23662,22.760458248766362
2020-11-15,725.75,737.0,679.7,725.85,94375,37705,39.9523178807947
2020-11-22,737.9,737.9,679.95,689.95,36348,24025,66.09717178386705
2020-11-29,698.0,708.95,682.25,694.4,31521,19587,62.139526030265536
2020-12-06,698.0,778.0,693.95,755.2,100129,53089,53.02060342158615
2020-12-13,780.0,900.0,760.1,816.55,359493,123150,34.256578014036435
2020-12-20,820.0,848.2,775.0,789.5,56155,33613,59.85753717389368
2020-12-27,809.0,815.0,626.3,775.15,51378,26985,52.52248043909845
2021-01-03,798.0,868.0,761.0,833.45,114417,59358,51.878654395762865
2021-01-10,826.0,864.0,804.95,808.25,55747,35469,63.62494842771809
2021-01-17,819.7,890.0,775.0,830.65,142013,70337,49.52856428636815
2021-01-24,821.8,850.0,775.0,793.75,33579,20218,60.21025045415289
2021-01-31,783.35,823.8,763.1,776.5,29579,19314,65.29632509550694
2021-02-07,776.5,845.0,760.6,824.7,54429,31675,58.195079828767746
2021-02-14,821.05,880.95,813.0,864.05,62280,42086,67.57546563904945
2021-02-21,865.0,898.0,826.9,831.2,110868,55989,50.50059530252192
2021-02-28,832.0,971.0,688.5,901.45,152276,66865,43.91039953768158
2021-03-07,928.0,965.85,909.0,933.85,94359,58791,62.305662416939555
2021-03-14,934.0,952.9,923.05,932.25,40661,30990,76.21553823073707
2021-03-21,932.25,940.7,834.6,861.2,43741,26690,61.01826661484648
2021-03-28,877.55,975.7,804.75,975.7,154930,67955,43.86174401342542
2021-04-04,1027.0,1111.0,928.85,1054.75,163508,51734,31.64004207745187
2021-04-11,1051.0,1074.0,1007.5,1045.3,58984,32041,54.32151091821511
2021-04-18,1039.8,1039.8,965.8,994.1,27146,18220,67.11854416856995
2021-04-25,984.05,1006.25,949.0,976.8,24677,17109,69.3317664221745
2021-05-02,985.4,1100.0,977.95,1029.6,103552,76855,74.21875
2021-05-09,1045.0,1080.0,1014.55,1021.35,21997,13155,59.803609583124974
2021-05-16,1035.45,1081.35,970.05,1011.5,39384,21896,55.596181190331095
2021-05-23,1022.3,1484.45,998.0,1400.3,303164,94107,31.041614439709196
2021-05-30,1396.0,1407.0,1267.95,1302.95,97285,49314,50.690240016446516
2021-06-06,1325.0,1581.1,1284.95,1490.65,91249,40826,44.74131223355872
2021-06-13,1520.0,1581.0,1382.05,1482.8,111423,55336,49.662995970311336
2021-06-20,1500.0,1500.0,1338.4,1434.8,34454,18610,54.01404771579498
2021-06-27,1420.05,1466.35,1388.1,1410.05,36274,19654,54.18205877488008
2021-07-04,1410.05,1483.4,1395.0,1463.0,35535,20823,58.59856479527227
2021-07-11,1466.1,1744.0,1446.55,1599.45,421328,86790,20.599153153837392
2021-07-18,1624.0,1649.8,1572.95,1617.4,28147,17448,61.98884428180623
2021-07-25,1617.4,1636.75,1540.0,1582.05,24340,14727,60.50534100246507
2021-08-01,1598.0,1730.0,1512.6,1683.2,61446,32233,52.45744230706637
2021-08-08,1715.0,1715.0,1551.05,1632.4,32024,20739,64.76080439670248
2021-08-15,1649.0,2285.0,1626.25,2138.4,1310835,311572,23.76897168598641
2021-08-22,2138.4,2372.0,2060.15,2174.0,269666,88653,32.87511217580266
2021-08-29,2192.7,2492.7,1990.1,2342.3,377344,149588,39.642342265943014
2021-09-05,2365.3,2421.0,2250.0,2298.8,125415,64171,51.16692580632301
2021-09-12,2298.8,2857.3,2270.0,2844.55,294783,107055,36.31654471255127
2021-09-19,2840.0,3380.0,2791.2,3093.05,813843,237643,29.200103705505853
2021-09-26,3071.0,3093.0,2751.5,3010.15,196600,79604,40.49033570701933
2021-10-03,3029.4,3257.05,2889.0,3139.8,144665,54769,37.85919192617426
2021-10-10,3158.25,3158.25,2917.1,2956.45,81183,40618,50.032642301959775
2021-10-17,2959.0,2987.05,2906.0,2915.8,11062,6983,63.12601699511843
