Date,Open,High,Low,Close,Volume,Deliverable Volume,DeliverablePct
2020-08-30,1.2,1.4,1.2,1.4,98751,98721,99.96962056080446
2020-09-06,1.45,1.45,1.25,1.3,353988,326382,92.20143055696803
2020-09-13,1.25,1.35,1.2,1.25,108037,92773,85.87150698371853
2020-09-20,1.3,1.3,1.15,1.2,60207,55641,92.4161642333948
2020-09-27,1.15,1.2,1.05,1.1,34801,28870,82.95738628200338
2020-10-04,1.1,1.2,1.05,1.2,103333,100323,97.08708737770122
2020-10-11,1.2,1.25,1.15,1.15,58657,47426,80.85309511226282
2020-10-18,1.25,1.25,0.9,1.1,31273,22291,71.27873884820772
2020-10-25,1.0,1.25,1.0,1.2,48615,48615,100.0
2020-11-01,1.25,1.25,1.1,1.1,8370,8370,100.0
2020-11-08,1.1,1.1,0.95,0.95,11839,11839,100.0
2020-11-15,0.95,1.0,0.95,0.95,1465,1465,100.0
2020-11-22,1.0,1.05,0.95,1.0,11991,11991,100.0
2020-11-29,1.0,1.05,0.95,0.95,6415,6360,99.14263445050663
2020-12-06,0.95,1.1,0.95,1.1,9047,9047,100.0
2020-12-13,1.1,1.25,1.1,1.2,128631,128631,100.0
2020-12-20,1.25,1.4,1.25,1.4,44630,44630,100.0
2020-12-27,1.4,1.4,1.4,1.4,42286,42286,100.0
2021-01-03,1.4,1.45,1.4,1.4,31786,31786,100.0
2021-01-10,1.4,1.55,1.35,1.55,145143,141273,97.33366404166925
2021-01-17,1.55,1.8,1.55,1.8,35633,34633,97.19361266241967
2021-01-24,,,,,0,0,
2021-01-31,,,,,0,0,
2021-02-07,,,,,0,0,
2021-02-14,,,,,0,0,
2021-02-21,,,,,0,0,
2021-02-28,,,,,0,0,
2021-03-07,,,,,0,0,
2021-03-14,,,,,0,0,
2021-03-21,,,,,0,0,
2021-03-28,,,,,0,0,
2021-04-04,,,,,0,0,
2021-04-11,,,,,0,0,
2021-04-18,,,,,0,0,
2021-04-25,,,,,0,0,
2021-05-02,,,,,0,0,
2021-05-09,,,,,0,0,
2021-05-16,,,,,0,0,
2021-05-23,,,,,0,0,
2021-05-30,,,,,0,0,
2021-06-06,,,,,0,0,
2021-06-13,,,,,0,0,
2021-06-20,,,,,0,0,
2021-06-27,,,,,0,0,
2021-07-04,,,,,0,0,
2021-07-11,,,,,0,0,
2021-07-18,,,,,0,0,
2021-07-25,4.05,4.2,3.7,3.7,302234,220392,72.92098175585804
2021-08-01,3.55,3.75,3.25,3.65,252913,188408,74.49518213773115
2021-08-08,3.8,4.1,3.6,3.65,298371,208446,69.86134711483355
2021-08-15,3.65,3.9,3.2,3.6,304876,183537,60.20054054763248
2021-08-22,3.9,4.5,3.65,3.9,723579,520255,71.90023480504547
2021-08-29,3.9,4.15,3.75,3.95,424559,309889,72.99079750988673
2021-09-05,4.0,4.0,3.7,3.85,190938,133675,70.00963663597608
2021-09-12,3.95,3.95,3.65,3.75,180052,124507,69.15057872170262
2021-09-19,3.85,3.95,3.6,3.65,316976,263631,83.17065014385948
2021-09-26,3.7,3.8,3.4,3.7,440317,303204,68.86038921958499
2021-10-03,3.7,3.8,3.45,3.6,388335,226034,58.20593044665044
2021-10-10,3.7,4.85,3.55,4.85,598113,459428,76.81290993507915
2021-10-17,5.3,5.95,5.3,5.5,1196575,807379,67.47416584835887
2021-10-24,5.5,5.55,4.35,4.35,322858,273731,84.7837129635939
2021-10-31,4.5,4.8,3.95,4.55,401670,288886,71.92122886946997
2021-11-07,4.55,5.25,4.35,5.0,567089,378619,66.765357818614
2021-11-14,5.0,5.35,4.7,4.75,666942,480210,72.00176327176877
2021-11-21,4.55,4.75,4.3,4.6,360729,261001,72.35376141092065
2021-11-28,4.8,5.75,4.8,5.75,670172,561548,83.79162364288571
2021-12-05,5.9,6.0,5.0,5.5,647738,574218,88.64973183602012
2021-12-12,5.65,6.0,5.1,6.0,756756,552331,72.98666941524084
2021-12-19,6.3,7.55,6.3,7.55,938991,529858,56.42844287112443
2021-12-26,7.9,8.65,6.85,8.65,961389,623473,64.85127248179458
2022-01-02,9.05,10.9,9.05,10.9,510231,447813,87.7667174279885
2022-01-09,11.4,11.4,11.4,11.4,31605,31605,100.0
