Date,Open,High,Low,Close,Volume,Deliverable Volume,DeliverablePct
2020-08-30,2199.45,2387.25,2151.7,2213.6,21529479,3632323,16.871392939884892
2020-09-06,2225.0,2260.0,2072.75,2180.85,11408881,2883446,25.27369686825553
2020-09-13,2205.0,2217.0,2125.65,2160.3,5984568,899925,15.037426260341599
2020-09-20,2165.0,2203.8,2120.0,2152.95,5555149,1174840,21.148667659499324
2020-09-27,2153.05,2160.9,2023.0,2117.5,7696507,3018708,39.221792431293835
2020-10-04,2135.0,2230.0,2128.0,2197.65,4401185,1130024,25.67544877118322
2020-10-11,2210.65,2256.8,2170.0,2217.95,7925431,3477453,43.87714687062445
2020-10-18,2233.0,2303.0,2171.15,2269.9,6761372,2532858,37.460710636835245
2020-10-25,2280.0,2280.0,2140.0,2181.9,5722646,1429803,24.984998198385853
2020-11-01,2188.0,2214.65,2070.55,2085.6,5459883,1365189,25.003997338404503
2020-11-08,2079.8,2153.95,2015.2,2139.05,6010601,1536327,25.560289228980597
2020-11-15,2153.0,2588.0,2142.0,2540.55,16668605,2556189,15.335350498736997
2020-11-22,2540.55,2658.0,2491.15,2590.65,7820357,1282626,16.401118260969415
2020-11-29,2595.55,2727.0,2515.1,2534.65,9681484,2132445,22.02601378053199
2020-12-06,2559.95,2597.7,2507.0,2553.5,4734136,988392,20.877980691724954
2020-12-13,2553.5,2609.0,2451.85,2470.8,5575249,1728532,31.00367355789849
2020-12-20,2465.0,2506.45,2392.3,2480.95,8760449,2652967,30.28345921538953
2020-12-27,2460.0,2497.35,2340.6,2436.75,3946021,1028438,26.062659068464157
2021-01-03,2441.1,2555.0,2425.55,2542.7,7774977,1647421,21.188757214330025
2021-01-10,2591.0,2771.3,2580.0,2760.85,9566910,1734561,18.13083848389919
2021-01-17,2767.0,2949.0,2726.7,2857.3,10367092,1353380,13.054576924753828
2021-01-24,2853.15,3037.0,2815.0,2972.6,9820424,1759333,17.915041142826418
2021-01-31,3029.95,3029.95,2726.95,2744.3,8096640,2046452,25.275324085052564
2021-02-07,2777.0,2990.0,2698.55,2932.15,7497949,1214265,16.194628691126066
2021-02-14,2934.0,3018.0,2701.3,2781.25,10331900,1393102,13.48350255035376
