Date,Symbol,Open,High,Low,Close,Volume,Deliverable Volume
2021-08-23,EROSMEDIA,18.6,18.6,17.15,17.15,545926,449177
2021-08-24,EROSMEDIA,17.2,18.0,16.45,17.65,691957,454286
2021-08-25,EROSMEDIA,17.65,18.3,17.65,18.05,330864,287716
2021-08-26,EROSMEDIA,18.05,18.35,17.65,17.9,239534,188863
2021-08-27,EROSMEDIA,18.5,18.5,17.3,17.4,459358,339061
2021-08-30,EROSMEDIA,17.75,18.0,17.3,17.95,224988,176340
2021-08-31,EROSMEDIA,18.2,18.45,17.35,17.4,526628,356713
2021-09-01,EROSMEDIA,17.35,17.75,17.3,17.45,496285,340206
2021-09-02,EROSMEDIA,17.8,17.95,17.25,17.7,456738,311375
2021-09-03,EROSMEDIA,17.7,18.0,17.4,17.6,478911,331452
2021-09-06,EROSMEDIA,17.9,18.15,17.4,17.65,311007,249007
2021-09-07,EROSMEDIA,17.85,17.85,17.3,17.4,395337,295115
2021-09-08,EROSMEDIA,17.45,17.9,17.25,17.45,531571,402991
2021-09-09,EROSMEDIA,17.45,17.75,16.9,17.1,1169357,796651
2021-09-13,EROSMEDIA,17.25,17.5,16.7,16.8,874018,634423
2021-09-14,EROSMEDIA,16.9,17.6,16.5,17.6,985626,680654
2021-09-15,EROSMEDIA,18.0,18.45,17.95,18.45,376821,294229
2021-09-16,EROSMEDIA,19.3,19.35,18.55,19.35,1662346,1111834
2021-09-17,EROSMEDIA,19.5,19.95,18.4,18.9,973705,608012
2021-09-20,EROSMEDIA,18.5,19.75,18.5,19.1,736786,466244
2021-09-21,EROSMEDIA,19.4,19.4,18.55,19.15,299100,176680
2021-09-22,EROSMEDIA,19.5,20.1,19.2,20.1,946585,551916
2021-09-23,EROSMEDIA,20.7,21.1,20.5,21.1,948157,652862
2021-09-24,EROSMEDIA,21.65,22.1,20.05,20.5,1031024,692263
2021-09-27,EROSMEDIA,21.15,21.5,21.05,21.5,1356705,940751
2021-09-28,EROSMEDIA,21.75,22.4,21.0,21.45,866755,552554
2021-09-29,EROSMEDIA,21.7,22.0,21.1,21.8,523277,375685
2021-09-30,EROSMEDIA,22.25,22.25,21.15,21.45,478171,362272
2021-10-01,EROSMEDIA,21.45,21.95,21.0,21.4,447910,288953
2021-10-04,EROSMEDIA,21.85,22.0,21.35,21.45,612514,393700
2021-10-05,EROSMEDIA,21.75,21.8,21.1,21.35,513157,340594
2021-10-06,EROSMEDIA,21.65,21.65,20.9,21.0,258752,187304
2021-10-07,EROSMEDIA,21.35,21.55,20.5,21.0,403411,267088
2021-10-08,EROSMEDIA,21.3,21.4,21.0,21.15,379990,249594
2021-10-11,EROSMEDIA,21.35,21.5,20.4,20.75,681410,515175
2021-10-12,EROSMEDIA,20.4,21.5,20.4,21.3,703039,504437
2021-10-13,EROSMEDIA,21.9,21.9,21.35,21.45,472495,319948
2021-10-14,EROSMEDIA,22.0,22.0,21.25,21.35,291755,208710
2021-10-18,EROSMEDIA,21.7,21.7,21.0,21.3,430674,304588
2021-10-19,EROSMEDIA,21.35,21.55,20.5,20.6,482239,308489
2021-10-20,EROSMEDIA,20.6,21.25,20.05,20.35,266472,180079
2021-10-21,EROSMEDIA,20.4,20.75,19.5,19.65,508519,383869
2021-10-22,EROSMEDIA,19.8,20.4,19.05,19.3,508289,382046
2021-10-25,EROSMEDIA,19.8,19.8,18.6,19.1,329912,237728
2021-10-26,EROSMEDIA,19.45,19.45,18.7,18.9,394817,296235
2021-10-27,EROSMEDIA,19.35,19.5,18.8,19.05,258828,156510
2021-10-28,EROSMEDIA,19.3,19.3,18.7,18.75,283233,233647
2021-10-29,EROSMEDIA,18.75,18.95,18.5,18.6,266985,177350
2021-11-01,EROSMEDIA,18.75,19.2,18.75,19.0,189450,165176
2021-11-02,EROSMEDIA,19.2,19.95,19.05,19.95,303293,224136
2021-11-03,EROSMEDIA,20.3,20.3,19.35,19.5,180400,128486
2021-11-04,EROSMEDIA,19.5,20.3,19.45,20.05,71296,49792
2021-11-08,EROSMEDIA,20.3,20.3,19.7,19.95,194656,118878
2021-11-09,EROSMEDIA,20.3,20.3,19.6,19.9,164370,98729
2021-11-10,EROSMEDIA,20.0,20.35,19.85,20.2,398746,311516
2021-11-11,EROSMEDIA,20.2,21.2,19.55,20.15,273961,168979
2021-11-12,EROSMEDIA,20.15,20.45,19.75,19.85,211279,157013
2021-11-15,EROSMEDIA,19.55,19.9,19.15,19.4,219491,146185
2021-11-16,EROSMEDIA,19.4,19.9,19.2,19.4,105535,85237
2021-11-17,EROSMEDIA,19.15,19.55,19.0,19.15,209227,133177
2021-11-18,EROSMEDIA,19.4,19.45,18.35,18.5,367648,279464
2021-11-22,EROSMEDIA,18.5,18.6,17.65,17.75,406280,311578
2021-11-23,EROSMEDIA,17.5,18.6,17.5,18.6,222759,190449
2021-11-24,EROSMEDIA,19.5,19.5,19.25,19.5,264483,217977
2021-11-25,EROSMEDIA,20.2,20.4,18.9,19.95,489737,297357
2021-11-26,EROSMEDIA,19.55,20.0,19.0,19.0,425579,243030
2021-11-29,EROSMEDIA,18.85,19.0,18.05,18.05,359788,248801
2021-11-30,EROSMEDIA,18.05,18.9,17.5,17.75,551243,322669
2021-12-01,EROSMEDIA,18.45,18.45,17.65,18.05,210174,134665
2021-12-02,EROSMEDIA,18.3,18.45,17.75,18.2,169860,116350
2021-12-03,EROSMEDIA,18.35,18.5,18.0,18.1,198332,143049
2021-12-06,EROSMEDIA,18.15,18.45,17.95,18.05,232559,159742
2021-12-07,EROSMEDIA,18.35,18.35,17.15,18.05,305200,173528
2021-12-08,EROSMEDIA,18.3,18.95,18.0,18.95,374283,283017
2021-12-09,EROSMEDIA,18.95,19.4,18.3,18.95,331269,224467
2021-12-10,EROSMEDIA,19.05,19.75,18.85,19.45,321810,187563
2021-12-13,EROSMEDIA,19.85,20.4,19.55,19.7,353344,234559
2021-12-14,EROSMEDIA,19.7,20.1,19.0,19.45,342658,197590
2021-12-15,EROSMEDIA,19.8,19.8,19.0,19.4,340685,217938
2021-12-16,EROSMEDIA,19.35,19.7,18.85,19.0,255207,164848
2021-12-17,EROSMEDIA,19.25,19.25,18.5,18.65,250186,184158
2021-12-20,EROSMEDIA,18.6,18.85,17.75,17.95,353306,229547
2021-12-21,EROSMEDIA,18.35,18.7,17.85,18.1,345878,244365
2021-12-22,EROSMEDIA,18.4,18.45,18.0,18.25,81999,62831
2021-12-23,EROSMEDIA,18.25,18.6,18.05,18.45,273130,231222
2021-12-24,EROSMEDIA,18.8,18.8,18.2,18.35,193496,163661
2021-12-27,EROSMEDIA,18.1,18.35,17.75,18.0,290272,191910
2021-12-28,EROSMEDIA,18.35,18.9,18.1,18.85,410743,273463
2021-12-29,EROSMEDIA,18.75,19.75,18.5,19.3,663792,513330
2021-12-30,EROSMEDIA,19.35,19.35,18.6,18.7,198939,137807
