Date,Symbol,Open,High,Low,Close,Volume,Deliverable Volume
2021-08-23,FACT,120.1,121.2,109.0,110.4,300959,86846
2021-08-24,FACT,112.0,117.5,111.15,116.2,354439,48275
2021-08-25,FACT,116.8,119.8,114.1,118.55,149642,36897
2021-08-26,FACT,119.15,120.05,117.6,118.4,91486,30381
2021-08-27,FACT,118.8,120.9,117.1,118.95,113351,20079
2021-08-30,FACT,120.4,122.95,119.8,121.7,95839,31151
2021-08-31,FACT,122.6,122.6,120.1,120.4,97871,44961
2021-09-01,FACT,120.8,123.6,119.35,121.3,151779,30591
2021-09-02,FACT,121.05,129.0,120.5,127.7,673343,119412
2021-09-03,FACT,128.25,128.35,124.3,125.2,127209,45232
2021-09-06,FACT,125.2,126.15,122.4,123.7,77051,38819
2021-09-07,FACT,124.65,127.6,121.3,125.05,174735,32918
2021-09-08,FACT,126.1,131.0,125.65,126.85,297946,84977
2021-09-09,FACT,126.3,128.0,124.1,126.95,112031,26537
2021-09-13,FACT,126.95,127.0,124.95,125.35,130059,36397
2021-09-14,FACT,126.25,128.0,125.2,126.05,107445,34636
2021-09-15,FACT,126.5,128.35,125.55,125.9,107394,48778
2021-09-16,FACT,126.1,129.35,125.1,126.1,193184,59492
2021-09-17,FACT,126.4,127.1,120.75,122.8,170420,76430
2021-09-20,FACT,121.1,125.2,119.2,120.15,222756,51602
2021-09-21,FACT,120.3,122.0,117.3,119.8,140299,29393
2021-09-22,FACT,119.8,124.85,119.8,122.85,170956,42296
2021-09-23,FACT,124.9,126.85,122.15,123.65,151936,48175
2021-09-24,FACT,124.2,138.8,123.6,132.25,3367517,523469
2021-09-27,FACT,132.9,135.2,128.15,130.2,889916,176824
2021-09-28,FACT,131.7,134.0,126.55,127.85,350130,99472
2021-09-29,FACT,126.85,130.4,125.3,128.5,339606,78817
2021-09-30,FACT,128.9,130.1,127.0,127.85,144306,45265
2021-10-01,FACT,125.15,129.25,125.15,126.05,186309,44109
2021-10-04,FACT,126.6,129.9,125.55,126.35,208968,69966
2021-10-05,FACT,127.0,129.8,126.6,127.7,218108,57520
2021-10-06,FACT,128.2,129.15,125.0,126.2,152667,68010
2021-10-07,FACT,127.1,128.9,126.75,127.25,133086,35081
2021-10-08,FACT,129.0,138.0,124.7,132.1,700166,157197
2021-10-11,FACT,129.95,129.95,128.0,128.4,143953,71029
2021-10-12,FACT,128.3,132.95,125.55,128.4,463086,78785
2021-10-13,FACT,129.55,130.8,126.5,127.05,175083,70531
2021-10-14,FACT,128.0,130.95,126.5,127.2,191655,54444
2021-10-18,FACT,127.5,128.0,126.1,126.45,100495,59924
2021-10-19,FACT,127.3,128.55,122.0,123.3,155510,59196
2021-10-20,FACT,124.0,125.1,119.55,122.3,144269,48437
2021-10-21,FACT,121.8,124.15,120.6,122.65,126400,33120
2021-10-22,FACT,121.3,123.5,118.05,120.6,88126,33665
2021-10-25,FACT,121.6,121.6,117.05,117.8,85550,26238
2021-10-26,FACT,118.5,119.9,118.1,118.6,76291,30951
2021-10-27,FACT,119.3,119.9,118.15,119.15,49898,18293
2021-10-28,FACT,119.8,119.8,114.95,115.95,88533,41917
2021-10-29,FACT,115.0,116.65,111.9,115.1,65862,25692
2021-11-01,FACT,116.6,120.0,116.1,118.8,76457,30610
2021-11-02,FACT,119.6,128.0,119.6,122.8,332444,58113
2021-11-03,FACT,122.0,122.05,119.05,120.0,74868,29535
2021-11-04,FACT,120.6,121.0,119.0,120.4,18179,11984
2021-11-08,FACT,121.3,122.85,118.2,120.2,96607,27988
2021-11-09,FACT,120.75,122.5,119.3,121.05,62664,25837
2021-11-10,FACT,121.6,125.15,115.6,118.9,899996,77723
2021-11-11,FACT,120.7,120.8,117.0,117.9,69632,29303
2021-11-12,FACT,118.85,119.65,117.3,118.05,67909,29863
2021-11-15,FACT,118.95,118.95,116.0,117.0,37591,15718
2021-11-16,FACT,116.0,118.5,116.0,117.1,82603,22767
2021-11-17,FACT,118.0,118.2,116.0,116.6,36773,15752
2021-11-18,FACT,116.6,120.45,112.2,114.15,107726,45711
2021-11-22,FACT,115.8,115.8,108.5,109.0,82217,36042
2021-11-23,FACT,110.0,114.0,109.0,113.15,69921,21030
2021-11-24,FACT,113.15,116.0,113.15,113.55,36179,13677
2021-11-25,FACT,114.5,117.0,113.2,115.35,64883,19407
2021-11-26,FACT,115.7,115.7,110.3,111.5,47233,27189
2021-11-29,FACT,108.0,111.0,102.25,106.4,90551,44534
2021-11-30,FACT,109.5,117.0,107.1,109.9,379227,62025
2021-12-01,FACT,114.0,117.0,112.5,113.8,206598,49358
2021-12-02,FACT,114.9,114.9,111.75,113.15,50720,27457
2021-12-03,FACT,113.7,116.45,112.25,113.8,108770,42184
2021-12-06,FACT,110.85,115.05,110.5,110.9,68217,25672
2021-12-07,FACT,111.1,113.1,111.0,111.5,59977,21982
2021-12-08,FACT,113.25,117.75,112.8,114.15,253723,56499
2021-12-09,FACT,114.7,115.4,113.4,113.65,70164,30555
2021-12-10,FACT,113.9,116.45,112.35,115.0,92588,24853
2021-12-13,FACT,115.15,119.7,115.15,117.9,169972,71422
2021-12-14,FACT,117.9,118.75,116.05,117.4,81551,18072
2021-12-15,FACT,116.55,120.85,116.45,117.95,283636,72077
2021-12-16,FACT,119.0,122.8,116.5,118.3,492664,86339
2021-12-17,FACT,118.8,121.5,114.0,114.95,310657,80180
2021-12-20,FACT,113.95,113.95,107.1,107.55,134553,47072
2021-12-21,FACT,107.9,111.7,107.9,110.0,104720,25096
2021-12-22,FACT,110.8,112.85,110.65,112.0,26703,7947
2021-12-23,FACT,112.25,120.4,111.9,118.1,198563,88301
2021-12-24,FACT,120.0,121.8,115.35,116.15,388341,63572
2021-12-27,FACT,116.15,116.2,114.2,115.15,61518,14972
2021-12-28,FACT,115.75,121.9,115.45,120.8,209283,89161
2021-12-29,FACT,119.85,124.1,119.1,122.75,229453,83301
2021-12-30,FACT,123.6,139.8,121.55,134.05,4266199,647564
2021-12-31,FACT,133.0,136.4,130.35,131.85,645031,149317
2022-01-03,FACT,132.8,133.55,129.95,130.7,368612,100220
2022-01-04,FACT,131.35,142.85,127.55,136.5,2377337,363591
2022-01-05,FACT,136.3,142.65,133.85,135.1,766970,168753
2022-01-06,FACT,132.8,138.6,131.7,135.45,362935,78634
2022-01-07,FACT,136.4,136.5,130.55,132.15,241695,87050
2022-01-10,FACT,132.3,138.75,132.3,135.95,380346,101577
2022-01-11,FACT,136.0,138.4,133.65,134.1,286425,82210
2022-01-12,FACT,134.9,137.7,132.9,134.05,349613,80352
2022-01-13,FACT,134.9,138.0,133.1,134.85,400064,100538
2022-01-14,FACT,135.9,143.0,134.6,141.3,1155187,333711
2022-01-17,FACT,141.3,150.0,141.0,146.55,2157679,526429
2022-01-18,FACT,147.4,159.9,142.5,147.4,5624731,813261
2022-01-19,FACT,148.25,153.95,146.0,151.8,1665505,266880
2022-01-20,FACT,152.45,153.8,148.5,150.05,535702,172144
2022-01-21,FACT,149.35,149.8,141.0,142.9,494407,174796
2022-01-24,FACT,142.85,143.35,129.45,130.6,546400,217395
2022-01-25,FACT,128.0,144.65,123.35,142.2,1386467,179756
2022-01-27,FACT,140.5,148.8,138.25,144.3,885875,142921
2022-01-28,FACT,145.7,148.95,140.8,141.65,490428,111819
