Date,Symbol,Open,High,Low,Close,Volume,Deliverable Volume
2020-08-26,FCSSOFT,0.45,0.5,0.45,0.5,1606037,763349
2020-08-27,FCSSOFT,0.45,0.5,0.45,0.5,1846629,1120170
2020-08-28,FCSSOFT,0.5,0.5,0.45,0.45,2724348,1527377
2020-08-31,FCSSOFT,0.5,0.5,0.45,0.45,3449960,1682560
2020-09-01,FCSSOFT,0.5,0.5,0.45,0.5,2268557,2165693
2020-09-02,FCSSOFT,0.5,0.5,0.45,0.45,1033888,919791
2020-09-03,FCSSOFT,0.45,0.5,0.45,0.45,1088250,1009013
2020-09-04,FCSSOFT,0.5,0.5,0.45,0.5,1101493,595559
2020-09-07,FCSSOFT,0.5,0.5,0.45,0.45,2592984,1145658
2020-09-08,FCSSOFT,0.5,0.5,0.45,0.45,2104538,1269726
2020-09-09,FCSSOFT,0.5,0.5,0.4,0.4,1321288,1183867
2020-09-10,FCSSOFT,0.45,0.45,0.4,0.45,1784658,864081
2020-09-11,FCSSOFT,0.45,0.45,0.4,0.4,967015,442601
2020-09-14,FCSSOFT,0.45,0.45,0.4,0.45,1389208,875885
2020-09-15,FCSSOFT,0.45,0.45,0.4,0.4,1420890,694423
2020-09-16,FCSSOFT,0.45,0.45,0.4,0.4,1177188,1075786
2020-09-17,FCSSOFT,0.45,0.45,0.4,0.45,1090690,572320
2020-09-18,FCSSOFT,0.45,0.45,0.4,0.4,1277145,626518
2020-09-21,FCSSOFT,0.45,0.45,0.4,0.4,1285179,830819
2020-09-22,FCSSOFT,0.45,0.45,0.4,0.45,2180548,1163274
2020-09-23,FCSSOFT,0.4,0.45,0.4,0.45,656358,314401
2020-09-24,FCSSOFT,0.45,0.45,0.4,0.4,1705646,1562658
2020-09-25,FCSSOFT,0.4,0.45,0.4,0.4,723368,386564
2020-09-28,FCSSOFT,0.45,0.45,0.4,0.4,785849,747040
2020-09-29,FCSSOFT,0.4,0.45,0.4,0.4,1563544,1335225
2020-09-30,FCSSOFT,0.45,0.45,0.4,0.4,571891,382107
2020-10-01,FCSSOFT,0.45,0.45,0.4,0.45,866991,382622
2020-10-05,FCSSOFT,0.45,0.45,0.4,0.45,1438125,913446
2020-10-06,FCSSOFT,0.4,0.45,0.4,0.4,965676,922035
2020-10-07,FCSSOFT,0.45,0.45,0.35,0.4,2559372,1810000
2020-10-08,FCSSOFT,0.45,0.45,0.35,0.4,794326,618025
2020-10-09,FCSSOFT,0.45,0.45,0.4,0.4,763257,710916
2020-10-12,FCSSOFT,0.4,0.45,0.4,0.45,750504,639299
2020-10-13,FCSSOFT,0.45,0.45,0.4,0.4,476463,462713
2020-10-14,FCSSOFT,0.45,0.45,0.4,0.4,577689,314664
2020-10-15,FCSSOFT,0.45,0.45,0.4,0.4,700812,452924
2020-10-16,FCSSOFT,0.45,0.45,0.35,0.4,1209077,861026
2020-10-19,FCSSOFT,0.4,0.4,0.35,0.4,1058513,884662
2020-10-20,FCSSOFT,0.4,0.4,0.35,0.4,656706,587663
2020-10-21,FCSSOFT,0.35,0.4,0.35,0.4,1395718,918407
2020-10-22,FCSSOFT,0.4,0.4,0.35,0.4,515849,317998
2020-10-23,FCSSOFT,0.4,0.45,0.35,0.45,5533889,5107779
2020-10-26,FCSSOFT,0.5,0.5,0.4,0.45,4716482,4019856
2020-10-27,FCSSOFT,0.45,0.45,0.4,0.4,888672,837201
2020-10-28,FCSSOFT,0.4,0.45,0.35,0.4,2646740,2393244
2020-10-29,FCSSOFT,0.4,0.45,0.35,0.4,644915,478604
2020-10-30,FCSSOFT,0.4,0.45,0.4,0.45,816206,806198
2020-11-02,FCSSOFT,0.45,0.45,0.4,0.4,720331,483301
2020-11-03,FCSSOFT,0.45,0.45,0.4,0.4,689154,543617
2020-11-04,FCSSOFT,0.45,0.45,0.4,0.45,513539,418790
2020-11-05,FCSSOFT,0.45,0.45,0.4,0.4,474192,434394
2020-11-06,FCSSOFT,0.45,0.45,0.4,0.4,728522,483540
2020-11-09,FCSSOFT,0.4,0.45,0.35,0.4,915050,627206
