Date,Open,High,Low,Close,Volume,Deliverable Volume,DeliverablePct,ADL,OBV
2020-08-30,620.0,649.25,589.0,604.25,340762,115554,33.91047123799015,-16.744174594692232,33.91047123799015
2020-09-06,602.25,635.45,548.0,610.8,597758,145984,24.42192325322288,-6.090128029678521,58.33239449121303
2020-09-13,617.0,617.0,555.3,578.75,195796,72422,36.9884982328546,-14.962571690071487,21.343896258358427
2020-09-20,585.0,660.0,577.35,621.6,414589,143057,34.505739419039095,-12.52024167674566,55.84963567739752
2020-09-27,620.0,656.85,523.75,574.6,326026,103002,31.59318581953586,-19.97348010449491,24.25644985786166
2020-10-04,582.1,611.1,560.0,568.3,116550,46079,39.53582153582153,-46.665962354707176,-15.279371677959872
2020-10-11,590.0,590.35,531.5,538.55,487337,158949,32.61582847187881,-71.46729326577905,-47.89520014983868
2020-10-18,539.0,539.0,501.05,516.2,139703,69342,49.6352977387744,-81.47282759256746,-97.53049788861307
2020-10-25,520.0,548.0,506.1,529.0,124681,49349,39.580208692583476,-77.78875088848453,-57.950289196029594
2020-11-01,532.0,534.8,487.95,497.6,135960,68347,50.26993233303912,-107.34983169478599,-108.22022152906871
2020-11-08,504.95,518.85,490.05,511.15,66143,30061,45.448497951408314,-86.20365556461698,-62.771723577660396
2020-11-15,513.65,594.9,485.05,579.35,587056,145332,24.756070971082828,-68.4563584415148,-38.01565260657757
2020-11-22,587.95,589.0,531.0,536.55,148824,79909,53.69362468419072,-111.87413426373118,-91.70927729076828
2020-11-29,537.0,558.0,531.0,549.4,180639,87022,48.17453595292268,-94.38856195489265,-43.5347413378456
2020-12-06,555.0,560.0,542.0,554.55,93680,49401,52.73377455166525,-73.58801754840273,9.199033213819646
2020-12-13,554.8,580.0,531.15,538.2,162308,95643,58.9268551149666,-115.50630240500624,-49.72782190114695
2020-12-20,540.8,555.7,525.0,527.9,127106,83687,65.84032225071988,-168.90773641291923,-115.56814415186683
2020-12-27,527.9,537.3,471.0,513.15,105926,58819,55.5283877423862,-153.83215603037092,-171.09653189425302
2021-01-03,507.0,574.9,507.0,558.75,228663,117272,51.28595356485308,-126.94290791683969,-119.81057832939993
2021-01-10,569.0,604.7,551.0,594.5,329251,159090,48.31875985190629,-96.97987806454032,-71.49181847749364
2021-01-17,608.65,650.0,570.4,612.35,339378,170175,50.14320315400526,-94.271137190643,-21.348615323488374
2021-01-24,612.4,614.25,575.0,581.85,155286,78398,50.48619965740634,-127.13540219055969,-71.83481498089472
2021-01-31,579.0,588.7,553.9,580.6,64496,34266,53.12887620937733,-98.73893387175458,-124.96369119027204
