Date,Symbol,Open,High,Low,Close,Volume,Deliverable Volume
2021-08-23,FLFL,48.1,50.0,46.65,47.25,152883,81610
2021-08-24,FLFL,47.0,48.4,46.9,47.9,131995,71774
2021-08-25,FLFL,48.95,50.25,48.0,50.15,125168,75977
2021-08-26,FLFL,51.9,51.9,50.6,50.95,103139,57236
2021-08-27,FLFL,50.95,51.6,50.1,50.55,59246,27446
2021-08-30,FLFL,51.8,51.8,49.8,50.3,91612,55018
2021-08-31,FLFL,50.45,50.95,49.6,50.1,81767,44253
2021-09-01,FLFL,50.75,51.75,50.25,51.0,106184,78172
2021-09-02,FLFL,51.25,52.6,50.7,51.5,139093,77466
2021-09-03,FLFL,51.75,52.2,50.5,50.95,100189,69742
2021-09-06,FLFL,51.4,53.35,50.4,52.3,132369,71891
2021-09-07,FLFL,52.6,53.35,51.05,51.4,67315,32412
2021-09-08,FLFL,51.05,52.5,51.05,51.35,85332,39444
2021-09-09,FLFL,52.45,53.9,52.4,53.9,302598,148483
2021-09-13,FLFL,54.5,55.95,52.4,52.7,255939,146436
2021-09-14,FLFL,51.25,52.5,51.25,51.5,171114,105077
2021-09-15,FLFL,52.5,52.5,51.55,52.1,97033,61423
2021-09-16,FLFL,52.5,53.2,51.25,52.85,199218,122649
2021-09-17,FLFL,52.55,54.75,52.0,53.6,257380,136057
2021-09-20,FLFL,53.5,56.25,52.6,55.35,333771,203798
2021-09-21,FLFL,55.35,56.8,54.3,56.2,231618,150320
2021-09-22,FLFL,56.2,56.9,55.0,55.55,94361,48338
2021-09-23,FLFL,55.05,56.8,55.05,56.05,135170,82768
2021-09-24,FLFL,56.1,56.95,55.4,55.7,51335,31700
2021-09-27,FLFL,55.5,55.95,54.05,55.35,42083,23888
2021-09-28,FLFL,56.0,58.1,54.4,58.1,161041,98665
2021-09-29,FLFL,61.0,61.0,60.5,61.0,165059,143655
2021-09-30,FLFL,62.2,62.2,58.5,58.95,252978,164698
2021-10-01,FLFL,58.15,58.95,57.5,58.55,100785,52782
2021-10-04,FLFL,60.0,60.7,58.7,59.3,97441,58092
2021-10-05,FLFL,59.75,61.9,57.45,60.75,219247,139764
2021-10-06,FLFL,61.9,61.9,58.65,59.45,169697,105915
2021-10-07,FLFL,60.4,62.7,59.1,60.6,121856,73848
2021-10-08,FLFL,62.0,65.95,60.75,62.25,238084,92494
2021-10-11,FLFL,64.0,64.9,62.0,62.7,136522,76308
2021-10-12,FLFL,64.9,68.95,63.55,67.45,745771,264554
2021-10-13,FLFL,67.0,69.55,63.3,64.55,430466,207739
2021-10-14,FLFL,64.6,66.15,63.55,64.05,102599,64532
2021-10-18,FLFL,64.35,70.0,60.35,65.65,401733,142042
2021-10-19,FLFL,66.9,67.85,63.1,64.25,207349,105937
2021-10-20,FLFL,65.0,65.0,61.0,61.5,113570,60207
2021-10-21,FLFL,58.6,61.0,56.3,59.05,180903,81549
2021-10-22,FLFL,58.55,60.75,57.1,57.75,125051,63811
2021-10-25,FLFL,57.7,58.7,53.55,55.1,173620,87388
2021-10-26,FLFL,58.8,58.8,55.1,56.95,65750,27360
2021-10-27,FLFL,57.55,58.65,56.35,56.8,64762,26482
2021-10-28,FLFL,56.1,57.9,55.05,55.3,77428,47227
2021-10-29,FLFL,55.35,56.8,53.65,55.05,116639,36403
2021-11-01,FLFL,55.05,56.25,53.65,54.95,81561,39029
2021-11-02,FLFL,55.25,55.95,54.35,55.35,88492,51857
2021-11-03,FLFL,56.3,58.1,55.15,55.8,65299,32728
2021-11-04,FLFL,54.8,58.9,54.8,56.55,21003,11712
2021-11-08,FLFL,57.65,57.65,55.45,55.75,119623,63077
2021-11-09,FLFL,55.7,56.0,54.3,54.75,104373,71723
2021-11-10,FLFL,55.6,55.6,53.8,54.4,114323,82171
2021-11-11,FLFL,54.9,55.35,53.65,53.95,370982,144436
