Date,Symbol,Open,High,Low,Close,Volume,Deliverable Volume
2020-08-26,FSC,152.0,152.0,145.75,148.0,145230,128663
2020-08-27,FSC,151.0,154.8,140.6,148.05,529416,361565
2020-08-28,FSC,149.7,155.0,148.5,151.35,604415,478911
2020-08-31,FSC,158.9,158.9,158.9,158.9,72579,72579
2020-09-01,FSC,166.8,166.8,166.8,166.8,535647,384098
2020-09-02,FSC,172.5,174.9,158.5,158.5,985790,630905
2020-09-03,FSC,150.6,150.6,150.6,150.6,214276,214263
2020-09-04,FSC,143.1,143.1,143.1,143.1,203587,203584
2020-09-07,FSC,135.95,135.95,135.95,135.95,183538,183537
2020-09-08,FSC,129.2,138.0,129.2,129.2,2060188,1145495
2020-09-09,FSC,122.75,122.75,122.75,122.75,228120,228120
2020-09-10,FSC,116.65,128.85,116.65,121.35,7190401,2395231
2020-09-11,FSC,123.0,126.9,120.15,123.3,1308640,708137
2020-09-14,FSC,123.4,124.4,117.15,117.4,656373,431510
2020-09-15,FSC,117.5,123.25,112.55,123.25,527579,252847
2020-09-16,FSC,123.25,125.35,119.3,122.85,424591,199146
2020-09-17,FSC,119.0,122.4,118.85,119.65,289133,157894
2020-09-18,FSC,121.75,122.7,119.4,120.0,217034,112366
2020-09-21,FSC,118.0,119.75,114.0,114.05,197199,139849
2020-09-22,FSC,110.05,115.05,108.35,110.4,252338,114143
2020-09-23,FSC,112.9,113.1,104.9,104.95,299241,169887
2020-09-24,FSC,100.35,102.85,99.75,99.75,146752,99684
2020-09-25,FSC,96.25,104.7,94.8,104.6,677511,248267
2020-09-28,FSC,106.95,109.8,102.1,109.7,470516,261142
2020-09-29,FSC,110.1,114.9,106.4,110.3,827451,261544
2020-09-30,FSC,107.7,108.9,104.8,104.8,182345,81348
2020-10-01,FSC,101.6,106.9,100.5,104.8,244559,70433
2020-10-05,FSC,105.7,108.45,101.5,103.35,301130,98824
2020-10-06,FSC,103.55,105.9,103.55,105.05,101410,43697
2020-10-07,FSC,107.65,110.0,103.0,104.85,168912,82492
2020-10-08,FSC,97.0,100.4,96.0,98.35,354974,134712
2020-10-09,FSC,96.0,98.45,93.5,94.85,273935,129369
2020-10-12,FSC,92.55,93.75,85.4,85.4,412294,240358
2020-10-13,FSC,81.25,93.5,78.5,85.15,1152590,385941
2020-10-14,FSC,85.45,85.45,80.3,83.3,303111,127353
2020-10-15,FSC,83.95,87.45,83.95,86.6,338749,159736
2020-10-16,FSC,86.75,88.0,84.0,85.7,151418,70818
2020-10-19,FSC,87.8,87.8,83.7,86.2,163637,62493
2020-10-20,FSC,85.9,88.0,84.1,86.6,271248,57807
2020-10-21,FSC,87.45,90.9,87.15,89.8,343055,133432
