Date,Symbol,Open,High,Low,Close,Volume,Deliverable Volume
2022-04-05,GATEWAY,79.45,87.0,75.55,76.8,2244983,1333343
2022-04-06,GATEWAY,76.65,77.0,73.4,74.85,1239969,993925
2022-04-07,GATEWAY,75.95,78.15,75.0,77.3,671895,446453
2022-04-08,GATEWAY,78.0,81.0,76.6,78.65,657183,284644
2022-04-11,GATEWAY,78.65,79.0,76.95,77.5,405209,305755
2022-04-12,GATEWAY,77.1,77.5,74.1,74.7,1186899,973342
2022-04-13,GATEWAY,75.9,77.5,75.5,76.05,472692,363985
2022-04-18,GATEWAY,78.5,78.8,76.7,77.2,525124,341088
2022-04-19,GATEWAY,78.1,82.8,77.4,80.05,5223483,4143007
2022-04-20,GATEWAY,82.0,82.5,77.65,79.2,1284964,948774
2022-04-21,GATEWAY,80.0,83.0,79.6,82.4,834905,576043
2022-04-22,GATEWAY,82.65,82.65,80.05,81.45,483759,296494
2022-04-25,GATEWAY,80.0,81.3,77.95,78.9,435364,276742
2022-04-26,GATEWAY,80.7,80.7,71.3,76.3,2449194,1014517
2022-04-27,GATEWAY,77.0,77.8,72.6,75.05,2566750,1787027
2022-04-28,GATEWAY,76.9,76.9,73.9,75.2,680314,433648
2022-04-29,GATEWAY,76.3,76.9,73.95,74.55,440409,271586
2022-05-02,GATEWAY,74.95,75.5,73.0,73.8,263031,149531
2022-05-04,GATEWAY,75.3,77.5,74.65,76.25,820684,517270
2022-05-05,GATEWAY,77.0,77.6,73.65,74.35,250989,128311
2022-05-06,GATEWAY,73.05,74.0,72.15,72.8,663956,548449
2022-05-09,GATEWAY,71.3,73.95,70.1,72.65,1583059,1430984
2022-05-10,GATEWAY,72.0,73.55,71.4,72.25,639607,451215
2022-05-11,GATEWAY,73.0,73.8,70.65,72.6,464671,262717
2022-05-12,GATEWAY,73.2,73.2,70.25,71.3,259032,180390
2022-05-13,GATEWAY,73.6,74.4,70.0,72.8,370516,217903
2022-05-16,GATEWAY,72.8,74.0,71.25,73.5,243629,163511
2022-05-17,GATEWAY,73.0,73.75,72.5,73.55,132480,93366
2022-05-18,GATEWAY,74.6,74.65,72.7,74.2,263659,159071
2022-05-19,GATEWAY,72.0,74.6,71.6,74.25,283589,187859
2022-05-20,GATEWAY,74.25,75.5,73.15,75.1,1372003,1256187
2022-05-23,GATEWAY,76.0,78.4,74.2,77.95,1478610,1251019
2022-05-24,GATEWAY,78.95,78.95,73.9,74.7,1829315,1719487
2022-05-25,GATEWAY,78.0,78.0,71.2,73.6,848069,707423
2022-05-26,GATEWAY,73.8,76.5,73.5,75.95,267710,163299
2022-05-27,GATEWAY,77.0,77.0,74.1,74.95,1054166,966677
2022-05-30,GATEWAY,75.0,76.0,74.7,75.25,587619,541778
2022-05-31,GATEWAY,76.4,76.4,75.0,75.5,159926,134935
2022-06-01,GATEWAY,76.0,76.0,72.0,73.0,230811,131927
2022-06-02,GATEWAY,74.1,75.5,73.15,74.4,751022,678564
2022-06-03,GATEWAY,73.45,75.0,73.05,73.25,131338,90166
2022-06-06,GATEWAY,73.25,73.55,71.25,72.9,128218,74129
2022-06-07,GATEWAY,73.6,73.6,71.55,72.45,102195,65045
2022-06-08,GATEWAY,73.0,73.55,72.1,72.9,415930,375140
2022-06-09,GATEWAY,72.0,73.6,71.8,72.15,849643,669270
2022-06-10,GATEWAY,72.15,74.75,69.65,73.55,2916692,2313744
2022-06-13,GATEWAY,72.6,72.6,68.05,69.85,212464,130491
2022-06-14,GATEWAY,68.0,71.8,68.0,70.05,723119,621659
2022-06-15,GATEWAY,71.0,72.0,69.05,71.4,75473,41693
2022-06-16,GATEWAY,72.5,72.5,70.05,70.8,323568,247032
2022-06-17,GATEWAY,69.75,70.9,66.3,67.3,1046491,807279
2022-06-20,GATEWAY,66.3,68.3,64.2,65.3,222106,140162
2022-06-21,GATEWAY,66.0,66.65,65.45,66.0,342945,288804
2022-06-22,GATEWAY,66.65,67.75,65.95,66.45,249007,203921
2022-06-23,GATEWAY,66.65,67.25,66.2,67.05,83676,49674
2022-06-24,GATEWAY,67.0,69.65,66.35,67.45,925775,818882
2022-06-27,GATEWAY,68.0,69.3,67.0,67.7,193552,148872
2022-06-28,GATEWAY,66.6,68.8,66.6,68.0,79685,49796
2022-06-29,GATEWAY,68.5,68.5,66.5,66.95,521635,486857
2022-06-30,GATEWAY,66.5,68.2,66.3,67.2,46102,31730
2022-07-01,GATEWAY,68.2,68.2,65.5,66.25,402563,349044
2022-07-04,GATEWAY,67.4,67.65,66.0,66.8,181829,144741
2022-07-05,GATEWAY,67.75,68.7,66.85,68.35,400134,364511
2022-07-06,GATEWAY,68.55,69.2,67.8,68.8,396118,363153
2022-07-07,GATEWAY,69.85,71.3,68.7,69.9,184000,133657
2022-07-08,GATEWAY,70.1,70.5,67.1,69.45,117006,68616
2022-07-11,GATEWAY,69.9,70.0,69.2,69.7,45585,30019
2022-07-12,GATEWAY,70.5,70.5,67.25,68.5,82205,57665
2022-07-13,GATEWAY,69.5,69.5,67.0,67.35,126561,91739
2022-07-14,GATEWAY,67.9,67.9,66.85,66.95,245526,234234
2022-07-15,GATEWAY,66.3,68.5,66.3,67.45,265177,241693
2022-07-18,GATEWAY,68.1,68.9,67.4,67.8,124230,95987
2022-07-19,GATEWAY,69.45,71.5,67.65,68.0,420119,281205
2022-07-20,GATEWAY,70.0,70.0,68.55,69.35,127281,90652
2022-07-21,GATEWAY,70.0,74.9,68.15,72.3,712563,509707
2022-07-22,GATEWAY,72.9,73.0,71.0,71.4,439361,388212
2022-07-25,GATEWAY,73.0,73.0,69.65,71.05,104622,72641
2022-07-26,GATEWAY,71.0,71.2,69.15,70.05,77053,42371
2022-07-27,GATEWAY,71.1,71.55,68.9,71.15,150604,89553
2022-07-28,GATEWAY,71.15,72.55,69.95,71.5,189331,114535
2022-07-29,GATEWAY,72.2,74.5,70.4,73.5,282468,147187
2022-08-01,GATEWAY,75.0,75.0,72.95,73.95,184020,112938
2022-08-02,GATEWAY,74.4,75.0,69.0,71.95,864658,332979
2022-08-03,GATEWAY,72.65,72.65,66.3,71.15,646871,359918
2022-08-04,GATEWAY,70.2,72.6,68.5,70.5,257241,162320
2022-08-05,GATEWAY,71.6,71.6,69.0,70.55,208298,148846
2022-08-08,GATEWAY,70.55,71.5,69.0,70.45,133220,86945
2022-08-10,GATEWAY,70.8,70.8,69.0,69.45,108083,79378
2022-08-11,GATEWAY,69.1,70.5,69.1,70.15,338829,297247
2022-08-12,GATEWAY,70.15,70.15,69.0,69.3,167389,118931
2022-08-16,GATEWAY,69.3,69.95,69.05,69.7,254466,193493
2022-08-17,GATEWAY,70.5,70.55,68.9,70.1,458836,386165
2022-08-18,GATEWAY,70.65,70.65,69.0,70.0,169941,110460
2022-08-19,GATEWAY,70.0,72.5,69.1,70.4,490715,411715
2022-08-22,GATEWAY,70.0,70.1,66.9,69.6,1147515,774143
2022-08-23,GATEWAY,69.6,69.7,68.05,68.9,258017,168649
2022-08-24,GATEWAY,69.55,69.55,67.25,68.05,1034468,929159
2022-08-25,GATEWAY,68.5,68.75,67.4,67.6,901516,839258
2022-08-26,GATEWAY,68.35,68.35,67.3,67.6,156179,117109
2022-08-29,GATEWAY,66.9,67.3,66.05,66.6,237936,175801
2022-08-30,GATEWAY,68.2,68.45,66.45,68.05,465893,332541
2022-09-01,GATEWAY,68.05,68.3,66.15,66.4,297580,232192
2022-09-02,GATEWAY,67.4,69.3,66.35,68.35,405337,246550
2022-09-05,GATEWAY,68.35,69.45,67.45,67.7,1478704,1379126
2022-09-06,GATEWAY,68.7,68.7,66.6,66.85,251865,167384
2022-09-07,GATEWAY,66.8,68.3,66.25,67.35,766912,595405
2022-09-08,GATEWAY,67.8,68.2,66.9,67.1,314087,224449
2022-09-09,GATEWAY,67.45,67.7,66.75,66.9,175074,131298
2022-09-12,GATEWAY,67.05,68.0,66.45,66.9,325020,227994
2022-09-13,GATEWAY,67.0,67.95,66.6,66.9,363339,273006
2022-09-14,GATEWAY,66.7,75.0,66.6,71.9,3213217,1388199
2022-09-15,GATEWAY,72.5,72.6,70.45,70.85,1013844,827496
2022-09-16,GATEWAY,71.5,73.05,69.4,69.8,1246401,957478
2022-09-19,GATEWAY,71.9,72.75,69.15,69.55,985384,444462
2022-09-20,GATEWAY,70.0,74.4,69.95,71.05,1167310,744925
2022-09-21,GATEWAY,74.0,76.75,71.5,74.4,4112406,1415951
2022-09-22,GATEWAY,73.95,74.0,72.5,72.75,1111892,797544
2022-09-23,GATEWAY,72.7,72.85,70.35,70.75,590032,353280
2022-09-26,GATEWAY,71.0,71.0,67.0,67.55,462945,285470
2022-09-27,GATEWAY,67.6,68.8,66.15,66.75,1422896,1111558
2022-09-28,GATEWAY,67.0,69.0,66.5,66.85,850117,620563
2022-09-29,GATEWAY,68.0,68.35,65.95,66.65,396002,225185
2022-09-30,GATEWAY,67.15,68.45,66.6,67.9,259798,129236
2022-10-03,GATEWAY,68.4,68.4,67.0,67.25,184575,112093
2022-10-04,GATEWAY,67.8,70.9,67.8,69.5,342310,204733
2022-10-06,GATEWAY,70.0,70.6,69.0,69.5,256224,140272
2022-10-07,GATEWAY,69.9,70.75,68.75,70.2,274914,173948
2022-10-10,GATEWAY,69.25,71.5,69.0,70.9,356021,202023
2022-10-11,GATEWAY,71.95,71.95,69.9,70.85,458074,260985
2022-10-12,GATEWAY,70.9,72.2,70.25,70.95,218594,130522
2022-10-13,GATEWAY,71.65,72.1,70.6,71.2,296616,178751
2022-10-14,GATEWAY,72.05,72.7,71.55,72.0,416754,266142
2022-10-17,GATEWAY,70.9,72.0,70.85,71.35,188109,104305
2022-10-18,GATEWAY,72.4,72.85,70.7,70.95,312037,199368
2022-10-19,GATEWAY,71.65,71.7,69.5,70.15,486202,269406
2022-10-20,GATEWAY,70.0,70.0,68.45,69.2,321363,217602
2022-10-21,GATEWAY,69.0,69.6,67.45,67.85,317002,153001
2022-10-24,GATEWAY,69.9,70.0,68.0,69.0,105805,69333
2022-10-25,GATEWAY,69.0,70.0,68.0,69.3,152194,83905
2022-10-27,GATEWAY,69.9,71.5,69.5,70.85,322741,205663
2022-10-28,GATEWAY,70.8,71.7,69.6,71.05,330849,110235
2022-10-31,GATEWAY,71.9,73.7,70.55,72.8,1463407,1218255
2022-11-01,GATEWAY,73.45,74.95,72.1,73.4,903837,453933
2022-11-02,GATEWAY,73.6,73.7,71.65,72.8,260644,161715
2022-11-03,GATEWAY,72.8,74.0,71.75,73.55,366673,239919
2022-11-04,GATEWAY,74.0,74.45,71.8,72.05,288050,206297
2022-11-07,GATEWAY,70.95,74.65,70.95,73.7,457633,280665
2022-11-09,GATEWAY,73.7,74.45,72.0,73.25,597991,326684
2022-11-10,GATEWAY,74.0,76.6,73.4,74.85,1868358,1253855
2022-11-11,GATEWAY,76.0,76.05,72.0,74.6,1475231,1155538
2022-11-14,GATEWAY,75.2,75.75,72.05,72.3,731341,430269
2022-11-15,GATEWAY,73.4,73.75,71.1,73.55,511125,356843
2022-11-16,GATEWAY,73.6,74.25,72.0,73.0,649620,431124
2022-11-17,GATEWAY,73.75,73.75,71.3,71.95,431747,263572
2022-11-18,GATEWAY,72.0,72.5,69.7,70.0,526792,355422
2022-11-21,GATEWAY,70.0,70.7,68.55,69.5,1612818,1378474
2022-11-22,GATEWAY,70.35,70.35,68.6,69.95,437085,310246
2022-11-23,GATEWAY,70.1,70.35,69.1,69.75,435536,286622
2022-11-24,GATEWAY,70.8,70.8,69.2,69.8,871086,752775
2022-11-25,GATEWAY,70.5,70.5,69.4,69.75,262890,160378
2022-11-28,GATEWAY,69.75,70.25,68.2,68.95,1230541,707545
2022-11-29,GATEWAY,68.95,69.2,67.85,68.1,371627,258941
2022-11-30,GATEWAY,68.5,68.5,67.0,67.3,737732,502281
2022-12-01,GATEWAY,67.5,68.5,67.2,67.45,420709,303119
2022-12-02,GATEWAY,67.7,68.85,67.5,67.8,529772,345518
2022-12-05,GATEWAY,68.8,68.8,67.8,68.2,242498,163803
2022-12-06,GATEWAY,68.8,69.05,68.0,68.3,556543,428174
2022-12-07,GATEWAY,69.4,69.4,68.1,68.4,227262,160107
2022-12-08,GATEWAY,68.15,71.0,68.15,69.3,961465,655840
2022-12-09,GATEWAY,69.5,70.25,68.35,69.4,535991,336818
2022-12-12,GATEWAY,69.95,70.0,68.55,69.05,259438,160418
2022-12-13,GATEWAY,70.0,70.0,68.5,69.05,425871,280037
2022-12-14,GATEWAY,69.0,69.75,68.6,69.05,364393,242101
2022-12-15,GATEWAY,69.05,69.5,67.8,67.95,374655,308548
2022-12-16,GATEWAY,67.95,68.5,67.3,67.7,243920,150479
2022-12-19,GATEWAY,67.75,69.35,67.75,68.65,325771,187816
2022-12-20,GATEWAY,69.25,69.25,67.35,68.3,599814,392310
2022-12-21,GATEWAY,68.7,68.95,66.8,67.05,402138,275182
2022-12-22,GATEWAY,68.4,68.4,64.9,66.15,853839,570113
2022-12-23,GATEWAY,65.85,65.85,62.95,65.35,1015206,611016
2022-12-26,GATEWAY,64.5,67.0,64.5,66.05,240703,117349
2022-12-27,GATEWAY,67.05,67.8,66.6,66.9,236108,104166
2022-12-28,GATEWAY,66.95,68.05,66.2,67.65,151551,73664
2022-12-29,GATEWAY,67.5,67.6,66.3,67.05,215561,130437
2022-12-30,GATEWAY,67.05,68.25,67.05,67.75,155086,85593
2023-01-02,GATEWAY,68.0,69.25,67.55,68.95,308641,204888
2023-01-03,GATEWAY,69.15,70.05,68.65,69.25,301278,172221
2023-01-04,GATEWAY,69.95,69.95,66.95,67.1,282839,198748
