Date,Open,High,Low,Close,Volume,Deliverable Volume,DeliverablePct
2020-08-30,52.5,57.85,49.1,57.85,133557,112445,84.19251705264419
2020-09-06,,,,,0,0,
2020-09-13,,,,,0,0,
2020-09-20,,,,,0,0,
2020-09-27,,,,,0,0,
2020-10-04,,,,,0,0,
2020-10-11,,,,,0,0,
2020-10-18,,,,,0,0,
2020-10-25,,,,,0,0,
2020-11-01,,,,,0,0,
2020-11-08,,,,,0,0,
2020-11-15,51.4,51.45,46.55,49.0,30514,22132,72.53064167267483
2020-11-22,51.0,51.0,43.8,44.15,34196,24984,73.06117674581823
2020-11-29,46.0,52.75,42.05,52.75,138438,114965,83.04439532498303
2020-12-06,55.35,62.85,50.2,57.55,349249,328542,94.07099232925505
2020-12-13,57.1,59.5,54.3,55.8,39208,30622,78.10140787594368
2020-12-20,58.5,60.0,54.0,55.9,58799,43716,74.3482032007347
2020-12-27,58.45,58.45,50.2,53.2,112392,76015,67.6338173535483
2021-01-03,55.8,67.75,52.1,67.75,132380,108192,81.72835775796948
2021-01-10,70.6,86.35,68.45,78.55,200275,155415,77.60079890151043
2021-01-17,81.7,82.0,71.25,76.7,93642,66449,70.96068003673565
2021-01-24,,,,,0,0,
2021-01-31,,,,,0,0,
2021-02-07,,,,,0,0,
2021-02-14,,,,,0,0,
2021-02-21,,,,,0,0,
2021-02-28,,,,,0,0,
2021-03-07,,,,,0,0,
2021-03-14,,,,,0,0,
2021-03-21,,,,,0,0,
2021-03-28,,,,,0,0,
2021-04-04,,,,,0,0,
2021-04-11,,,,,0,0,
2021-04-18,,,,,0,0,
2021-04-25,,,,,0,0,
2021-05-02,97.65,108.8,89.3,108.55,407304,379979,93.29125174316972
2021-05-09,109.0,112.0,95.55,96.2,67576,49082,72.6322954895229
2021-05-16,93.1,104.45,91.65,100.05,84994,59668,70.20260253664965
2021-05-23,103.0,106.35,97.55,98.65,70793,51663,72.97755427796534
2021-05-30,98.55,110.5,95.15,99.65,68801,44056,64.03395299486925
2021-06-06,101.0,104.45,94.85,101.25,89325,71010,79.49622166246851
2021-06-13,101.9,122.0,100.15,118.45,314149,183391,58.37707584617491
2021-06-20,118.8,118.8,105.0,114.5,118503,77383,65.30045652852671
2021-06-27,111.55,122.0,108.2,116.85,207745,119166,57.36166935425642
2021-07-04,119.75,144.1,114.85,144.1,585748,404370,69.03480677697577
2021-07-11,156.9,166.4,146.75,147.95,403053,283314,70.2919963379506
2021-07-18,152.0,188.7,149.25,174.6,400722,240127,59.92358792379755
2021-07-25,167.0,171.95,152.1,162.25,149599,96214,64.31460103342937
2021-08-01,160.05,164.65,144.15,155.0,137306,96684,70.41498550682418
2021-08-08,154.2,166.0,143.35,146.35,178846,116299,65.02745378705703
2021-08-15,151.7,155.8,137.85,139.05,163136,107396,65.83218909376227
2021-08-22,139.0,144.8,131.15,131.35,169379,131640,77.71919777540309
2021-08-29,134.95,134.95,124.8,132.85,173760,137846,79.33126151012891
2021-09-05,139.45,149.0,131.25,145.35,143070,101144,70.69546375899908
2021-09-12,149.9,149.9,138.05,146.2,67047,50988,76.04814533088728
2021-09-19,149.5,150.0,139.25,140.2,89564,63777,71.20829797686571
2021-09-26,144.55,170.9,136.15,170.9,189930,119641,62.992155004475336
2021-10-03,179.4,217.95,165.55,217.95,523817,374553,71.50455216230097
2021-10-10,228.8,278.0,217.95,278.0,1011507,668922,66.13122795986583
2021-10-17,291.9,313.9,276.6,293.95,2262709,1429402,63.17215337898068
2021-10-24,294.0,298.85,246.1,253.8,517495,356130,68.8180562131035
2021-10-31,258.0,259.85,222.5,236.15,343852,196381,57.1120714726103
2021-11-07,243.8,272.4,237.2,272.4,242710,174214,71.77866589757323
2021-11-14,284.6,295.0,266.0,270.25,643389,426604,66.30576525243671
2021-11-21,270.0,291.8,254.0,276.7,447401,279648,62.50500110639001
2021-11-28,280.3,319.45,251.2,319.45,606653,377956,62.301843063497586
2021-12-05,335.4,349.9,300.8,315.05,985199,596027,60.498132864527875
2021-12-12,325.0,380.0,325.0,358.7,695243,490680,70.57676236941616
2021-12-19,356.7,386.8,328.6,337.15,576576,332605,57.68623737373737
2021-12-26,322.1,336.3,292.0,297.95,362054,236208,65.24109663199413
2022-01-02,299.85,309.2,283.4,290.5,306313,188406,61.50767352348742
2022-01-09,294.0,300.55,275.4,284.25,112871,65327,57.87757705699427
