Date,Symbol,Open,High,Low,Close,Volume,Deliverable Volume
2020-08-26,GFLLIMITED,95.7,105.6,95.35,103.05,149344,84234
2020-08-27,GFLLIMITED,104.95,104.95,100.0,100.95,89738,54348
2020-08-28,GFLLIMITED,100.95,103.35,98.95,100.4,61614,39636
2020-08-31,GFLLIMITED,102.3,102.3,92.4,95.0,50651,37843
2020-09-01,GFLLIMITED,93.0,95.95,88.7,91.5,42097,29280
2020-09-02,GFLLIMITED,91.6,94.95,90.15,93.45,24080,13348
2020-09-03,GFLLIMITED,95.0,95.0,92.0,94.6,24825,19900
2020-09-04,GFLLIMITED,92.0,92.0,89.0,89.9,31784,22863
2020-09-07,GFLLIMITED,89.9,93.0,87.75,88.6,19999,14465
2020-09-08,GFLLIMITED,91.3,91.3,86.2,87.1,35295,20748
2020-09-09,GFLLIMITED,87.0,87.05,83.7,84.1,35671,24380
2020-09-10,GFLLIMITED,84.25,86.85,82.8,85.25,31840,19752
2020-09-11,GFLLIMITED,86.3,88.6,84.1,84.75,45882,38622
2020-09-14,GFLLIMITED,84.7,87.3,84.25,84.5,34228,27403
2020-09-15,GFLLIMITED,84.65,86.4,84.65,85.0,24526,20638
2020-09-16,GFLLIMITED,87.0,92.9,85.15,89.65,54078,37238
2020-09-17,GFLLIMITED,89.5,91.05,86.3,86.75,33674,26566
2020-09-18,GFLLIMITED,88.2,88.95,85.8,86.35,11115,6954
2020-09-21,GFLLIMITED,86.05,88.0,83.8,84.15,20274,14771
2020-09-22,GFLLIMITED,84.15,85.05,80.9,81.05,26356,22196
2020-09-23,GFLLIMITED,80.15,82.75,80.15,80.85,11643,7963
2020-09-24,GFLLIMITED,80.0,80.0,77.45,78.3,22463,17310
2020-09-25,GFLLIMITED,79.5,85.0,75.75,80.6,31420,22126
2020-09-28,GFLLIMITED,83.8,89.35,82.05,86.85,54756,23018
2020-09-29,GFLLIMITED,84.65,97.6,84.6,92.65,152260,71478
2020-09-30,GFLLIMITED,94.95,98.9,91.5,95.55,110742,67167
2020-10-01,GFLLIMITED,96.25,99.0,94.05,97.85,73051,48962
2020-10-05,GFLLIMITED,99.0,100.8,92.8,94.55,45111,30178
2020-10-06,GFLLIMITED,95.6,95.6,90.15,92.1,30387,19735
2020-10-07,GFLLIMITED,91.45,93.6,90.65,92.75,20333,13988
2020-10-08,GFLLIMITED,93.3,93.6,91.55,92.85,30476,23989
