Date,Symbol,Open,High,Low,Close,Volume,Deliverable Volume
2020-08-26,GILLETTE,5477.0,5550.0,5445.0,5524.85,37151,15799
2020-08-27,GILLETTE,5615.0,5750.0,5600.0,5648.4,58474,20050
2020-08-28,GILLETTE,5674.0,5700.0,5601.0,5629.7,18614,9884
2020-08-31,GILLETTE,5740.0,5740.0,5292.25,5429.0,22722,10772
2020-09-01,GILLETTE,5428.0,5428.0,5103.3,5316.3,24819,9637
2020-09-02,GILLETTE,5316.5,5525.0,5316.5,5499.6,7853,3574
2020-09-03,GILLETTE,5490.0,5575.0,5485.0,5552.8,6757,3388
2020-09-04,GILLETTE,5425.0,5534.6,5402.3,5510.45,7590,4729
2020-09-07,GILLETTE,5594.95,5594.95,5432.6,5513.8,9636,5898
2020-09-08,GILLETTE,5564.0,5564.0,5465.0,5500.0,7483,5643
2020-09-09,GILLETTE,5477.0,5480.0,5332.3,5428.15,6787,3941
2020-09-10,GILLETTE,5450.0,5540.85,5401.05,5489.25,5603,2842
2020-09-11,GILLETTE,5505.6,5584.85,5502.0,5576.4,8381,4545
2020-09-14,GILLETTE,5620.0,5734.0,5586.0,5608.85,12102,6312
2020-09-15,GILLETTE,5649.0,5669.2,5491.55,5554.1,5953,2938
2020-09-16,GILLETTE,5555.0,5589.0,5492.55,5554.45,4194,2598
2020-09-17,GILLETTE,5554.45,5589.0,5505.7,5551.6,3342,2092
2020-09-18,GILLETTE,5530.2,5596.4,5530.2,5557.65,16493,14785
2020-09-21,GILLETTE,5558.35,5607.0,5490.2,5530.4,7783,5321
2020-09-22,GILLETTE,5487.0,5520.0,5265.0,5377.9,8468,3713
2020-09-23,GILLETTE,5380.0,5479.8,5310.9,5407.85,4160,2123
2020-09-24,GILLETTE,5315.0,5448.0,5315.0,5428.25,7029,4933
2020-09-25,GILLETTE,5411.0,5500.0,5366.0,5393.65,4208,2373
2020-09-28,GILLETTE,5450.0,5490.0,5390.0,5408.8,2924,1793
2020-09-29,GILLETTE,5400.15,5446.9,5351.55,5372.95,6897,1532
2020-09-30,GILLETTE,5424.9,5424.9,5320.05,5340.2,2390,1165
2020-10-01,GILLETTE,5360.0,5430.0,5348.0,5381.2,3631,2317
2020-10-05,GILLETTE,5400.0,5461.0,5375.0,5386.5,2070,1172
2020-10-06,GILLETTE,5429.9,5430.0,5375.0,5394.8,2565,1525
2020-10-07,GILLETTE,5440.0,5440.0,5350.0,5371.05,3327,2498
2020-10-08,GILLETTE,5400.0,5400.0,5290.5,5315.55,3356,1967
