Date,Symbol,Open,High,Low,Close,Volume,Deliverable Volume
2020-08-26,GMRINFRA,25.15,26.45,24.6,25.85,39180764,13429063
2020-08-27,GMRINFRA,26.0,26.7,25.3,25.7,64007684,25171503
2020-08-28,GMRINFRA,27.8,28.25,25.4,25.75,117422995,34108425
2020-08-31,GMRINFRA,26.0,26.0,23.25,23.55,37875130,10256984
2020-09-01,GMRINFRA,23.55,24.3,23.05,23.6,21496174,4245924
2020-09-02,GMRINFRA,23.85,24.65,23.5,24.25,19898395,2336983
2020-09-03,GMRINFRA,24.35,24.5,23.85,24.0,10353162,2200590
2020-09-04,GMRINFRA,23.5,24.05,23.2,23.75,14617555,3092067
2020-09-07,GMRINFRA,24.0,24.0,23.3,23.55,11128742,2026002
2020-09-08,GMRINFRA,23.55,23.65,22.4,22.6,11648571,2178952
2020-09-09,GMRINFRA,22.35,23.3,22.05,23.2,17671217,4058477
2020-09-10,GMRINFRA,23.25,23.75,22.7,23.1,11727466,1555545
2020-09-11,GMRINFRA,23.1,23.55,22.9,23.4,9282177,1679703
2020-09-14,GMRINFRA,23.65,24.25,23.5,23.7,13799568,2280262
2020-09-15,GMRINFRA,23.7,24.2,23.45,23.9,10369264,1829374
2020-09-16,GMRINFRA,23.85,24.1,23.6,23.85,7027106,1185997
2020-09-17,GMRINFRA,23.55,23.9,23.45,23.8,7614318,1082708
2020-09-18,GMRINFRA,23.7,24.5,23.7,23.95,20502615,6869240
2020-09-21,GMRINFRA,23.9,24.25,22.8,23.05,18821185,4339507
2020-09-22,GMRINFRA,23.0,23.0,21.6,21.75,23191042,2827782
2020-09-23,GMRINFRA,22.0,22.15,21.15,21.4,11797799,1575179
2020-09-24,GMRINFRA,21.35,22.1,20.8,21.15,27157104,2710926
2020-09-25,GMRINFRA,21.7,24.15,21.5,23.5,51369123,8884700
2020-09-28,GMRINFRA,23.45,23.95,23.1,23.8,16400399,3633718
2020-09-29,GMRINFRA,23.65,24.35,22.75,23.0,22877955,3167509
2020-09-30,GMRINFRA,23.0,23.75,22.65,23.05,26434808,3854892
2020-10-01,GMRINFRA,23.15,24.45,23.15,23.7,26569568,6344771
2020-10-05,GMRINFRA,23.75,23.85,23.3,23.35,14202696,1202540
2020-10-06,GMRINFRA,23.4,23.8,23.2,23.4,3898946,827108
2020-10-07,GMRINFRA,23.6,24.15,23.5,23.65,14804455,3864341
2020-10-08,GMRINFRA,23.65,23.95,23.2,23.8,9834358,3535995
2020-10-09,GMRINFRA,23.65,23.75,23.4,23.5,3338037,592767
2020-10-12,GMRINFRA,23.55,24.7,23.5,24.2,20661331,8611745
2020-10-13,GMRINFRA,24.15,24.6,23.65,23.8,15052526,6050520
2020-10-14,GMRINFRA,23.75,24.05,23.45,23.7,7694258,1216470
2020-10-15,GMRINFRA,23.75,23.95,23.2,23.35,4971900,1137959
2020-10-16,GMRINFRA,23.4,23.9,23.1,23.75,5272707,1345385
2020-10-19,GMRINFRA,23.75,24.1,23.35,23.5,12058353,2614812
2020-10-20,GMRINFRA,23.55,23.75,23.35,23.5,3213136,720944
2020-10-21,GMRINFRA,23.4,23.95,23.4,23.7,5278593,1218712
2020-10-22,GMRINFRA,23.7,24.0,23.55,23.75,3578113,794964
2020-10-23,GMRINFRA,24.05,24.45,23.85,24.3,10488201,3704589
2020-10-26,GMRINFRA,24.3,24.35,23.35,23.5,6082405,1210965
2020-10-27,GMRINFRA,23.6,24.25,23.25,24.05,9604718,2175168
2020-10-28,GMRINFRA,24.05,24.2,23.6,23.65,8080759,2483167
2020-10-29,GMRINFRA,23.5,24.55,23.1,23.3,20024268,7058206
2020-10-30,GMRINFRA,23.45,23.75,23.2,23.4,6375602,872786
2020-11-02,GMRINFRA,23.4,23.75,23.25,23.35,3690481,590498
2020-11-03,GMRINFRA,23.5,23.6,23.0,23.15,2998314,873220
2020-11-04,GMRINFRA,23.15,23.55,22.95,23.05,11013667,1279848
2020-11-05,GMRINFRA,23.35,24.35,23.15,24.15,8110688,2258093
2020-11-06,GMRINFRA,24.15,24.3,23.8,24.05,5024404,1234956
2020-11-09,GMRINFRA,24.2,24.3,23.7,24.15,4540448,1295384
2020-11-10,GMRINFRA,24.2,25.4,24.0,24.65,15636093,5493876
2020-11-11,GMRINFRA,24.3,24.7,23.9,24.5,9052130,4730883
2020-11-12,GMRINFRA,24.2,24.8,24.2,24.4,9584338,3309671
2020-11-13,GMRINFRA,24.4,24.7,24.2,24.55,5911226,2800592
2020-11-14,GMRINFRA,24.5,24.7,24.1,24.35,938993,391949
