Date,Symbol,Open,High,Low,Close,Volume,Deliverable Volume
2021-08-23,GNFC,335.0,337.45,315.0,316.45,675624,374946
2021-08-24,GNFC,315.9,333.3,314.1,332.15,797934,389047
2021-08-25,GNFC,332.9,334.5,324.5,325.95,289605,141101
2021-08-26,GNFC,319.15,327.5,318.0,319.1,474574,264448
2021-08-27,GNFC,316.0,326.15,316.0,317.7,374896,169523
2021-08-30,GNFC,319.0,335.45,319.0,328.1,1039537,300805
2021-08-31,GNFC,329.7,336.0,326.0,332.6,436044,194404
2021-09-01,GNFC,332.9,333.6,322.6,325.2,330620,149320
2021-09-02,GNFC,327.1,339.6,325.3,337.2,855440,304581
2021-09-03,GNFC,339.0,340.05,334.0,335.9,201271,88497
2021-09-06,GNFC,338.35,348.75,338.0,340.3,730898,368533
2021-09-07,GNFC,342.05,344.95,335.5,338.45,328032,152660
2021-09-08,GNFC,339.75,341.1,331.0,332.65,278488,146423
2021-09-09,GNFC,334.2,339.0,330.9,335.6,383073,135991
2021-09-13,GNFC,334.95,342.6,333.05,337.2,461704,173959
2021-09-14,GNFC,338.1,344.35,337.7,339.85,621824,407679
2021-09-15,GNFC,340.2,352.7,340.2,344.0,909239,470364
2021-09-16,GNFC,345.8,350.25,338.65,339.85,717432,504863
2021-09-17,GNFC,342.0,343.1,327.45,334.35,427744,234647
2021-09-20,GNFC,333.65,368.65,332.1,355.25,5134287,2289499
2021-09-21,GNFC,355.4,386.15,349.25,383.0,6860951,1821377
2021-09-22,GNFC,386.2,401.5,384.0,388.15,4359640,1394880
2021-09-23,GNFC,390.25,398.0,379.7,387.7,1913542,900793
2021-09-24,GNFC,390.15,410.0,390.1,405.45,5593056,1803275
2021-09-27,GNFC,412.5,441.7,412.5,435.9,7795667,2194094
2021-09-28,GNFC,441.0,451.8,436.05,449.1,3971287,1116023
2021-09-29,GNFC,444.0,448.65,433.4,438.1,1582532,451043
2021-09-30,GNFC,440.1,446.1,431.0,434.25,1315804,394870
2021-10-01,GNFC,428.0,433.95,420.35,425.2,1211494,389782
2021-10-04,GNFC,428.7,456.1,428.7,448.85,2348578,875794
2021-10-05,GNFC,454.0,508.75,452.1,498.9,7381999,1690824
2021-10-06,GNFC,501.4,518.2,478.95,487.7,6052275,1434348
2021-10-07,GNFC,492.1,497.7,477.5,484.25,1710385,376402
2021-10-08,GNFC,484.5,489.7,461.3,469.6,2119379,506095
2021-10-11,GNFC,471.5,475.6,460.2,466.3,1122676,336857
2021-10-12,GNFC,464.0,483.7,452.8,479.0,1864211,552197
2021-10-13,GNFC,483.35,486.0,470.3,476.25,1559351,416799
2021-10-14,GNFC,479.0,488.65,466.9,474.6,1077440,395341
2021-10-18,GNFC,478.1,491.0,476.4,483.0,1122378,473663
2021-10-19,GNFC,487.35,487.35,456.4,460.55,1187949,486509
2021-10-20,GNFC,455.0,460.0,432.05,443.5,1209096,405367
2021-10-21,GNFC,445.75,455.7,432.15,437.1,930640,331657
2021-10-22,GNFC,439.4,450.95,425.5,432.05,848750,271025
2021-10-25,GNFC,433.9,453.0,426.3,445.85,1101543,333071
2021-10-26,GNFC,450.0,459.8,437.65,441.45,826986,253174
2021-10-27,GNFC,444.85,475.8,443.25,472.5,1884577,602233
2021-10-28,GNFC,466.15,471.45,450.0,454.1,957401,370692
2021-10-29,GNFC,462.0,466.35,430.0,460.6,1793029,579891
2021-11-01,GNFC,462.5,500.85,459.25,497.35,2861000,971737
2021-11-02,GNFC,499.0,504.9,483.15,487.2,1277695,343129
2021-11-03,GNFC,487.5,489.9,464.0,466.75,866465,321119
2021-11-04,GNFC,468.0,474.8,467.2,471.25,194680,77239
2021-11-08,GNFC,469.5,472.65,460.1,462.2,773582,325826
2021-11-09,GNFC,462.0,469.0,460.55,464.35,527506,217810
2021-11-10,GNFC,462.2,473.8,460.4,465.8,559494,245584
2021-11-11,GNFC,467.0,468.45,461.1,463.8,272667,108971
2021-11-12,GNFC,465.0,477.7,461.4,468.95,560574,199970
2021-11-15,GNFC,468.95,471.65,443.55,445.55,599767,303601
2021-11-16,GNFC,446.0,454.9,439.25,442.2,451704,199709
2021-11-17,GNFC,440.1,443.8,425.1,427.65,505210,247146
2021-11-18,GNFC,425.25,437.45,394.7,404.65,1420950,543068
2021-11-22,GNFC,403.85,414.0,390.1,395.85,831258,298441
2021-11-23,GNFC,395.2,413.1,393.45,407.6,577018,194867
2021-11-24,GNFC,410.5,418.65,405.1,407.5,453729,165585
2021-11-25,GNFC,407.5,412.0,402.35,408.2,380916,129480
2021-11-26,GNFC,403.85,425.8,394.0,412.8,1649339,598537
2021-11-29,GNFC,412.0,424.4,399.2,417.65,1047273,531937
2021-11-30,GNFC,414.5,431.9,414.0,424.75,746422,340586
2021-12-01,GNFC,445.0,462.0,422.55,425.75,4084388,1291516
2021-12-02,GNFC,425.5,430.0,422.25,426.1,508630,182956
2021-12-03,GNFC,425.0,428.85,421.0,422.65,579856,251924
2021-12-06,GNFC,422.0,425.2,404.6,406.75,568987,249288
2021-12-07,GNFC,410.5,417.3,406.0,407.6,646671,268744
