Date,Open,High,Low,Close,Volume,Deliverable Volume,DeliverablePct
2020-08-30,961.1,1092.4,938.15,1002.7,1915432,524783,27.39763144815373
2020-09-06,1071.4,1071.4,932.4,938.45,382270,132199,34.58262484631282
2020-09-13,941.0,949.9,905.1,907.9,280933,112523,40.05332232240427
2020-09-20,914.0,962.0,910.2,948.9,391255,133558,34.13579379177263
2020-09-27,951.0,953.0,885.45,917.9,293696,116729,39.74483820004358
2020-10-04,925.6,931.9,908.95,920.35,105807,34238,32.358917651951195
2020-10-11,929.0,929.0,898.0,899.9,132638,69994,52.77069919630875
2020-10-18,908.0,923.35,858.25,859.8,207966,77130,37.08779319696489
2020-10-25,864.8,910.25,846.6,896.6,168612,75200,44.599435390126445
2020-11-01,901.05,916.6,881.75,896.95,118555,49737,41.95268019062882
2020-11-08,901.45,901.95,861.05,881.95,91236,41228,45.188302862905
2020-11-15,880.05,913.8,847.0,875.75,345204,196115,56.811334746990184
2020-11-22,873.15,947.0,861.75,927.65,430616,147458,34.24350233154365
2020-11-29,935.0,965.4,901.05,907.25,347149,129865,37.40900881177823
2020-12-06,917.0,922.3,897.55,904.35,325260,202785,62.345508208817556
2020-12-13,914.7,1056.7,909.1,1016.35,1791996,430921,24.04698447987607
2020-12-20,1019.0,1034.0,985.1,990.3,328568,134407,40.906905115531636
2020-12-27,988.3,1025.0,905.0,984.1,523447,181132,34.60369435683078
2021-01-03,995.95,1009.0,965.55,989.85,238895,80196,33.56955984846899
2021-01-10,990.0,997.0,955.0,970.9,353221,129638,36.70166836060144
2021-01-17,971.0,1018.0,961.0,974.7,590881,168775,28.563280931355045
2021-01-24,977.15,977.2,918.0,921.8,282748,135589,47.954008516417446
2021-01-31,931.8,954.85,911.5,917.8,129464,47519,36.70441203732312
2021-02-07,930.0,978.2,905.0,935.55,447734,156602,34.97657091040662
2021-02-14,940.0,957.0,912.0,923.75,322209,154050,47.81058257218141
2021-02-21,940.0,940.05,910.0,913.8,202495,81729,40.360996567816485
2021-02-28,918.0,924.4,880.05,898.85,193893,91712,47.300315122258155
2021-03-07,902.0,914.0,896.0,903.7,201722,108608,53.84043386442728
2021-03-14,905.0,912.35,895.0,897.3,144963,70533,48.655863910101196
2021-03-21,904.9,905.0,864.75,888.05,215554,112918,52.385017211464415
2021-03-28,875.0,931.0,845.0,887.35,558499,129080,23.11194827564597
2021-04-04,896.0,935.0,881.45,928.0,263180,112541,42.76198799300859
2021-04-11,927.9,927.9,891.5,906.15,121935,57779,47.38508221593472
2021-04-18,900.0,902.0,869.0,870.8,80003,46291,57.86158019074284
2021-04-25,867.0,882.0,841.5,864.75,114776,53944,46.999372691154946
2021-05-02,869.3,876.25,859.55,861.9,89420,55925,62.54193692686199
2021-05-09,861.0,875.65,856.2,861.6,79290,47520,59.93189557321226
2021-05-16,869.0,888.4,855.1,869.95,217462,110440,50.78588443038324
2021-05-23,875.0,928.0,871.05,901.05,421908,133609,31.6678043554519
2021-05-30,904.9,917.9,891.1,897.65,193209,70189,36.32801784595956
2021-06-06,902.15,953.1,896.0,936.05,576267,275597,47.82453272528186
2021-06-13,950.0,979.0,920.0,933.7,644908,235883,36.57622482586664
2021-06-20,929.6,958.0,904.0,911.75,258135,132204,51.21506188622232
