Date,Open,High,Low,Close,Volume,Deliverable Volume,DeliverablePct
2020-08-30,42.95,47.0,41.45,42.3,930471,534709,57.46648740261653
2020-09-06,42.5,43.5,38.2,40.75,376401,205436,54.57902609185417
2020-09-13,40.8,41.8,38.0,38.75,96023,65940,68.67104756152172
2020-09-20,39.0,43.9,38.6,42.0,388674,167056,42.98100721941782
2020-09-27,42.25,42.25,36.5,38.4,166429,97199,58.40268222485264
2020-10-04,38.9,39.85,37.95,38.7,80484,52088,64.718453357189
2020-10-11,38.7,39.75,36.9,37.85,135678,79919,58.90343312843645
2020-10-18,38.6,38.6,36.2,37.6,71761,43666,60.84920778695949
2020-10-25,38.35,39.4,36.8,38.3,294018,155187,52.78146235944738
2020-11-01,38.4,39.5,37.55,37.9,93753,58134,62.0076157562958
2020-11-08,38.0,40.7,36.75,38.65,257081,103509,40.26318553296432
2020-11-15,40.45,45.4,39.25,44.7,596487,342830,57.47484857172076
2020-11-22,44.8,45.5,42.3,43.55,370389,207223,55.94739584598894
2020-11-29,43.55,48.0,43.4,45.8,1070063,498621,46.59734987566153
2020-12-06,45.9,52.3,44.1,49.1,1230528,632720,51.418578041296094
2020-12-13,49.95,50.95,47.5,48.85,425196,224278,52.74696845689988
2020-12-20,49.8,60.0,49.15,56.4,2304918,908795,39.428517630562126
2020-12-27,57.45,57.95,48.4,54.2,583077,322405,55.29372621454799
2021-01-03,55.85,56.7,53.35,55.45,365884,210078,57.41655825343551
2021-01-10,57.3,81.7,55.65,72.8,6823161,1958023,28.696714030344587
2021-01-17,72.8,83.55,68.0,74.45,5451068,1148943,21.077392540324208
2021-01-24,74.0,77.95,70.55,71.5,573649,268561,46.816258722668394
2021-01-31,71.2,75.95,66.05,70.4,862513,200454,23.240693183754914
2021-02-07,70.95,74.35,69.0,70.25,778910,315757,40.53831636517698
2021-02-14,70.9,79.75,69.3,77.3,2046037,766232,37.44956713881518
2021-02-21,78.4,78.4,70.35,70.9,1200836,390081,32.48411939682022
2021-02-28,71.1,76.0,70.2,72.5,1113180,282113,25.342981368691497
2021-03-07,72.6,77.4,71.2,72.3,787856,350731,44.51714526512459
2021-03-14,74.0,74.5,69.0,71.0,555643,232642,41.86896982414968
2021-03-21,71.0,71.5,61.45,66.05,544517,255090,46.847022223364924
2021-03-28,67.3,67.7,61.5,65.15,239282,136207,56.923211942394325
2021-04-04,67.45,73.85,64.5,72.15,568964,225504,39.634142054681845
2021-04-11,72.6,81.0,68.35,77.3,1498536,660605,44.08335869141616
2021-04-18,76.0,79.4,65.0,74.8,1386048,557042,40.18922865586185
2021-04-25,74.0,79.45,70.25,75.75,847395,356802,42.10574761474873
2021-05-02,77.05,98.0,76.1,92.45,7151818,2238221,31.295832751896093
2021-05-09,92.05,98.1,90.1,94.6,1589870,704294,44.298842043689106
2021-05-16,95.35,113.5,93.4,94.6,6012984,1889686,31.426759159844764
2021-05-23,95.85,105.25,95.15,98.1,1353848,582117,42.997219776518484
2021-05-30,98.95,106.6,97.0,99.25,1135594,477098,42.01307861788632
2021-06-06,99.5,121.0,99.1,107.25,5987596,2476594,41.36207586483791
2021-06-13,108.15,111.7,103.2,108.9,2091178,975782,46.66183366504429
2021-06-20,110.95,114.75,104.2,106.55,2832131,1164201,41.106890888874844
2021-06-27,105.5,112.8,104.55,111.45,1032504,473952,45.903163571279144
2021-07-04,112.35,118.45,102.2,106.6,3009430,1371815,45.583881333009906
2021-07-11,107.0,110.8,105.4,108.1,1120588,545805,48.707018101211155
2021-07-18,109.7,177.75,108.55,177.2,14800647,4365566,29.495778123753645
2021-07-25,176.0,225.5,169.05,225.5,1802994,684440,37.96130214520958
2021-08-01,236.75,287.45,214.25,287.45,5307103,1938556,36.52757446011506
2021-08-08,296.1,332.65,273.2,292.4,4125368,1715039,41.57299421530394
2021-08-15,299.95,307.0,273.6,290.25,2081226,849045,40.79542538868917
2021-08-22,288.0,290.0,269.0,271.5,548025,284417,51.89854477441722
2021-08-29,272.0,280.85,252.0,280.85,725896,368309,50.738535547791976
2021-09-05,288.55,325.0,286.15,301.5,1311107,630058,48.05542186869569
2021-09-12,306.0,315.9,293.0,306.05,874348,419270,47.952302744445
2021-09-19,310.75,323.75,300.95,305.7,1037696,476149,45.885211083014674
2021-09-26,305.5,309.75,278.0,285.15,752785,480729,63.86006628718691
2021-10-03,290.8,321.0,290.5,309.65,796384,422035,52.993907461727005
2021-10-10,310.2,315.05,295.5,298.8,324113,179877,55.498236726080094
2021-10-17,305.0,315.0,298.0,305.15,370805,245553,66.22159895362792
2021-10-24,310.0,323.5,295.15,322.5,814916,521431,63.98585866518758
2021-10-31,332.4,337.95,281.1,286.4,1097685,640506,58.35061971330573
2021-11-07,286.4,301.6,281.15,299.2,345996,144699,41.82100371102556
2021-11-14,300.0,302.9,286.0,292.4,202227,126987,62.79428562951534
2021-11-21,293.5,310.95,279.4,282.1,364142,247611,67.9984731231223
2021-11-28,282.2,288.35,261.3,274.1,296747,183443,61.81797962574179
2021-12-05,275.05,276.4,260.4,268.7,197923,116185,58.70212153211097
2021-12-12,264.0,276.7,264.0,272.1,108492,52303,48.20908454079563
2021-12-19,274.5,314.4,263.0,304.7,644582,414362,64.28383045136228
2021-12-26,294.5,323.0,290.2,321.55,587254,345410,58.81781988713573
2022-01-02,320.9,372.15,316.1,359.85,1304023,780900,59.88391309048997
2022-01-09,357.15,367.0,350.4,354.25,148767,73748,49.5728219295946
