Date,Symbol,Open,High,Low,Close,Deliverable Volume
2020-08-20,GPTINFRA,30.7,31.8,30.4,31.4,64310
2020-08-21,GPTINFRA,31.95,33.9,30.55,32.8,198840
2020-08-24,GPTINFRA,34.0,39.35,34.0,39.35,282916
2020-08-25,GPTINFRA,41.8,42.55,36.5,37.1,231976
2020-08-26,GPTINFRA,37.0,37.0,34.2,35.25,110324
2020-08-27,GPTINFRA,36.1,36.75,34.5,35.6,51228
2020-08-28,GPTINFRA,35.6,36.05,34.25,34.85,38589
2020-08-31,GPTINFRA,35.9,36.0,31.4,32.3,60433
2020-09-01,GPTINFRA,30.45,33.95,29.6,29.95,28111
2020-09-02,GPTINFRA,32.0,32.9,30.25,32.35,29849
2020-09-03,GPTINFRA,35.25,35.55,33.15,35.45,52230
2020-09-04,GPTINFRA,35.9,35.9,32.6,32.95,36357
2020-09-07,GPTINFRA,32.95,33.25,31.05,31.65,25772
2020-09-08,GPTINFRA,32.5,32.5,30.7,30.85,19778
2020-09-09,GPTINFRA,30.0,30.85,29.35,29.95,19732
2020-09-10,GPTINFRA,30.2,31.35,28.35,29.0,27096
2020-09-11,GPTINFRA,29.5,30.85,28.1,28.65,36134
2020-09-14,GPTINFRA,30.2,30.5,28.85,30.15,15229
2020-09-15,GPTINFRA,30.85,30.9,29.1,29.95,13610
2020-09-16,GPTINFRA,29.95,30.25,29.6,29.7,7061
2020-09-17,GPTINFRA,28.55,30.15,27.95,28.4,64708
2020-09-18,GPTINFRA,28.1,29.1,28.1,28.55,11546
2020-09-21,GPTINFRA,28.55,28.55,27.0,27.2,16650
2020-09-22,GPTINFRA,26.75,27.95,26.15,26.95,8935
2020-09-23,GPTINFRA,26.95,28.45,26.5,26.9,11298
2020-09-24,GPTINFRA,26.5,27.0,26.15,26.45,4077
2020-09-25,GPTINFRA,26.0,28.2,26.0,27.85,13275
2020-09-28,GPTINFRA,28.25,29.6,27.9,28.3,11893
2020-09-29,GPTINFRA,29.5,29.9,27.45,27.85,6467
2020-09-30,GPTINFRA,28.45,28.45,26.55,27.3,5753
2020-10-01,GPTINFRA,27.15,28.35,27.0,27.35,6559
2020-10-05,GPTINFRA,27.15,28.25,27.15,27.3,12929
2020-10-06,GPTINFRA,27.4,28.0,27.4,27.8,9696
2020-10-07,GPTINFRA,27.2,28.15,26.65,27.0,12724
2020-10-08,GPTINFRA,27.85,28.0,26.15,26.45,17754
2020-10-09,GPTINFRA,26.45,27.5,26.25,26.5,30580
2020-10-12,GPTINFRA,26.55,26.95,26.3,26.5,3008
2020-10-13,GPTINFRA,26.3,27.35,25.35,25.9,8664
2020-10-14,GPTINFRA,26.0,26.55,25.65,26.45,6899
2020-10-15,GPTINFRA,26.2,26.95,26.0,26.15,6646
2020-10-16,GPTINFRA,26.5,27.95,26.0,27.45,25869
2020-10-19,GPTINFRA,28.0,30.0,26.3,29.0,18899
2020-10-20,GPTINFRA,29.0,29.8,27.65,29.6,14860
2020-10-21,GPTINFRA,29.05,29.9,28.1,28.55,9269
2020-10-22,GPTINFRA,29.45,29.45,27.6,28.6,3920
2020-10-23,GPTINFRA,28.0,29.75,27.8,29.55,14803
2020-10-26,GPTINFRA,29.95,29.95,27.6,27.9,12502
2020-10-27,GPTINFRA,27.5,28.1,27.5,27.75,2906
2020-10-28,GPTINFRA,28.9,28.9,26.75,27.35,7533
2020-10-29,GPTINFRA,27.35,28.35,27.0,27.25,2611
2020-10-30,GPTINFRA,27.75,27.75,27.05,27.1,1050
2020-11-02,GPTINFRA,29.6,29.6,26.25,27.05,4793
2020-11-03,GPTINFRA,27.0,28.75,27.0,27.3,3464
2020-11-04,GPTINFRA,27.0,28.7,27.0,27.3,1064
2020-11-05,GPTINFRA,26.7,29.0,26.3,28.5,11729
2020-11-06,GPTINFRA,28.85,28.95,27.8,28.15,8582
2020-11-09,GPTINFRA,28.9,28.9,27.1,27.7,11662
2020-11-10,GPTINFRA,27.7,28.0,27.0,27.05,12701
2020-11-11,GPTINFRA,27.9,29.4,27.15,28.65,37627
2020-11-12,GPTINFRA,29.3,29.3,27.7,28.6,8682
2020-11-13,GPTINFRA,27.6,28.7,27.6,28.25,1994
2020-11-14,GPTINFRA,28.75,29.2,27.75,28.95,8648
2020-11-17,GPTINFRA,28.05,29.5,28.05,28.75,5028
2020-11-18,GPTINFRA,28.75,29.8,28.7,29.5,12178
2020-11-19,GPTINFRA,32.0,32.45,31.8,32.45,74299
2020-11-20,GPTINFRA,34.8,34.8,32.0,32.4,87869
2020-11-23,GPTINFRA,33.4,35.6,31.15,32.85,57745
2020-11-24,GPTINFRA,33.55,34.4,32.25,33.2,15780
2020-11-25,GPTINFRA,33.15,33.5,32.25,32.7,17153
2020-11-26,GPTINFRA,32.55,33.9,32.05,32.8,18136
2020-11-27,GPTINFRA,32.55,33.45,32.3,32.9,5916
2020-12-01,GPTINFRA,31.4,33.9,31.4,33.6,38110
2020-12-02,GPTINFRA,33.6,35.9,33.15,33.7,23316
2020-12-03,GPTINFRA,33.1,35.0,33.1,34.15,25311
2020-12-04,GPTINFRA,33.65,34.55,32.05,34.2,28740
2020-12-07,GPTINFRA,35.2,39.5,34.05,37.8,109314
2020-12-08,GPTINFRA,41.9,41.9,38.5,39.7,130713
