Date,Symbol,Open,High,Low,Close,Deliverable Volume
2020-08-20,GRAVITA,50.7,53.0,48.0,50.25,280218
2020-08-21,GRAVITA,50.5,55.85,50.5,53.0,376698
2020-08-24,GRAVITA,53.55,55.0,51.5,52.4,299047
2020-08-25,GRAVITA,52.8,54.4,52.3,53.15,182689
2020-08-26,GRAVITA,53.75,53.95,52.4,52.9,86206
2020-08-27,GRAVITA,53.4,53.9,52.2,52.55,92225
2020-08-28,GRAVITA,52.9,53.8,51.2,51.8,105212
2020-08-31,GRAVITA,52.45,53.8,49.5,50.4,323203
2020-09-01,GRAVITA,50.5,50.5,48.6,49.55,57816
2020-09-02,GRAVITA,49.65,52.1,49.45,50.25,45726
2020-09-03,GRAVITA,51.05,53.2,50.65,51.65,116783
2020-09-04,GRAVITA,50.65,51.5,48.6,49.4,67559
2020-09-07,GRAVITA,49.35,51.4,48.0,50.55,66140
2020-09-08,GRAVITA,51.0,51.0,46.5,47.0,239085
2020-09-09,GRAVITA,47.0,50.3,45.65,48.5,124599
2020-09-10,GRAVITA,49.15,50.8,48.6,50.1,101436
2020-09-11,GRAVITA,50.0,50.3,49.0,49.3,44144
2020-09-14,GRAVITA,49.1,50.3,47.4,48.3,44429
2020-09-15,GRAVITA,48.6,49.8,48.1,48.95,15045
2020-09-16,GRAVITA,49.1,51.45,49.0,50.4,81156
2020-09-17,GRAVITA,50.25,50.35,49.4,49.6,20372
2020-09-18,GRAVITA,49.65,51.0,48.85,49.0,42271
2020-09-21,GRAVITA,49.3,49.4,45.95,46.5,64077
2020-09-22,GRAVITA,47.0,49.45,45.3,48.85,61896
2020-09-23,GRAVITA,48.85,50.25,47.75,48.3,53830
2020-09-24,GRAVITA,47.65,48.75,46.5,47.45,48012
2020-09-25,GRAVITA,47.45,48.75,47.45,48.2,24589
2020-09-28,GRAVITA,48.2,51.5,47.9,50.65,106272
2020-09-29,GRAVITA,51.45,52.4,49.1,50.15,65563
2020-09-30,GRAVITA,50.15,53.0,49.95,50.65,61885
2020-10-01,GRAVITA,51.0,51.85,49.75,50.95,33769
2020-10-05,GRAVITA,51.0,51.6,48.7,49.2,38516
2020-10-06,GRAVITA,49.3,51.7,49.25,50.55,66051
2020-10-07,GRAVITA,51.0,51.05,47.3,49.6,58833
2020-10-08,GRAVITA,49.95,49.95,46.9,47.45,93735
2020-10-09,GRAVITA,47.45,48.95,47.2,47.65,18991
2020-10-12,GRAVITA,47.75,48.85,47.05,47.35,26180
2020-10-13,GRAVITA,47.25,47.7,46.2,46.45,53517
2020-10-14,GRAVITA,46.75,47.75,45.8,46.15,57144
2020-10-15,GRAVITA,46.4,46.95,44.4,45.1,38602
2020-10-16,GRAVITA,46.7,46.7,44.35,44.75,43235
2020-10-19,GRAVITA,45.65,46.55,44.35,44.55,48850
2020-10-20,GRAVITA,44.05,45.7,43.9,44.1,37956
2020-10-21,GRAVITA,44.8,45.1,43.3,44.0,34219
2020-10-22,GRAVITA,44.2,44.4,43.0,43.6,26228
2020-10-23,GRAVITA,43.4,47.2,43.4,45.1,75968
2020-10-26,GRAVITA,45.1,45.95,43.8,43.95,30139
2020-10-27,GRAVITA,43.95,44.3,43.45,43.65,18330
2020-10-28,GRAVITA,44.0,44.2,42.7,43.1,20419
2020-10-29,GRAVITA,42.5,43.3,42.5,42.8,14054
2020-10-30,GRAVITA,43.4,43.45,42.2,42.4,26378
2020-11-02,GRAVITA,42.65,42.7,42.0,42.15,33627
2020-11-03,GRAVITA,42.5,43.25,42.15,42.4,21314
2020-11-04,GRAVITA,42.5,43.0,42.0,42.05,16220
2020-11-05,GRAVITA,42.0,44.2,42.0,43.4,65958
2020-11-06,GRAVITA,43.45,43.85,42.45,42.6,86493
2020-11-09,GRAVITA,43.0,44.9,42.7,43.0,77813
2020-11-10,GRAVITA,43.15,43.45,42.3,42.5,86387
2020-11-11,GRAVITA,43.55,44.1,42.45,42.8,86201
2020-11-12,GRAVITA,43.5,43.85,42.65,43.3,85084
2020-11-13,GRAVITA,43.3,44.3,42.6,43.15,264595
2020-11-14,GRAVITA,43.95,44.45,43.3,43.7,96819
2020-11-17,GRAVITA,43.65,44.0,43.1,43.85,145525
2020-11-18,GRAVITA,44.0,46.0,43.0,45.15,268799
2020-11-19,GRAVITA,45.9,50.95,45.0,49.25,372729
2020-11-20,GRAVITA,50.0,51.8,47.85,49.2,206402
2020-11-23,GRAVITA,49.0,51.0,49.0,49.85,121609
2020-11-24,GRAVITA,50.35,50.45,48.95,49.35,92119
2020-11-25,GRAVITA,50.0,51.25,48.9,50.2,175155
2020-11-26,GRAVITA,50.2,51.8,49.5,51.4,136468
2020-11-27,GRAVITA,51.95,52.8,50.9,51.2,98409
2020-12-01,GRAVITA,51.65,52.1,49.3,49.75,171424
2020-12-02,GRAVITA,50.35,51.4,49.0,49.7,131320
2020-12-03,GRAVITA,50.0,53.9,48.75,52.0,204840
2020-12-04,GRAVITA,52.0,54.8,51.05,51.95,143743
2020-12-07,GRAVITA,52.4,52.6,48.85,49.75,327890
2020-12-08,GRAVITA,50.35,53.9,49.3,52.15,290023
2020-12-09,GRAVITA,52.75,53.8,51.5,52.1,189632
2020-12-10,GRAVITA,52.45,56.5,51.55,54.55,450192
2020-12-11,GRAVITA,54.95,56.85,52.7,53.95,338940
2020-12-14,GRAVITA,53.55,60.1,53.55,58.0,517080
2020-12-15,GRAVITA,58.5,62.0,56.8,61.4,399124
2020-12-16,GRAVITA,61.9,66.4,56.5,63.25,229998
2020-12-17,GRAVITA,63.7,67.85,61.95,64.05,285993
2020-12-18,GRAVITA,64.5,67.85,62.4,64.7,287039
2020-12-21,GRAVITA,64.8,68.8,60.0,63.1,408867
2020-12-22,GRAVITA,63.0,67.65,61.05,66.3,289819
2020-12-23,GRAVITA,66.5,71.0,66.4,69.25,312153
2020-12-24,GRAVITA,70.2,71.8,68.95,69.1,207814
2020-12-28,GRAVITA,69.65,69.9,68.65,69.05,92416
2020-12-29,GRAVITA,69.5,73.75,69.1,72.4,200362
2020-12-30,GRAVITA,72.5,74.5,70.3,72.75,263082
2020-12-31,GRAVITA,73.0,78.25,72.75,77.0,284297
2021-01-01,GRAVITA,77.6,84.2,77.5,81.65,225055
2021-01-04,GRAVITA,82.2,84.9,81.5,83.0,155264
2021-01-05,GRAVITA,82.0,88.7,80.1,84.8,183726
2021-01-06,GRAVITA,85.0,87.0,81.8,83.3,202591
2021-01-07,GRAVITA,84.0,85.4,83.0,83.5,87919
2021-01-08,GRAVITA,83.7,85.5,81.8,82.85,114927
2021-01-11,GRAVITA,83.1,84.75,75.0,81.55,293441
2021-01-12,GRAVITA,81.9,83.5,78.4,81.1,110578
2021-01-13,GRAVITA,82.0,82.45,79.1,79.75,52237
2021-01-14,GRAVITA,79.05,81.2,78.1,79.75,55855
2021-01-15,GRAVITA,80.0,80.5,78.05,78.2,31405
2021-01-18,GRAVITA,78.2,83.0,77.5,81.35,127384
2021-01-19,GRAVITA,82.0,84.2,80.0,80.7,92141
2021-01-20,GRAVITA,81.2,81.2,79.1,79.5,50045
2021-01-21,GRAVITA,79.5,80.5,77.5,77.8,100122
2021-01-22,GRAVITA,78.0,83.5,77.75,78.65,179534
2021-01-25,GRAVITA,79.0,79.8,77.3,79.1,110233
2021-01-27,GRAVITA,78.7,79.1,77.05,77.4,51969
2021-01-28,GRAVITA,77.5,81.75,73.0,77.8,108893
2021-01-29,GRAVITA,77.9,85.45,76.2,77.9,312433
2021-02-01,GRAVITA,79.75,80.8,77.5,78.25,129838
2021-02-02,GRAVITA,79.3,80.75,76.25,79.6,169862
2021-02-03,GRAVITA,79.0,81.9,77.5,77.85,134664
2021-02-04,GRAVITA,78.0,79.05,76.7,77.6,131552
2021-02-05,GRAVITA,78.0,79.5,76.0,76.5,128658
2021-02-08,GRAVITA,76.45,77.25,74.65,75.1,150921
2021-02-09,GRAVITA,75.8,81.0,75.0,77.65,300595
2021-02-10,GRAVITA,77.8,79.0,77.0,77.55,64863
2021-02-11,GRAVITA,77.4,79.8,77.4,78.95,134533
2021-02-12,GRAVITA,78.8,80.75,77.1,77.6,126521
2021-02-15,GRAVITA,78.25,78.6,75.0,75.8,166366
2021-02-16,GRAVITA,76.3,78.4,74.9,75.35,131004
2021-02-17,GRAVITA,75.0,76.9,74.7,75.1,186943
2021-02-18,GRAVITA,75.1,79.35,74.85,78.15,224046
2021-02-19,GRAVITA,78.65,82.65,78.45,79.85,386777
2021-02-22,GRAVITA,81.05,88.1,80.8,84.85,707629
2021-02-23,GRAVITA,86.0,88.0,82.4,83.25,470338
2021-02-24,GRAVITA,83.85,87.95,83.1,87.45,222343
2021-02-25,GRAVITA,88.15,93.7,88.0,91.3,490369
2021-02-26,GRAVITA,90.0,95.45,88.6,93.85,291860
2021-03-01,GRAVITA,96.85,112.6,95.75,112.25,1080517
2021-03-02,GRAVITA,116.0,122.65,108.5,113.5,890029
2021-03-03,GRAVITA,115.0,115.0,107.0,108.2,305275
2021-03-04,GRAVITA,105.35,112.9,105.35,108.7,148478
2021-03-05,GRAVITA,108.0,108.0,102.6,103.65,173771
2021-03-08,GRAVITA,104.95,113.0,102.25,109.0,158104
2021-03-09,GRAVITA,113.0,117.8,107.55,108.85,360023
2021-03-10,GRAVITA,110.2,113.6,109.1,110.25,110416
2021-03-12,GRAVITA,111.9,111.9,106.0,107.1,105167
2021-03-15,GRAVITA,107.9,110.0,98.5,101.4,269182
2021-03-16,GRAVITA,101.9,103.7,99.55,100.25,54763
2021-03-17,GRAVITA,100.8,101.3,95.1,96.9,96620
2021-03-18,GRAVITA,98.5,102.15,91.6,98.15,150032
2021-03-19,GRAVITA,97.9,100.45,94.05,99.65,64244
2021-03-22,GRAVITA,100.0,102.65,98.75,100.55,73750
2021-03-23,GRAVITA,100.55,101.0,98.25,99.9,66260
2021-03-24,GRAVITA,100.0,100.65,98.5,99.1,56735
2021-03-25,GRAVITA,99.0,99.0,90.0,92.05,123569
2021-03-26,GRAVITA,93.0,96.4,92.5,93.55,92919
2021-03-30,GRAVITA,94.0,95.85,92.55,93.1,39713
2021-03-31,GRAVITA,93.25,94.35,90.1,90.5,93923
2021-04-01,GRAVITA,91.5,97.25,91.05,96.15,105872
2021-04-05,GRAVITA,95.5,101.95,94.3,101.15,152129
2021-04-06,GRAVITA,101.9,105.4,100.0,102.25,111070
2021-04-07,GRAVITA,103.0,104.65,98.7,100.2,71251
2021-04-08,GRAVITA,101.0,104.0,100.3,102.35,84607
2021-04-09,GRAVITA,102.55,103.4,99.15,100.25,53775
2021-04-12,GRAVITA,99.0,99.0,88.0,89.65,194558
2021-04-13,GRAVITA,90.5,93.45,90.5,92.4,27768
2021-04-15,GRAVITA,92.4,94.25,86.1,90.0,44125
2021-04-16,GRAVITA,90.45,91.5,87.4,87.95,111608
2021-04-19,GRAVITA,85.0,85.25,81.0,84.35,58571
2021-04-20,GRAVITA,84.55,87.6,83.55,84.0,39586
2021-04-22,GRAVITA,83.0,93.0,83.0,91.3,132771
2021-04-23,GRAVITA,91.05,96.0,90.0,93.2,119883
2021-04-26,GRAVITA,94.0,97.0,93.5,95.65,72524
2021-04-27,GRAVITA,96.0,96.7,93.6,95.1,54306
2021-04-28,GRAVITA,96.0,99.75,95.2,97.35,98755
2021-04-29,GRAVITA,97.5,100.1,95.35,96.4,121802
2021-04-30,GRAVITA,96.5,99.3,94.5,95.4,58950
2021-05-03,GRAVITA,94.55,97.7,93.05,95.5,86960
2021-05-04,GRAVITA,95.1,96.35,94.0,94.1,86161
2021-05-05,GRAVITA,94.8,96.0,93.5,94.6,39401
2021-05-06,GRAVITA,95.5,95.5,92.4,93.55,55397
2021-05-07,GRAVITA,94.0,109.7,93.75,107.2,582562
2021-05-10,GRAVITA,110.0,118.0,109.95,114.25,441454
2021-05-11,GRAVITA,111.0,113.05,108.0,111.45,174492
2021-05-12,GRAVITA,112.3,114.15,109.45,110.7,117017
2021-05-14,GRAVITA,112.25,113.55,102.65,105.5,158886
2021-05-17,GRAVITA,105.5,111.0,105.4,110.25,136853
2021-05-18,GRAVITA,110.9,115.9,110.55,114.8,328302
2021-05-19,GRAVITA,115.0,116.6,113.2,114.7,297093
2021-05-20,GRAVITA,113.0,114.95,107.2,107.8,305813
2021-05-21,GRAVITA,110.0,110.9,105.1,105.9,124857
2021-05-24,GRAVITA,105.9,109.0,103.5,105.05,118175
2021-05-25,GRAVITA,105.5,107.55,105.0,105.85,102384
2021-05-26,GRAVITA,106.0,107.0,103.0,103.95,95414
2021-05-27,GRAVITA,103.75,105.35,103.6,104.1,47473
2021-05-28,GRAVITA,103.75,108.35,103.75,106.4,94382
2021-05-31,GRAVITA,106.9,110.0,103.5,104.1,105474
2021-06-01,GRAVITA,104.7,104.9,101.2,101.8,72126
2021-06-02,GRAVITA,101.75,103.75,100.6,101.9,59913
2021-06-03,GRAVITA,102.5,104.5,100.9,101.95,52278
2021-06-04,GRAVITA,102.0,103.8,100.85,102.1,59558
2021-06-07,GRAVITA,103.0,109.9,101.65,109.15,258449
2021-06-08,GRAVITA,110.2,110.9,105.45,106.7,100908
2021-06-09,GRAVITA,107.9,109.0,103.5,104.2,97923
2021-06-10,GRAVITA,105.0,107.35,104.3,105.55,47976
