Date,Open,High,Low,Close,Volume,Deliverable Volume,DeliverablePct
2020-08-30,63.95,74.0,63.8,68.85,18089657,4831691,26.709688304206097
2020-09-06,69.2,69.2,63.1,65.45,4636532,1477809,31.873154331728976
2020-09-13,65.85,66.25,61.3,63.4,1981343,786856,39.71326519436564
2020-09-20,62.95,64.4,58.6,60.45,3422419,1435467,41.94305256019207
2020-09-27,60.3,61.5,54.0,59.7,4297040,1508325,35.10148846647925
2020-10-04,60.0,66.6,58.25,64.55,9412234,2574812,27.35601346077881
2020-10-11,65.0,69.1,63.65,67.3,8865256,3302321,37.25014821907004
2020-10-18,67.5,67.7,60.25,64.1,4228837,2070124,48.95256071586585
2020-10-25,65.25,67.9,63.25,65.45,3230515,1833718,56.762404755898054
2020-11-01,65.1,68.9,63.0,67.9,7655184,3300448,43.1138951068975
2020-11-08,68.3,68.75,64.25,66.05,8126335,3306726,40.69148023063288
2020-11-15,66.75,66.85,62.75,64.25,4986708,2482664,49.78563011910864
2020-11-22,64.9,67.3,63.6,66.75,4501263,2428307,53.94723658670911
2020-11-29,67.25,72.45,65.95,70.4,10774318,4545412,42.18746838546997
2020-12-06,70.75,75.5,70.45,72.95,7123740,2964238,41.61069887446763
2020-12-13,73.05,79.4,71.5,77.6,13903360,4463080,32.10072960780703
2020-12-20,77.9,79.5,73.75,74.75,5479560,2368048,43.2160246443145
2020-12-27,74.2,74.65,66.0,72.05,5198697,2506342,48.21096517069566
2021-01-03,72.15,78.5,71.35,76.95,9437666,3365386,35.659091983123794
2021-01-10,78.6,88.1,77.0,84.6,19664365,7184902,36.53767614667445
2021-01-17,84.9,87.0,81.1,81.6,7132721,2856986,40.0546439430338
2021-01-24,81.0,81.75,75.6,76.2,5890855,2500080,42.44001931807861
2021-01-31,77.0,77.8,71.1,76.65,3421523,1182363,34.55662872936993
2021-02-07,77.4,85.45,75.3,81.0,11241423,4444340,39.53538622290078
2021-02-14,82.0,82.3,75.8,76.75,4869098,2371582,48.7068036009955
2021-02-21,77.2,80.4,75.65,77.05,5616162,2242748,39.933819572868444
2021-02-28,76.6,92.2,76.35,88.95,30463367,7664161,25.158614279242343
2021-03-07,90.85,107.35,88.7,96.15,48990686,13300527,27.149093197021163
2021-03-14,96.7,100.7,91.1,96.0,15719425,4155081,26.432779824961788
2021-03-21,96.35,96.4,80.5,85.6,11089943,4137053,37.3045470116483
2021-03-28,85.8,88.8,80.05,82.3,6373258,2356343,36.97234601203968
2021-04-04,83.15,87.9,81.0,87.15,5253246,2449640,46.6309782561106
2021-04-11,87.25,95.2,85.0,90.1,11116705,3891398,35.00495875351554
