Date,Symbol,Open,High,Low,Close,Deliverable Volume
2020-08-20,GSPL,204.85,208.0,203.85,205.0,575048
2020-08-21,GSPL,207.9,211.55,206.9,209.35,870888
2020-08-24,GSPL,211.5,214.85,209.15,210.0,557251
2020-08-25,GSPL,212.0,215.4,210.8,212.35,791565
2020-08-26,GSPL,212.35,224.35,212.35,218.55,1220744
2020-08-27,GSPL,221.85,223.9,215.25,218.4,854943
2020-08-28,GSPL,221.35,221.35,211.8,212.75,468211
2020-08-31,GSPL,213.0,215.4,200.8,203.55,763137
2020-09-01,GSPL,205.0,206.65,196.45,200.7,480454
2020-09-02,GSPL,202.65,204.0,197.6,200.7,919942
2020-09-03,GSPL,202.4,205.35,201.1,201.6,186356
2020-09-04,GSPL,199.8,205.9,197.1,198.75,238573
2020-09-07,GSPL,199.0,203.4,192.55,194.5,699678
2020-09-08,GSPL,195.8,200.5,193.25,198.35,315757
2020-09-09,GSPL,195.05,197.45,193.05,195.4,302052
2020-09-10,GSPL,195.9,200.6,194.25,195.4,562077
2020-09-11,GSPL,196.25,198.9,193.05,197.95,159597
2020-09-14,GSPL,202.7,216.9,202.3,214.65,1290008
2020-09-15,GSPL,216.5,224.8,211.2,218.55,951608
2020-09-16,GSPL,211.0,213.85,207.7,209.45,1203776
2020-09-17,GSPL,206.85,210.2,206.05,206.9,512915
2020-09-18,GSPL,208.4,214.3,205.0,210.1,1185837
2020-09-21,GSPL,212.9,213.6,202.0,204.05,263009
2020-09-22,GSPL,204.0,204.15,193.6,199.45,379130
2020-09-23,GSPL,199.5,202.55,193.1,199.45,214971
2020-09-24,GSPL,195.55,197.4,193.5,195.15,301266
2020-09-25,GSPL,195.6,199.3,193.6,194.95,491802
2020-09-28,GSPL,196.5,199.5,196.0,196.75,240745
2020-09-29,GSPL,198.4,207.5,196.55,202.5,286035
2020-09-30,GSPL,203.65,209.0,202.7,208.55,237574
2020-10-01,GSPL,209.0,210.0,201.6,203.7,99803
2020-10-05,GSPL,202.55,207.0,199.15,204.2,251644
2020-10-06,GSPL,204.2,205.2,198.2,198.75,159198
2020-10-07,GSPL,198.95,199.75,193.6,194.65,348063
2020-10-08,GSPL,196.0,197.7,194.15,194.75,216091
2020-10-09,GSPL,196.0,196.7,190.1,192.7,445660
2020-10-12,GSPL,194.2,194.6,188.1,190.0,130843
2020-10-13,GSPL,189.0,191.45,181.1,183.75,435613
