Date,Open,High,Low,Close,Volume,Deliverable Volume,DeliverablePct
2020-09-20,1.9,2.35,1.85,2.35,137276,132176,96.28485678487135
2020-09-27,2.45,2.85,2.45,2.85,1477333,1229670,83.23580397919766
2020-10-04,2.95,3.35,2.95,3.35,339838,339835,99.99911722644319
2020-10-11,3.5,4.1,3.5,3.8,559432,531827,95.06553075262052
2020-10-18,3.65,3.65,3.05,3.05,80984,80984,100.0
2020-10-25,2.9,2.9,2.6,2.9,353730,321388,90.85686823283295
2020-11-01,3.0,3.45,2.85,3.15,667532,524451,78.56567175805804
2020-11-08,3.3,3.3,2.85,2.95,822957,542901,65.96954640400409
2020-11-15,2.9,3.2,2.9,3.2,643862,388943,60.40782030932094
2020-11-22,3.3,3.35,3.05,3.15,1065547,517609,48.576834245697285
2020-11-29,3.2,3.25,3.0,3.05,679066,416960,61.4019844904619
2020-12-06,3.15,3.15,3.0,3.15,619335,433164,69.94017777131923
2020-12-13,3.15,4.5,3.1,4.5,772153,569882,73.80428490208547
2020-12-20,4.7,5.6,4.6,5.2,1256295,896330,71.34709602442102
2020-12-27,5.0,5.2,4.55,5.1,763879,414271,54.23254206490819
2021-01-03,5.35,6.4,5.3,6.4,911109,488301,53.59413637665745
2021-01-10,6.7,8.05,6.7,8.05,217463,217463,100.0
2021-01-17,8.45,8.85,6.95,6.95,1345954,804963,59.80613007576782
2021-01-24,6.65,7.85,6.35,7.25,1197828,887372,74.08175464256972
2021-01-31,6.9,7.9,6.65,7.9,1701162,903465,53.10869864245733
2021-02-07,8.2,8.25,6.8,6.95,1483429,894276,60.28438165898065
2021-02-14,6.95,7.35,6.55,7.35,1136772,757618,66.64643393750022
2021-02-21,7.6,7.7,6.65,6.9,1719411,1222561,71.10347671382816
2021-02-28,7.1,7.1,6.5,6.75,660447,437707,66.27435660999292
2021-03-07,6.85,6.9,6.55,6.65,705792,471474,66.80070048966267
2021-03-14,6.7,6.75,6.3,6.65,570926,378242,66.25061741801915
2021-03-21,6.75,6.75,5.85,6.0,666390,445473,66.84869220726601
2021-03-28,6.15,6.3,5.65,5.7,650483,438429,67.4005316049766
2021-04-04,5.95,5.95,5.05,5.5,658726,385631,58.54194308407441
2021-04-11,5.65,5.95,5.5,5.7,694684,402788,57.98147071186324
2021-04-18,5.85,5.85,4.8,5.25,532020,305634,57.44784030675538
2021-04-25,5.35,5.75,4.95,5.5,748022,374569,50.07459673645962
2021-05-02,5.8,5.85,5.25,5.45,864664,519861,60.12289166658956
2021-05-09,5.5,7.45,5.35,6.95,1940109,1240856,63.95805596489682
2021-05-16,6.95,7.4,6.55,7.15,1156262,792850,68.57009916437624
2021-05-23,7.3,7.35,6.8,7.0,582040,413309,71.01041165555631
2021-05-30,7.1,8.85,7.05,8.85,1637317,1124065,68.6528631902069
2021-06-06,9.25,11.15,9.1,11.15,2130467,1291383,60.61502008714521
2021-06-13,11.7,14.1,11.7,14.1,269200,220302,81.83580980683507
2021-06-20,14.8,17.9,13.4,17.9,3214771,1960782,60.992898094452144
2021-06-27,18.75,22.65,18.75,22.65,994296,817728,82.24190784233267
2021-07-04,23.75,28.75,23.75,28.75,327752,327702,99.98474456296223
2021-07-11,30.15,31.65,25.35,25.35,7942457,3984819,50.17111203749671
2021-07-18,24.45,26.3,21.85,21.85,9394931,4127911,43.937640414815185
2021-07-25,21.5,21.85,20.8,20.85,879561,538703,61.24680380326094
2021-08-01,,,,,0,0,
2021-08-08,,,,,0,0,
2021-08-15,,,,,0,0,
2021-08-22,,,,,0,0,
2021-08-29,,,,,0,0,
2021-09-05,,,,,0,0,
2021-09-12,,,,,0,0,
2021-09-19,,,,,0,0,
2021-09-26,,,,,0,0,
2021-10-03,,,,,0,0,
2021-10-10,,,,,0,0,
2021-10-17,15.4,15.5,14.55,14.9,586424,433457,73.91528996084745
2021-10-24,15.1,15.1,14.05,14.15,805960,513849,63.756141744007145
2021-10-31,14.55,14.55,13.2,13.55,548673,358334,65.30920967497946
2021-11-07,13.65,14.2,13.5,13.95,327529,191849,58.574660564408035
2021-11-14,14.55,16.35,14.0,16.35,2299033,1658061,72.11993042292129
2021-11-21,17.1,17.15,14.25,14.25,2637654,1684758,63.87335109153817
2021-11-28,14.0,16.35,12.95,16.35,3390249,2639037,77.84198151817168
2021-12-05,16.95,17.15,14.6,14.8,2826913,1668842,59.03407710106395
2021-12-12,15.0,17.4,14.1,17.4,5006432,3109167,62.10345012176336
2021-12-19,19.0,22.1,18.45,19.0,6943623,3742462,53.897828266309965
2021-12-26,18.05,19.85,17.15,19.85,3924075,2586124,65.90404107974491
2022-01-02,19.75,24.95,18.9,24.95,4850271,2876791,59.31196421808183
2022-01-09,26.15,27.45,23.65,23.75,12833532,4913761,38.288454028088296
