Date,Symbol,Open,High,Low,Close,Volume,Deliverable Volume
2020-08-26,HATSUN,811.85,817.5,793.85,797.8,29267,12027
2020-08-27,HATSUN,809.4,809.4,790.0,793.25,17700,8027
2020-08-28,HATSUN,793.25,800.0,758.0,771.45,31540,16214
2020-08-31,HATSUN,781.0,781.0,729.0,745.45,27484,14663
2020-09-01,HATSUN,749.2,779.0,725.55,760.25,19606,7440
2020-09-02,HATSUN,764.1,785.0,753.0,777.45,20397,10199
2020-09-03,HATSUN,770.1,785.0,765.0,768.15,7523,3551
2020-09-04,HATSUN,750.1,760.0,744.1,749.9,17548,6748
2020-09-07,HATSUN,749.9,759.0,743.2,746.5,9095,3444
2020-09-08,HATSUN,750.25,809.0,746.7,792.25,97159,35997
2020-09-09,HATSUN,785.0,790.0,778.0,783.25,24125,8472
2020-09-10,HATSUN,787.2,809.9,781.0,784.85,36922,14193
2020-09-11,HATSUN,785.0,820.0,784.85,816.6,102853,49284
2020-09-14,HATSUN,832.3,872.0,822.7,841.45,258097,81142
2020-09-15,HATSUN,853.7,878.0,853.6,866.35,69228,30871
2020-09-16,HATSUN,870.0,874.9,835.0,840.15,53071,27365
2020-09-17,HATSUN,844.95,857.8,844.95,847.45,23878,12074
2020-09-18,HATSUN,851.7,857.0,827.0,835.3,30965,16309
2020-09-21,HATSUN,845.0,848.0,808.0,813.85,33547,16119
2020-09-22,HATSUN,807.0,812.6,762.35,773.4,32634,17528
2020-09-23,HATSUN,789.2,789.5,751.05,761.35,22574,8805
2020-09-24,HATSUN,750.0,755.05,729.1,737.25,17438,7219
2020-09-25,HATSUN,740.95,759.5,740.95,755.5,12065,5814
2020-09-28,HATSUN,759.3,789.45,759.3,783.05,14976,6839
2020-09-29,HATSUN,787.0,804.0,784.4,798.8,26177,15437
2020-09-30,HATSUN,798.8,798.8,776.6,779.95,8537,3840
2020-10-01,HATSUN,783.85,799.7,775.0,779.95,9361,4260
2020-10-05,HATSUN,780.1,868.0,780.1,839.55,199488,55323
2020-10-06,HATSUN,850.0,856.85,832.95,839.75,61657,31096
2020-10-07,HATSUN,847.0,847.0,827.2,830.6,24478,13795
2020-10-08,HATSUN,830.6,838.0,812.25,815.8,22954,13122
2020-10-09,HATSUN,812.25,840.0,810.1,822.6,17296,8879
2020-10-12,HATSUN,830.0,835.0,816.05,824.45,27263,17228
2020-10-13,HATSUN,816.05,829.0,800.35,817.25,17574,10829
2020-10-14,HATSUN,821.35,837.95,817.2,823.7,36178,26665
2020-10-15,HATSUN,820.1,830.0,812.0,818.85,18773,13188
2020-10-16,HATSUN,820.0,850.0,820.0,841.5,42427,22655
2020-10-19,HATSUN,855.0,864.0,807.15,851.4,292733,45135
2020-10-20,HATSUN,852.0,857.0,817.0,827.0,74341,32074
2020-10-21,HATSUN,826.0,828.55,800.0,803.65,39457,20911
2020-10-22,HATSUN,813.0,813.0,765.0,771.95,45788,25160
2020-10-23,HATSUN,775.85,800.0,767.05,786.55,23700,9136
2020-10-26,HATSUN,790.0,795.0,779.0,780.85,10555,6195
2020-10-27,HATSUN,784.8,808.0,762.65,797.95,17063,7466
2020-10-28,HATSUN,808.8,808.8,791.45,801.65,17057,8045
2020-10-29,HATSUN,800.0,870.0,796.0,803.85,21853,14164
2020-10-30,HATSUN,804.0,807.85,795.3,800.8,13963,9682
2020-11-02,HATSUN,808.0,810.0,794.0,805.45,20665,13879
2020-11-03,HATSUN,809.5,813.0,801.2,809.1,9701,5734
2020-11-04,HATSUN,813.15,818.05,802.2,810.2,8757,4821
2020-11-05,HATSUN,808.5,824.0,807.8,819.85,16410,9120
2020-11-06,HATSUN,829.0,829.0,817.0,823.0,11811,6727
2020-11-09,HATSUN,834.9,835.0,826.1,830.65,16840,8955
2020-11-10,HATSUN,836.0,836.0,810.0,819.0,15826,8053
2020-11-11,HATSUN,820.0,835.0,820.0,824.4,14257,6450
2020-11-12,HATSUN,828.55,832.95,822.0,826.2,47633,43449
2020-11-13,HATSUN,826.3,833.95,826.3,827.7,12715,8971
2020-11-14,HATSUN,838.0,840.0,830.05,835.15,6013,4419
2020-11-17,HATSUN,839.35,860.0,835.95,857.9,42687,28807
2020-11-18,HATSUN,862.9,978.9,862.9,952.55,405625,115441
2020-11-19,HATSUN,984.2,1029.8,912.0,922.0,305544,87808
2020-11-20,HATSUN,935.85,972.6,903.6,943.0,94459,26685
2020-11-23,HATSUN,989.7,997.0,960.2,967.6,99961,40086
2020-11-24,HATSUN,980.0,985.0,965.0,966.55,31405,15801
2020-11-25,HATSUN,967.0,975.0,895.0,911.65,92184,42875
2020-11-26,HATSUN,925.0,940.95,911.65,929.05,48851,18415
2020-11-27,HATSUN,938.0,954.9,930.05,947.45,44758,24274
2020-12-01,HATSUN,965.0,995.0,963.0,989.8,93825,50587
2020-12-02,HATSUN,1003.8,1013.8,972.0,984.15,93461,44593
2020-12-03,HATSUN,997.0,999.95,987.0,990.1,61058,31888
2020-12-04,HATSUN,996.8,1000.0,990.1,997.25,48630,27341
2020-12-07,HATSUN,1010.0,1055.0,1005.55,1047.5,157172,78153
2020-12-08,HATSUN,1063.0,1072.3,1012.0,1039.1,149925,65928
2020-12-09,HATSUN,884.0,884.0,800.05,842.4,411758,140671
2020-12-10,HATSUN,846.0,846.0,785.0,808.0,153562,52930
2020-12-11,HATSUN,814.5,824.8,800.0,805.3,70614,24071
2020-12-14,HATSUN,805.3,809.3,777.1,785.2,86887,37891
2020-12-15,HATSUN,785.9,794.0,760.25,773.9,67570,27599
2020-12-16,HATSUN,772.9,784.75,769.3,772.8,52171,19377
2020-12-17,HATSUN,776.0,776.4,754.0,757.7,53939,34615
2020-12-18,HATSUN,765.95,765.95,730.5,736.5,73197,38019
2020-12-21,HATSUN,725.0,736.5,665.5,684.1,112475,58053
2020-12-22,HATSUN,681.0,720.0,643.55,705.35,129182,42816
2020-12-23,HATSUN,707.0,729.0,706.0,726.7,57514,23110
2020-12-24,HATSUN,730.0,730.0,713.2,716.9,34806,19968
2020-12-28,HATSUN,725.25,726.7,709.85,720.5,36458,23142
2020-12-29,HATSUN,724.15,741.8,714.45,723.65,46903,21721
2020-12-30,HATSUN,727.1,740.55,714.0,727.35,39670,17900
2020-12-31,HATSUN,739.5,739.5,714.0,724.3,21592,9926
2021-01-01,HATSUN,724.3,728.0,715.6,723.15,27321,13839
2021-01-04,HATSUN,727.9,734.0,703.95,718.9,86008,42228
2021-01-05,HATSUN,718.9,724.7,715.0,720.25,32583,15169
2021-01-06,HATSUN,728.95,728.95,717.0,718.05,39738,21824
2021-01-07,HATSUN,728.0,729.0,718.15,725.6,31582,20260
2021-01-08,HATSUN,734.0,734.0,720.65,728.15,32822,18435
2021-01-11,HATSUN,736.0,743.0,718.35,723.85,64121,26995
2021-01-12,HATSUN,727.95,733.5,721.0,730.1,36698,17186
2021-01-13,HATSUN,733.8,736.0,720.0,722.25,30694,13717
2021-01-14,HATSUN,725.85,733.0,718.35,729.9,28617,13732
2021-01-15,HATSUN,721.0,733.55,721.0,729.55,26450,14697
2021-01-18,HATSUN,724.1,732.0,718.0,722.15,28273,14181
2021-01-19,HATSUN,728.65,777.0,705.0,752.95,828043,125557
2021-01-20,HATSUN,776.6,789.65,756.8,775.55,351954,100404
2021-01-21,HATSUN,776.5,789.7,738.05,741.75,155191,65267
2021-01-22,HATSUN,759.65,759.65,740.0,742.1,47179,21506
2021-01-25,HATSUN,742.0,748.4,702.05,726.65,39406,18865
2021-01-27,HATSUN,726.65,728.55,705.0,707.1,46244,23434
2021-01-28,HATSUN,700.0,711.0,686.1,703.1,32147,14444
2021-01-29,HATSUN,705.5,718.75,692.0,695.9,28869,14741
2021-02-01,HATSUN,699.4,722.0,696.0,716.2,25581,12073
2021-02-02,HATSUN,717.4,727.9,706.2,712.05,22598,10777
2021-02-03,HATSUN,712.05,723.25,705.0,717.8,20105,9799
2021-02-04,HATSUN,721.0,748.0,714.8,725.45,18478,10745
2021-02-05,HATSUN,718.0,729.0,715.5,724.0,40382,24452
2021-02-08,HATSUN,727.5,737.75,719.15,728.65,32273,20761
2021-02-09,HATSUN,732.25,732.95,722.75,725.85,35782,23749
2021-02-10,HATSUN,721.05,733.0,721.05,727.8,23163,10255
2021-02-11,HATSUN,725.0,728.9,695.0,709.85,39449,23394
2021-02-12,HATSUN,715.0,735.0,712.5,714.95,30665,19722
2021-02-15,HATSUN,718.55,721.9,710.0,712.5,18933,10343
2021-02-16,HATSUN,712.05,715.5,706.05,708.5,15378,9893
2021-02-17,HATSUN,712.2,719.55,704.05,707.3,21588,10210
2021-02-18,HATSUN,711.0,747.9,710.45,724.95,125614,29075
2021-02-19,HATSUN,719.9,726.0,706.9,716.95,33352,16323
2021-02-22,HATSUN,715.8,720.55,707.0,712.7,18620,9150
2021-02-23,HATSUN,711.7,714.5,700.0,702.1,21574,11595
2021-02-24,HATSUN,730.0,742.4,700.0,717.55,69254,18597
2021-02-25,HATSUN,721.3,724.6,709.65,711.45,19242,8589
2021-02-26,HATSUN,739.7,739.7,705.5,716.95,88843,17850
2021-03-01,HATSUN,718.95,729.0,706.3,719.3,32258,14097
2021-03-02,HATSUN,723.1,725.85,708.95,718.9,27646,10014
2021-03-03,HATSUN,722.5,742.0,710.0,729.15,42026,22804
2021-03-04,HATSUN,722.5,764.0,722.05,751.05,88702,47593
2021-03-05,HATSUN,756.85,780.0,745.5,759.35,53958,26650
2021-03-08,HATSUN,763.3,778.0,756.95,763.85,71126,41156
2021-03-09,HATSUN,767.7,779.0,750.0,754.15,42379,25302
2021-03-10,HATSUN,754.0,778.0,754.0,772.45,43404,20072
2021-03-12,HATSUN,776.5,803.95,772.5,786.7,166530,50024
2021-03-15,HATSUN,786.0,790.1,760.0,772.05,48049,17102
2021-03-16,HATSUN,765.1,774.8,756.0,760.55,19479,10011
2021-03-17,HATSUN,754.0,763.95,735.0,737.7,13944,7522
