Date,Symbol,Open,High,Low,Close,Volume,Deliverable Volume
2021-08-23,HCC,10.0,10.1,9.25,9.3,5056662,2554856
2021-08-24,HCC,9.4,9.75,9.25,9.65,3067690,1875679
2021-08-25,HCC,9.75,9.95,9.55,9.65,2094628,1263306
2021-08-26,HCC,9.7,9.75,9.5,9.6,1198950,773252
2021-08-27,HCC,9.5,9.7,9.5,9.55,1685294,860504
2021-08-30,HCC,9.65,10.0,9.55,10.0,2993459,1715352
2021-08-31,HCC,10.0,10.25,9.55,9.95,4307818,2028369
2021-09-01,HCC,10.05,10.1,9.75,9.95,1744777,1104136
2021-09-02,HCC,10.1,10.15,9.95,10.0,1709989,1125118
2021-09-03,HCC,10.05,10.15,9.85,9.9,1621153,891076
2021-09-06,HCC,9.95,10.0,9.7,9.75,1704073,1161576
2021-09-07,HCC,9.8,9.95,9.6,9.65,1109071,783264
2021-09-08,HCC,9.7,9.8,9.55,9.6,2199561,1458153
2021-09-09,HCC,9.6,9.7,9.4,9.5,4302746,2743473
2021-09-13,HCC,9.55,9.95,9.3,9.95,4320442,2638736
2021-09-14,HCC,10.1,10.4,10.05,10.25,6542408,3678541
2021-09-15,HCC,10.45,10.45,10.1,10.2,2794496,1792444
2021-09-16,HCC,10.25,10.35,9.9,10.05,3869542,2160043
2021-09-17,HCC,10.15,10.25,9.65,10.15,5673699,3080343
2021-09-20,HCC,10.05,10.15,9.8,9.85,2197496,1257165
2021-09-21,HCC,9.95,10.0,9.6,9.75,1649314,966088
2021-09-22,HCC,9.8,10.0,9.65,9.7,3237306,1777326
2021-09-23,HCC,9.8,9.9,9.45,9.6,3475704,1804261
2021-09-24,HCC,9.7,9.8,9.6,9.65,2263746,1174233
2021-09-27,HCC,9.75,9.95,9.7,9.75,1977604,1121830
2021-09-28,HCC,9.8,9.8,9.4,9.5,3144823,2112209
2021-09-29,HCC,9.4,9.95,9.4,9.7,4872373,2904036
2021-09-30,HCC,9.65,9.8,9.6,9.65,1998564,1342398
2021-10-01,HCC,9.6,9.7,9.5,9.55,2164813,1651691
2021-10-04,HCC,9.6,10.0,9.55,9.8,9262950,5224990
2021-10-05,HCC,9.75,9.9,9.6,9.65,3777494,2286037
2021-10-06,HCC,9.65,9.8,9.55,9.6,3215684,2475815
2021-10-07,HCC,9.7,10.35,9.65,9.9,18061579,8861179
2021-10-08,HCC,10.05,10.85,9.8,10.85,37353827,19314267
2021-10-11,HCC,11.25,11.35,10.45,10.55,18267240,10145462
2021-10-12,HCC,10.5,10.85,10.15,10.35,7429110,4109759
2021-10-13,HCC,10.45,11.0,10.4,10.6,9434937,5300572
2021-10-14,HCC,10.7,10.85,10.55,10.65,5387648,3188163
2021-10-18,HCC,10.7,11.7,10.6,11.6,25857037,11800073
2021-10-19,HCC,11.7,12.25,10.9,10.95,14054997,8109853
2021-10-20,HCC,11.0,11.1,10.35,10.4,6661623,3534870
2021-10-21,HCC,10.55,11.4,10.45,10.8,11396909,5215836
2021-10-22,HCC,10.9,11.1,10.25,10.35,5296111,2894791
2021-10-25,HCC,10.5,10.55,9.75,9.8,7101125,4135943
2021-10-26,HCC,9.75,10.3,9.7,9.8,5325000,3277626
2021-10-27,HCC,9.85,9.9,9.7,9.75,2923153,1984948
2021-10-28,HCC,9.75,9.75,9.3,9.4,4752990,2947279
2021-10-29,HCC,9.4,9.5,9.15,9.4,2115197,1163869
2021-11-01,HCC,9.55,9.75,9.4,9.5,2986285,1730324
2021-11-02,HCC,9.6,9.75,9.35,9.4,4582608,2652911
2021-11-03,HCC,9.45,9.55,9.0,9.2,4146801,2659117
2021-11-04,HCC,9.3,9.5,9.25,9.5,1120053,871239
2021-11-08,HCC,9.6,9.7,9.45,9.55,2758566,2014527
2021-11-09,HCC,9.6,10.0,9.45,9.8,3803682,2363817
2021-11-10,HCC,9.9,10.15,9.75,9.8,4569146,3125852
2021-11-11,HCC,9.8,9.95,9.65,9.75,2649393,1742127
2021-11-12,HCC,10.3,10.4,9.7,9.85,8029284,4461474
2021-11-15,HCC,10.45,10.45,9.75,10.05,9321210,4142617
2021-11-16,HCC,10.25,10.25,10.0,10.05,3382129,2039292
2021-11-17,HCC,10.0,10.3,9.9,9.95,4466045,2808967
2021-11-18,HCC,10.05,10.1,9.5,9.65,4305813,2168633
