Date,Symbol,Open,High,Low,Close,Volume,Deliverable Volume
2021-08-23,HCLTECH,1129.0,1178.2,1126.05,1163.1,9383780,3304609
2021-08-24,HCLTECH,1167.95,1173.0,1150.0,1152.9,3947317,2021478
2021-08-25,HCLTECH,1159.9,1169.9,1140.3,1154.35,3447912,1498826
2021-08-26,HCLTECH,1159.9,1172.0,1155.0,1167.45,4654833,2391178
2021-08-27,HCLTECH,1167.45,1169.75,1159.5,1162.95,3050466,1933525
2021-08-30,HCLTECH,1164.0,1170.35,1154.55,1163.4,2956868,1874758
2021-08-31,HCLTECH,1166.0,1193.4,1162.05,1182.3,7199002,3982843
2021-09-01,HCLTECH,1190.0,1190.5,1161.75,1164.65,3200410,2037053
2021-09-02,HCLTECH,1172.0,1182.0,1154.0,1172.75,5224479,3688291
2021-09-03,HCLTECH,1173.5,1180.6,1158.25,1174.75,4533364,2868614
2021-09-06,HCLTECH,1175.0,1210.1,1174.0,1200.15,4331916,2463066
2021-09-07,HCLTECH,1214.0,1214.95,1180.1,1182.2,3721585,1780382
2021-09-08,HCLTECH,1185.0,1191.15,1167.05,1188.8,3118518,1678071
2021-09-09,HCLTECH,1192.0,1204.95,1183.0,1198.55,3388292,2089217
2021-09-13,HCLTECH,1192.0,1215.0,1176.45,1208.4,3723138,2021003
2021-09-14,HCLTECH,1216.0,1240.6,1207.0,1238.65,5593286,3339205
2021-09-15,HCLTECH,1238.65,1288.95,1230.25,1273.25,6063895,3140860
2021-09-16,HCLTECH,1287.2,1295.3,1255.2,1263.1,3616292,2013510
2021-09-17,HCLTECH,1265.0,1281.0,1258.5,1263.3,4817180,2935615
2021-09-20,HCLTECH,1258.0,1298.8,1250.0,1276.15,5453683,2694469
2021-09-21,HCLTECH,1289.0,1315.0,1277.0,1299.5,4645597,1664606
2021-09-22,HCLTECH,1300.0,1328.65,1299.6,1315.5,5367303,2673325
2021-09-23,HCLTECH,1326.85,1336.45,1313.9,1328.3,3037295,1678148
2021-09-24,HCLTECH,1340.0,1377.75,1337.0,1358.2,7951730,4552036
2021-09-27,HCLTECH,1366.0,1367.95,1290.05,1295.2,7653504,5199330
2021-09-28,HCLTECH,1304.95,1304.95,1254.0,1269.0,8572321,5862044
2021-09-29,HCLTECH,1270.0,1301.45,1258.8,1281.2,4639821,2295061
2021-09-30,HCLTECH,1291.45,1291.45,1268.85,1279.55,3589722,2297485
2021-10-01,HCLTECH,1274.0,1284.0,1260.65,1273.75,3372796,2006146
2021-10-04,HCLTECH,1281.5,1293.6,1273.75,1278.65,2706626,1708223
2021-10-05,HCLTECH,1270.0,1313.6,1262.2,1305.15,3710314,1974620
2021-10-06,HCLTECH,1312.0,1319.85,1271.8,1275.45,2861608,1340570
2021-10-07,HCLTECH,1284.05,1317.85,1284.05,1306.3,2421641,1176187
2021-10-08,HCLTECH,1306.3,1338.0,1294.05,1322.15,5197831,2611719
2021-10-11,HCLTECH,1300.0,1324.9,1235.65,1302.9,5264998,2526334
2021-10-12,HCLTECH,1306.95,1309.0,1236.3,1250.35,12811641,6494039
2021-10-13,HCLTECH,1263.0,1270.8,1243.45,1265.35,5705730,3121837
2021-10-14,HCLTECH,1289.4,1293.25,1244.05,1251.15,10360519,5246553
