Date,Symbol,Open,High,Low,Close,Volume,Deliverable Volume
2020-08-26,HERITGFOOD,342.3,350.0,335.2,341.55,56819,28798
2020-08-27,HERITGFOOD,344.65,349.5,341.0,342.35,38234,22760
2020-08-28,HERITGFOOD,347.95,349.5,342.0,343.2,45318,21631
2020-08-31,HERITGFOOD,358.0,368.0,340.2,361.55,321104,195985
2020-09-01,HERITGFOOD,364.0,366.55,332.35,349.6,74649,29866
2020-09-02,HERITGFOOD,357.95,357.95,342.6,348.2,26756,14350
2020-09-03,HERITGFOOD,343.4,351.05,341.1,343.9,16637,9289
2020-09-04,HERITGFOOD,333.0,342.7,331.0,333.55,31788,18830
2020-09-07,HERITGFOOD,330.0,356.45,329.75,344.5,168161,75620
2020-09-08,HERITGFOOD,344.9,355.0,341.0,344.7,47928,25927
2020-09-09,HERITGFOOD,341.0,359.0,334.05,339.7,184595,46561
2020-09-10,HERITGFOOD,345.65,349.0,337.5,341.0,30880,16604
2020-09-11,HERITGFOOD,341.2,352.7,335.0,338.05,66514,43693
2020-09-14,HERITGFOOD,352.0,355.95,342.0,352.95,119870,80085
2020-09-15,HERITGFOOD,352.5,360.0,346.05,357.25,57481,38779
2020-09-16,HERITGFOOD,361.0,363.0,354.0,355.8,43500,25652
2020-09-17,HERITGFOOD,353.0,359.0,347.1,351.45,20297,12606
2020-09-18,HERITGFOOD,355.95,355.95,340.0,344.9,20400,11408
2020-09-21,HERITGFOOD,349.95,349.95,335.0,335.95,64644,59073
2020-09-22,HERITGFOOD,339.0,354.0,302.4,345.75,118530,58062
2020-09-23,HERITGFOOD,355.0,355.15,329.95,333.15,55170,29487
2020-09-24,HERITGFOOD,327.0,329.85,310.15,312.25,56756,33650
2020-09-25,HERITGFOOD,319.95,324.05,315.0,319.65,21510,9643
2020-09-28,HERITGFOOD,327.0,327.05,317.75,321.2,39953,24581
2020-09-29,HERITGFOOD,327.9,327.9,315.4,316.3,20462,12850
2020-09-30,HERITGFOOD,316.65,325.5,313.0,321.55,32446,19098
2020-10-01,HERITGFOOD,324.55,325.65,320.05,324.85,26443,20298
2020-10-05,HERITGFOOD,327.4,329.4,322.85,324.75,48181,38582
2020-10-06,HERITGFOOD,322.2,324.95,319.8,321.85,21586,14636
2020-10-07,HERITGFOOD,324.3,324.6,320.95,323.7,23241,15485
2020-10-08,HERITGFOOD,326.4,328.95,316.6,321.4,25080,13623
2020-10-09,HERITGFOOD,324.0,324.0,313.0,315.0,26150,19596
2020-10-12,HERITGFOOD,312.0,315.0,302.65,304.0,54412,40296
2020-10-13,HERITGFOOD,309.0,315.95,305.2,312.8,36653,19931
2020-10-14,HERITGFOOD,315.3,315.3,303.4,306.25,40296,21771
2020-10-15,HERITGFOOD,308.0,309.4,290.0,292.95,29753,21399
2020-10-16,HERITGFOOD,296.9,304.0,294.6,301.2,24037,12271
2020-10-19,HERITGFOOD,305.4,306.0,300.7,303.3,15931,10617
2020-10-20,HERITGFOOD,305.5,305.5,299.85,302.35,19661,12334
2020-10-21,HERITGFOOD,304.5,310.65,297.0,297.65,33270,18125
2020-10-22,HERITGFOOD,298.0,303.1,296.9,299.05,22734,15012
2020-10-23,HERITGFOOD,302.05,306.6,302.0,302.75,24215,14638
2020-10-26,HERITGFOOD,305.0,306.9,300.05,302.15,102843,90472
2020-10-27,HERITGFOOD,302.2,314.9,302.2,312.0,65145,38402
2020-10-28,HERITGFOOD,314.95,318.95,284.3,305.7,268716,102081
2020-10-29,HERITGFOOD,303.0,313.5,303.0,305.95,121499,89224
2020-10-30,HERITGFOOD,305.5,311.1,299.0,306.45,103605,64773
2020-11-02,HERITGFOOD,306.95,306.95,296.6,302.05,67622,47079
2020-11-03,HERITGFOOD,305.0,305.0,293.5,295.05,45176,30926
2020-11-04,HERITGFOOD,299.0,299.0,292.25,293.45,17914,11488
2020-11-05,HERITGFOOD,295.05,299.95,290.55,291.8,33122,23829
2020-11-06,HERITGFOOD,298.95,298.95,280.1,282.3,90947,65633
2020-11-09,HERITGFOOD,283.0,285.45,266.0,268.1,151355,102708
2020-11-10,HERITGFOOD,269.85,273.0,262.0,267.0,92229,53853
2020-11-11,HERITGFOOD,268.3,273.7,259.0,262.9,258641,218079
2020-11-12,HERITGFOOD,269.0,275.5,264.0,273.85,97992,49961
2020-11-13,HERITGFOOD,276.85,278.5,268.5,273.0,51662,23724
2020-11-14,HERITGFOOD,277.8,279.0,273.0,277.15,20281,13964
2020-11-17,HERITGFOOD,279.8,287.0,270.0,272.85,57261,32082
2020-11-18,HERITGFOOD,273.95,275.45,270.0,271.3,41155,24409
2020-11-19,HERITGFOOD,269.9,280.85,269.6,274.4,97236,56064
2020-11-20,HERITGFOOD,275.0,280.0,274.05,276.05,76709,57937
2020-11-23,HERITGFOOD,280.75,280.75,276.85,278.05,48206,28552
2020-11-24,HERITGFOOD,278.0,281.0,277.5,279.25,39544,24398
2020-11-25,HERITGFOOD,280.6,283.0,274.0,274.95,41966,29369
2020-11-26,HERITGFOOD,274.95,285.0,273.45,282.8,104742,65128
2020-11-27,HERITGFOOD,285.0,295.2,282.1,290.8,155325,97065
2020-12-01,HERITGFOOD,293.65,295.7,290.0,291.3,45502,29074
2020-12-02,HERITGFOOD,294.65,294.65,282.5,284.85,53333,31511
2020-12-03,HERITGFOOD,287.0,289.0,281.9,283.2,56838,36982
