Date,Symbol,Open,High,Low,Close,Volume,Deliverable Volume
2020-08-26,HINDALCO,192.0,195.0,191.25,193.5,8427750,2058029
2020-08-27,HINDALCO,193.5,195.65,192.6,194.9,7659883,2209521
2020-08-28,HINDALCO,195.1,196.15,193.0,193.8,8153155,2021394
2020-08-31,HINDALCO,195.0,197.0,184.25,185.25,17662267,6717990
2020-09-01,HINDALCO,185.2,195.45,185.0,194.05,24334798,5733343
2020-09-02,HINDALCO,194.0,196.9,192.55,196.2,11184434,4053672
2020-09-03,HINDALCO,196.15,196.15,191.55,192.0,11311035,3989515
2020-09-04,HINDALCO,188.05,194.0,184.85,188.3,16805286,3137758
2020-09-07,HINDALCO,188.3,191.5,186.6,187.5,6839485,759931
2020-09-08,HINDALCO,188.2,188.2,179.55,180.25,9202591,1552638
2020-09-09,HINDALCO,177.35,183.8,171.75,182.8,22609547,4490274
2020-09-10,HINDALCO,185.0,185.3,173.35,176.65,19155966,5695555
2020-09-11,HINDALCO,178.7,180.0,174.8,178.65,15780825,2628132
2020-09-14,HINDALCO,179.0,180.5,174.6,175.8,11606088,3328269
2020-09-15,HINDALCO,177.4,179.35,174.5,176.75,10726850,2361332
2020-09-16,HINDALCO,177.1,184.6,175.45,183.8,14453137,2077040
2020-09-17,HINDALCO,182.7,182.7,175.35,175.85,18644374,3959853
2020-09-18,HINDALCO,177.45,182.2,176.55,179.5,28529345,9359392
2020-09-21,HINDALCO,179.4,180.7,163.1,167.15,26163752,6048493
2020-09-22,HINDALCO,168.0,168.95,160.8,163.45,18465737,3869324
2020-09-23,HINDALCO,165.5,167.45,162.3,165.45,17257416,3031618
2020-09-24,HINDALCO,158.0,162.3,154.4,159.1,19292855,4918084
2020-09-25,HINDALCO,161.95,164.85,157.65,162.05,20236970,4393252
2020-09-28,HINDALCO,163.95,168.7,162.1,167.7,12412823,2990718
2020-09-29,HINDALCO,169.45,177.3,168.1,176.4,36625394,7561097
2020-09-30,HINDALCO,177.5,177.7,172.7,175.25,15628518,3530335
2020-10-01,HINDALCO,177.2,179.25,173.5,174.1,12663081,1295082
2020-10-05,HINDALCO,175.0,179.9,172.8,179.05,13647877,2183443
2020-10-06,HINDALCO,180.6,182.4,175.6,176.9,13192336,2861754
2020-10-07,HINDALCO,176.9,177.95,170.8,172.85,11851391,2533848
2020-10-08,HINDALCO,172.85,176.45,171.55,174.25,11214159,1861124
2020-10-09,HINDALCO,177.0,181.45,169.25,170.0,30474584,5661589
2020-10-12,HINDALCO,174.0,175.0,169.7,172.15,16792494,2055480
2020-10-13,HINDALCO,170.45,174.9,169.75,173.25,9712363,1780965
2020-10-14,HINDALCO,173.0,175.0,171.05,174.2,10704122,3001960
2020-10-15,HINDALCO,174.9,178.25,171.7,173.65,19813787,4730284
2020-10-16,HINDALCO,174.1,180.55,172.35,179.8,15546424,2820931
2020-10-19,HINDALCO,181.0,183.85,177.7,182.7,17095601,2779327
2020-10-20,HINDALCO,181.8,183.15,179.3,180.8,10429257,1838488
2020-10-21,HINDALCO,181.1,187.5,181.0,185.95,24286914,5024390
2020-10-22,HINDALCO,184.9,187.7,182.1,184.45,17453750,3898815
2020-10-23,HINDALCO,185.6,186.6,181.65,182.25,9733886,2111542
2020-10-26,HINDALCO,182.3,182.9,169.6,172.4,15615757,3012208
2020-10-27,HINDALCO,172.9,175.4,171.05,174.45,15437839,3820664
2020-10-28,HINDALCO,174.45,177.1,169.25,170.45,14426026,2800267
2020-10-29,HINDALCO,168.5,170.5,165.3,167.9,12267601,2118097
2020-10-30,HINDALCO,168.2,171.95,166.9,170.65,12957793,2056731
2020-11-02,HINDALCO,171.5,172.5,167.65,170.75,11083051,1847099
2020-11-03,HINDALCO,172.45,180.4,171.85,179.75,22507173,6233779
2020-11-04,HINDALCO,177.0,181.2,174.1,176.5,11618409,1395047
2020-11-05,HINDALCO,178.9,187.95,178.1,187.35,23733769,7586784
