Date,Symbol,Open,High,Low,Close,Volume,Deliverable Volume
2021-08-23,HINDCOPPER,122.6,124.0,109.25,110.65,7314717,2434933
2021-08-24,HINDCOPPER,110.0,116.3,109.8,114.4,4594286,1489132
2021-08-25,HINDCOPPER,115.4,119.2,115.4,116.95,3884841,1127339
2021-08-26,HINDCOPPER,117.15,117.15,114.25,115.4,2017377,688011
2021-08-27,HINDCOPPER,115.55,117.6,115.0,115.7,2016080,588222
2021-08-30,HINDCOPPER,116.95,120.85,116.95,119.8,2941481,1151429
2021-08-31,HINDCOPPER,119.95,122.4,117.3,118.95,2908516,887085
2021-09-01,HINDCOPPER,119.2,119.5,116.25,117.3,1546422,658379
2021-09-02,HINDCOPPER,117.95,120.95,117.7,119.4,2427559,1037175
2021-09-03,HINDCOPPER,119.55,121.3,118.5,119.1,2368562,914968
2021-09-06,HINDCOPPER,120.0,120.9,118.15,119.15,1792642,681776
2021-09-07,HINDCOPPER,119.8,120.6,117.0,117.45,1784993,728260
2021-09-08,HINDCOPPER,117.3,118.25,116.1,116.95,1399790,592674
2021-09-09,HINDCOPPER,117.5,117.5,115.2,115.9,1640985,764441
2021-09-13,HINDCOPPER,118.9,125.7,118.25,124.6,10535636,3025248
2021-09-14,HINDCOPPER,125.45,129.75,124.1,126.0,5772261,1826016
2021-09-15,HINDCOPPER,126.5,127.05,124.05,124.6,2007766,793773
2021-09-16,HINDCOPPER,118.7,119.0,116.6,116.95,14012113,6631782
2021-09-17,HINDCOPPER,116.9,117.9,116.6,116.8,5750709,2882369
2021-09-20,HINDCOPPER,115.0,115.2,110.2,110.8,4649599,2267516
2021-09-21,HINDCOPPER,111.95,112.8,108.2,109.1,6059082,2434565
2021-09-22,HINDCOPPER,110.05,112.7,110.0,111.4,3862683,1648957
2021-09-23,HINDCOPPER,113.25,114.9,112.6,113.1,3485093,1389533
2021-09-24,HINDCOPPER,113.75,114.0,109.65,110.25,2876909,1125090
