Date,Symbol,Open,High,Low,Close,Volume,Deliverable Volume
2021-08-23,HINDOILEXP,166.0,166.4,146.45,152.45,1523700,729442
2021-08-24,HINDOILEXP,155.9,164.9,154.1,161.2,1048752,372218
2021-08-25,HINDOILEXP,162.5,169.85,161.25,165.75,984052,328898
2021-08-26,HINDOILEXP,166.45,169.7,161.55,164.1,666217,244594
2021-08-27,HINDOILEXP,163.5,172.4,163.5,167.6,1015636,367036
2021-08-30,HINDOILEXP,169.4,171.1,165.05,167.6,473171,213905
2021-08-31,HINDOILEXP,167.9,172.0,163.5,166.1,509747,205568
2021-09-01,HINDOILEXP,166.9,168.5,159.5,162.15,550213,268936
2021-09-02,HINDOILEXP,163.0,168.95,162.05,164.45,405885,147887
2021-09-03,HINDOILEXP,165.95,180.85,164.85,180.85,3151234,1284389
2021-09-06,HINDOILEXP,183.9,184.8,175.55,177.8,1954669,676778
2021-09-07,HINDOILEXP,178.25,179.3,171.25,172.7,766076,278448
2021-09-08,HINDOILEXP,172.85,189.95,171.45,188.5,4172613,1521372
2021-09-09,HINDOILEXP,188.8,204.4,185.1,193.95,3729575,979050
2021-09-13,HINDOILEXP,195.0,201.9,188.7,193.15,1366012,389983
2021-09-14,HINDOILEXP,195.0,204.5,192.3,196.65,1890473,585836
2021-09-15,HINDOILEXP,198.0,206.9,197.35,203.75,1712607,577284
2021-09-16,HINDOILEXP,206.0,209.7,202.1,206.5,1159931,469184
2021-09-17,HINDOILEXP,207.0,210.75,191.0,201.7,1600005,606233
2021-09-20,HINDOILEXP,195.0,205.8,190.0,193.75,863498,348614
2021-09-21,HINDOILEXP,194.0,209.5,186.2,206.8,1858427,591469
2021-09-22,HINDOILEXP,207.9,211.4,200.7,202.5,1024112,385513
2021-09-23,HINDOILEXP,204.0,207.65,198.45,201.4,587896,230044
2021-09-24,HINDOILEXP,203.75,206.7,196.25,198.7,706111,239451
2021-09-27,HINDOILEXP,201.5,205.0,198.55,202.1,956589,277861
