Date,Open,High,Low,Close,Volume,Deliverable Volume,DeliverablePct
2020-08-30,16.95,17.15,15.3,16.35,479481,367520,76.64954398610165
2020-09-06,,,,,0,0,
2020-09-13,,,,,0,0,
2020-09-20,,,,,0,0,
2020-09-27,,,,,0,0,
2020-10-04,,,,,0,0,
2020-10-11,,,,,0,0,
2020-10-18,,,,,0,0,
2020-10-25,,,,,0,0,
2020-11-01,,,,,0,0,
2020-11-08,,,,,0,0,
2020-11-15,13.0,13.4,12.35,13.1,646227,507045,78.46236693917153
2020-11-22,13.4,13.85,12.7,13.85,170515,118082,69.25021259126764
2020-11-29,14.3,14.35,13.2,14.15,397569,312197,78.52649477197669
2020-12-06,14.15,14.8,13.55,14.45,788323,501800,63.654111322389426
2020-12-13,15.85,16.55,14.7,15.95,2930828,1971502,67.26774822678097
2020-12-20,16.3,17.5,15.55,15.8,1771408,1151501,65.00484360463541
2020-12-27,16.0,16.3,14.0,15.7,574095,383181,66.7452250934079
2021-01-03,16.0,17.05,15.5,16.75,623786,438355,70.2732988556973
2021-01-10,16.85,20.0,15.85,18.5,6113311,2997237,49.0280471580785
2021-01-17,18.2,19.0,17.35,17.85,1006495,638927,63.48039483554315
2021-01-24,17.5,18.5,16.75,16.85,838362,513039,61.19540246337502
2021-01-31,17.0,17.8,16.4,17.1,234213,165555,70.68565792675898
2021-02-07,17.3,18.0,16.75,17.25,451749,312626,69.20347361034557
2021-02-14,18.0,19.15,17.1,18.75,909365,660844,72.67092971469103
2021-02-21,19.25,22.25,18.65,20.4,1416697,849164,59.93970482043797
2021-02-28,20.95,30.6,20.95,26.2,6685672,3242571,48.50030034377995
2021-03-07,27.65,27.65,25.25,25.7,1082140,764458,70.64317001497034
2021-03-14,26.55,26.55,25.4,25.7,572917,455840,79.56475370777966
2021-03-21,25.7,26.05,21.15,22.35,911004,637534,69.9814709924435
2021-03-28,22.05,23.65,20.6,21.7,713306,407759,57.16466705733584
2021-04-04,21.35,22.85,20.6,22.85,451880,273780,60.58688147295742
2021-04-11,23.2,23.45,21.15,22.65,727584,367040,50.446408936974976
2021-04-18,22.7,22.7,20.55,20.9,238283,126832,53.227464821241966
2021-04-25,20.45,21.2,19.55,20.1,514532,360975,70.15598641095208
2021-05-02,20.0,24.35,20.0,22.35,1701550,631297,37.10129000029385
2021-05-09,22.05,22.45,20.7,20.8,875836,605619,69.14753446992358
2021-05-16,21.0,22.9,20.6,21.45,1149281,683485,59.470660351993985
2021-05-23,21.25,23.5,21.25,21.8,1639350,965515,58.89620886326898
2021-05-30,22.5,30.6,22.25,26.4,11313825,5896728,52.119667751622465
2021-06-06,26.8,27.2,24.3,25.95,2106948,1544669,73.31310502205085
2021-06-13,25.95,29.9,25.3,28.05,6684327,3501765,52.38769737028126
2021-06-20,27.95,29.2,26.05,27.05,5649869,2503187,44.30522194408401
2021-06-27,26.8,27.6,21.65,27.0,2548232,1473642,57.82997780421877
2021-07-04,28.05,28.5,26.0,26.55,1572450,889635,56.57636172851282
2021-07-11,28.0,28.45,26.3,26.6,3072767,1979595,64.42385641345406
2021-07-18,27.0,27.25,26.1,26.35,1811647,1247853,68.87947817648804
2021-07-25,26.4,35.3,26.15,31.65,25421885,9492114,37.33835630206021
2021-08-01,31.65,33.4,28.2,30.75,5941624,2788471,46.93112522771552
2021-08-08,30.9,31.55,26.25,27.25,4053557,1877606,46.319960469286606
2021-08-15,27.5,28.95,25.55,27.0,2804122,1549421,55.25512085422817
2021-08-22,27.4,27.5,24.3,24.35,924919,575403,62.211177411211146
2021-08-29,24.75,25.4,22.6,23.5,1477835,952293,64.43838452871937
2021-09-05,24.2,24.4,23.05,23.95,815704,552901,67.78206310132107
2021-09-12,24.45,24.45,23.5,23.75,562719,428365,76.12414011256062
2021-09-19,24.0,27.0,23.7,24.55,2991031,1685713,56.35892774096959
2021-09-26,25.0,26.6,24.3,24.8,3046608,1736191,56.98767284796731
2021-10-03,24.85,26.85,24.55,26.3,1704599,941589,55.23815278549383
2021-10-10,26.7,27.45,26.0,26.9,2299120,1514098,65.85554473015762
2021-10-17,27.25,27.25,25.6,26.2,1367943,847736,61.97158799745311
2021-10-24,26.8,26.85,24.65,24.95,1621095,1033759,63.76918070810162
2021-10-31,25.0,29.0,23.75,26.2,4092074,1690892,41.3211491287792
2021-11-07,26.7,28.0,26.45,27.15,1870230,1032140,55.1878645941943
2021-11-14,27.55,28.5,26.6,27.85,2799456,1843392,65.84822194026268
2021-11-21,27.5,28.65,26.15,26.7,3247708,2353484,72.46599755889385
2021-11-28,26.7,26.9,22.05,24.0,2818978,1507122,53.46341830266146
2021-12-05,24.0,24.8,22.75,24.25,1096267,647348,59.05021313238472
2021-12-12,24.45,26.45,23.65,26.15,1767093,1075899,60.885250521619405
2021-12-19,26.4,28.65,25.65,25.8,3295201,2038898,61.8747687925562
2021-12-26,25.5,25.85,24.1,25.15,868613,451290,51.955243589492675
2022-01-02,24.75,28.6,24.7,27.6,3707816,1721631,46.43248208648973
2022-01-09,27.95,31.0,27.4,28.35,11296181,5977122,52.91276759818208
