Date,Symbol,Open,High,Low,Close,Deliverable Volume
2020-08-19,IBULHSGFIN,210.0,211.2,204.25,204.8,3733810
2020-08-20,IBULHSGFIN,203.65,208.8,201.1,204.0,2210184
2020-08-21,IBULHSGFIN,206.25,207.4,202.4,203.15,2332715
2020-08-24,IBULHSGFIN,205.0,210.0,201.1,202.4,3474941
2020-08-25,IBULHSGFIN,205.8,209.8,202.15,206.3,4506342
2020-08-26,IBULHSGFIN,208.5,223.0,207.15,217.75,9008858
2020-08-27,IBULHSGFIN,222.0,224.0,215.0,219.35,6078461
2020-08-28,IBULHSGFIN,222.5,229.6,221.65,223.9,6073940
2020-08-31,IBULHSGFIN,226.0,230.25,202.6,208.2,5425605
2020-09-01,IBULHSGFIN,210.95,211.5,194.0,205.8,2864366
2020-09-02,IBULHSGFIN,205.8,208.5,202.65,204.35,1790109
2020-09-03,IBULHSGFIN,204.35,206.55,198.3,199.9,3325697
2020-09-04,IBULHSGFIN,195.0,196.45,190.45,192.75,3754004
2020-09-07,IBULHSGFIN,193.0,198.2,190.1,194.95,6098158
2020-09-08,IBULHSGFIN,194.3,205.8,191.5,201.65,8636285
2020-09-09,IBULHSGFIN,196.3,202.8,193.35,201.3,3677027
2020-09-10,IBULHSGFIN,204.0,205.0,192.5,194.7,4740044
2020-09-11,IBULHSGFIN,195.1,200.5,194.1,198.9,3326338
2020-09-14,IBULHSGFIN,198.9,200.4,188.05,189.5,5720223
2020-09-15,IBULHSGFIN,190.95,191.45,184.5,185.85,3248588
2020-09-16,IBULHSGFIN,187.4,193.5,185.0,186.4,3320819
2020-09-17,IBULHSGFIN,186.3,188.7,180.1,181.6,4457762
2020-09-18,IBULHSGFIN,182.7,186.5,178.0,178.6,3939634
2020-09-21,IBULHSGFIN,180.0,182.0,151.85,155.2,13042321
2020-09-22,IBULHSGFIN,156.5,165.7,146.9,154.4,6948669
2020-09-23,IBULHSGFIN,158.0,160.25,150.0,151.65,2948618
2020-09-24,IBULHSGFIN,147.8,150.8,137.5,138.8,7525088
2020-09-25,IBULHSGFIN,140.6,146.9,127.75,145.25,7316658
2020-09-28,IBULHSGFIN,148.5,157.1,147.0,155.2,3177635
2020-09-29,IBULHSGFIN,156.0,156.9,150.2,152.1,1795834
2020-09-30,IBULHSGFIN,153.0,160.0,151.15,157.15,3774690
2020-10-01,IBULHSGFIN,159.0,161.8,155.75,156.5,2160916
2020-10-05,IBULHSGFIN,156.5,158.95,151.8,152.65,1939631
2020-10-06,IBULHSGFIN,154.1,157.4,151.7,153.9,1724917
2020-10-07,IBULHSGFIN,153.9,157.9,149.65,151.0,2426389
2020-10-08,IBULHSGFIN,152.25,156.8,147.75,149.1,2467983
2020-10-09,IBULHSGFIN,150.05,157.3,149.0,154.85,3531720
2020-10-12,IBULHSGFIN,159.0,160.8,150.0,150.55,3318906
2020-10-13,IBULHSGFIN,149.8,153.0,145.8,146.8,2096469
2020-10-14,IBULHSGFIN,146.7,156.75,144.5,155.3,4615994
2020-10-15,IBULHSGFIN,155.3,157.85,150.0,151.5,2671084
2020-10-16,IBULHSGFIN,152.45,153.7,149.3,151.15,1033826
2020-10-19,IBULHSGFIN,152.75,154.85,150.05,153.1,1093961
2020-10-20,IBULHSGFIN,152.9,154.4,151.5,152.5,779745
2020-10-21,IBULHSGFIN,153.25,154.2,149.5,151.6,1013702
2020-10-22,IBULHSGFIN,152.0,154.35,147.7,149.4,2498768
2020-10-23,IBULHSGFIN,150.0,155.15,149.7,150.45,2345705
2020-10-26,IBULHSGFIN,151.65,154.0,147.5,149.95,2735322
2020-10-27,IBULHSGFIN,151.0,151.6,145.15,147.9,1498286
2020-10-28,IBULHSGFIN,148.55,148.65,141.25,143.3,3458176
2020-10-29,IBULHSGFIN,141.45,142.3,137.0,139.95,2509310
2020-10-30,IBULHSGFIN,141.1,144.4,137.8,140.0,3440818
2020-11-02,IBULHSGFIN,141.5,142.65,138.0,140.3,1607163
2020-11-03,IBULHSGFIN,141.5,145.9,141.0,142.25,2317684
2020-11-04,IBULHSGFIN,142.2,144.85,139.1,141.65,1535831
2020-11-05,IBULHSGFIN,143.5,145.8,142.2,144.65,2401327
2020-11-06,IBULHSGFIN,144.95,155.5,144.0,152.35,3975498
2020-11-09,IBULHSGFIN,154.75,155.9,150.7,153.4,1367514
2020-11-10,IBULHSGFIN,153.5,160.3,152.75,157.8,3185141
2020-11-11,IBULHSGFIN,158.85,165.5,157.3,159.45,3475358
2020-11-12,IBULHSGFIN,159.95,175.35,157.5,171.05,6819882
2020-11-13,IBULHSGFIN,172.05,184.0,172.05,182.2,6235744
2020-11-14,IBULHSGFIN,184.0,189.85,180.55,184.6,2001035
2020-11-17,IBULHSGFIN,183.55,185.75,175.2,180.55,3022277
2020-11-18,IBULHSGFIN,173.5,182.9,172.85,181.8,2912321
2020-11-19,IBULHSGFIN,180.0,184.8,175.5,176.8,2235872
2020-11-20,IBULHSGFIN,176.95,179.0,173.65,174.75,1888759
2020-11-23,IBULHSGFIN,178.1,180.05,176.2,177.85,1434929
2020-11-24,IBULHSGFIN,178.0,183.95,176.0,181.7,3171001
2020-11-25,IBULHSGFIN,184.0,195.9,183.7,185.35,7226324
2020-11-26,IBULHSGFIN,186.4,187.75,181.3,185.7,3068420
2020-11-27,IBULHSGFIN,187.1,192.2,180.6,187.05,5446348
