Date,Symbol,Open,High,Low,Close,Volume,Deliverable Volume
2021-08-23,ICICIGI,1473.0,1489.95,1460.05,1485.9,500489,321667
2021-08-24,ICICIGI,1495.0,1503.9,1451.05,1465.25,685910,413193
2021-08-25,ICICIGI,1464.0,1480.8,1459.65,1464.45,328010,192866
2021-08-26,ICICIGI,1461.1,1485.0,1448.0,1471.15,777720,392161
2021-08-27,ICICIGI,1482.85,1567.8,1477.8,1557.7,2896418,796262
2021-08-30,ICICIGI,1569.0,1600.0,1565.0,1585.15,1217030,660212
2021-08-31,ICICIGI,1585.0,1601.65,1568.65,1594.6,714442,462281
2021-09-01,ICICIGI,1600.0,1653.8,1600.0,1633.45,955812,406690
2021-09-02,ICICIGI,1610.05,1657.3,1601.9,1628.9,764801,378598
2021-09-03,ICICIGI,1629.0,1645.0,1615.3,1629.75,478721,269817
2021-09-06,ICICIGI,1645.35,1645.35,1560.55,1563.35,1124382,436781
2021-09-07,ICICIGI,1565.35,1598.0,1559.5,1589.7,1089883,666264
2021-09-08,ICICIGI,1589.7,1617.25,1581.1,1610.75,752222,444755
2021-09-09,ICICIGI,1618.0,1626.45,1604.0,1621.65,370982,188019
2021-09-13,ICICIGI,1623.0,1651.9,1610.4,1636.85,621503,383084
2021-09-14,ICICIGI,1624.95,1629.6,1578.7,1614.7,1148377,701558
2021-09-15,ICICIGI,1606.5,1628.7,1594.95,1611.0,773385,503200
2021-09-16,ICICIGI,1624.0,1628.75,1605.3,1616.25,513071,317363
2021-09-17,ICICIGI,1614.9,1621.6,1600.0,1603.95,650250,473550
2021-09-20,ICICIGI,1589.4,1657.0,1582.0,1628.15,1223575,543864
2021-09-21,ICICIGI,1624.0,1642.0,1605.2,1638.05,528009,320134
2021-09-22,ICICIGI,1640.9,1675.0,1618.0,1627.7,776299,283182
2021-09-23,ICICIGI,1629.95,1637.0,1570.05,1576.75,1539115,851337
2021-09-24,ICICIGI,1583.0,1604.85,1578.0,1587.15,976417,491375
2021-09-27,ICICIGI,1590.25,1596.0,1551.75,1567.25,856495,374656
2021-09-28,ICICIGI,1566.0,1569.95,1546.0,1562.45,509543,239229
2021-09-29,ICICIGI,1540.05,1605.05,1540.05,1600.4,779976,430019
2021-09-30,ICICIGI,1599.15,1623.55,1583.0,1589.5,733253,476361
2021-10-01,ICICIGI,1589.0,1628.0,1561.3,1582.55,953316,450129
2021-10-04,ICICIGI,1592.0,1606.95,1567.95,1576.75,387636,176326
2021-10-05,ICICIGI,1542.25,1588.0,1541.55,1548.7,3686947,1283814
2021-10-06,ICICIGI,1559.0,1560.95,1544.5,1553.5,1113928,821218
2021-10-07,ICICIGI,1561.7,1566.9,1536.0,1548.55,576382,330375
2021-10-08,ICICIGI,1551.0,1554.0,1520.5,1529.4,1293018,971342
2021-10-11,ICICIGI,1532.8,1543.45,1517.35,1536.6,731875,492573
2021-10-12,ICICIGI,1536.0,1546.6,1520.1,1532.95,635193,449098
2021-10-13,ICICIGI,1533.55,1542.1,1513.9,1520.35,847206,614075
2021-10-14,ICICIGI,1524.0,1529.0,1514.0,1520.25,423838,272881
2021-10-18,ICICIGI,1539.7,1540.0,1518.0,1519.45,516940,341867
2021-10-19,ICICIGI,1525.4,1544.6,1515.45,1529.2,674830,453817
2021-10-20,ICICIGI,1532.0,1535.0,1496.6,1504.4,844842,439743
2021-10-21,ICICIGI,1518.0,1526.7,1485.0,1505.4,553982,345447
2021-10-22,ICICIGI,1512.75,1530.7,1491.45,1500.55,941101,608095
2021-10-25,ICICIGI,1508.4,1508.4,1475.55,1496.95,373740,182987
2021-10-26,ICICIGI,1496.95,1518.9,1493.4,1505.75,398883,268080
2021-10-27,ICICIGI,1505.0,1525.95,1494.95,1500.4,874605,683528
2021-10-28,ICICIGI,1501.95,1520.0,1460.25,1471.8,449386,242294
2021-10-29,ICICIGI,1472.0,1496.95,1435.15,1481.55,358571,191353
2021-11-01,ICICIGI,1489.0,1521.9,1478.05,1517.75,517466,349723
2021-11-02,ICICIGI,1528.0,1534.15,1503.25,1508.4,714887,507885
2021-11-03,ICICIGI,1514.8,1531.95,1509.0,1528.3,388656,266994
2021-11-04,ICICIGI,1529.0,1538.0,1524.3,1528.65,31674,18497
2021-11-08,ICICIGI,1534.0,1537.95,1505.05,1510.85,773438,554731
2021-11-09,ICICIGI,1511.0,1520.0,1505.05,1508.9,332602,231314
2021-11-10,ICICIGI,1503.95,1545.0,1500.0,1527.4,1104358,652523
2021-11-11,ICICIGI,1527.0,1534.0,1501.1,1507.8,554680,390262
2021-11-12,ICICIGI,1519.0,1524.6,1503.0,1510.25,286747,157592
2021-11-15,ICICIGI,1517.0,1542.0,1502.6,1536.55,446822,270831
2021-11-16,ICICIGI,1543.75,1548.25,1515.25,1520.0,265077,150459
2021-11-17,ICICIGI,1511.7,1531.0,1510.8,1529.0,566753,439518
2021-11-18,ICICIGI,1529.0,1535.75,1490.5,1512.35,598304,412841
2021-11-22,ICICIGI,1512.0,1519.9,1457.0,1462.35,774628,522080
2021-11-23,ICICIGI,1449.9,1473.1,1419.0,1458.5,583697,354122
2021-11-24,ICICIGI,1460.0,1522.0,1460.0,1487.9,1355957,722534
2021-11-25,ICICIGI,1494.0,1509.1,1470.85,1492.95,926456,728514
2021-11-26,ICICIGI,1490.0,1495.0,1448.1,1453.65,870438,594703
2021-11-29,ICICIGI,1440.0,1459.4,1419.0,1434.25,552009,353005
2021-11-30,ICICIGI,1434.35,1454.3,1425.15,1437.35,1428578,1150660
2021-12-01,ICICIGI,1446.0,1449.8,1433.55,1440.5,397870,227891
2021-12-02,ICICIGI,1440.0,1472.45,1437.0,1463.7,515144,378178
2021-12-03,ICICIGI,1475.6,1486.4,1434.0,1449.4,1149769,844387
2021-12-06,ICICIGI,1450.05,1463.6,1411.0,1419.4,542372,352368
2021-12-07,ICICIGI,1425.0,1440.0,1404.95,1416.35,873771,602227
2021-12-08,ICICIGI,1434.05,1450.0,1420.5,1445.0,774617,440072
2021-12-09,ICICIGI,1445.0,1451.35,1427.65,1437.6,329879,169909
2021-12-10,ICICIGI,1443.3,1446.45,1432.4,1439.9,343809,238195
2021-12-13,ICICIGI,1441.0,1445.0,1418.0,1420.95,675222,525656
2021-12-14,ICICIGI,1423.6,1438.95,1406.9,1434.95,496630,352174
2021-12-15,ICICIGI,1430.1,1432.0,1393.9,1400.5,704620,491694
2021-12-16,ICICIGI,1407.0,1418.35,1380.3,1408.45,658200,434137
2021-12-17,ICICIGI,1407.2,1412.0,1351.0,1358.75,1499248,1013057
2021-12-20,ICICIGI,1350.0,1357.05,1315.0,1351.4,652830,378937
2021-12-21,ICICIGI,1357.0,1387.1,1351.4,1369.6,861852,644541
2021-12-22,ICICIGI,1365.9,1383.0,1342.45,1345.2,539391,352235
2021-12-23,ICICIGI,1348.0,1365.95,1343.85,1353.85,510565,323938
2021-12-24,ICICIGI,1360.0,1361.5,1335.1,1340.35,234118,118214
2021-12-27,ICICIGI,1338.0,1353.2,1327.5,1346.65,265507,156063
2021-12-28,ICICIGI,1351.65,1404.0,1349.7,1389.3,792097,538448
2021-12-29,ICICIGI,1397.15,1407.25,1375.45,1380.2,595610,300249
2021-12-30,ICICIGI,1378.85,1379.9,1358.95,1373.85,373434,218467
2021-12-31,ICICIGI,1373.85,1406.95,1372.75,1401.25,343301,207569
2022-01-03,ICICIGI,1402.0,1431.3,1398.25,1409.8,295484,176388
2022-01-04,ICICIGI,1417.0,1438.0,1415.0,1423.6,390918,212005
2022-01-05,ICICIGI,1429.9,1456.2,1425.5,1449.55,344446,208026
2022-01-06,ICICIGI,1430.25,1459.0,1430.25,1448.95,312701,213818
2022-01-07,ICICIGI,1441.0,1464.9,1439.6,1446.55,334076,167327
2022-01-10,ICICIGI,1460.95,1472.0,1435.0,1444.8,302135,137220
2022-01-11,ICICIGI,1435.0,1449.8,1418.5,1426.55,679549,530698
2022-01-12,ICICIGI,1429.9,1434.0,1414.0,1427.1,344002,174658
2022-01-13,ICICIGI,1428.3,1446.35,1408.15,1410.0,730701,533224
2022-01-14,ICICIGI,1402.5,1427.75,1401.55,1415.55,357396,226324
2022-01-17,ICICIGI,1415.55,1464.3,1415.55,1432.35,491451,236278
2022-01-18,ICICIGI,1460.0,1465.0,1414.45,1447.6,1692259,1176778
2022-01-19,ICICIGI,1455.9,1455.9,1412.1,1423.0,452596,226236
2022-01-20,ICICIGI,1394.0,1394.0,1318.1,1386.4,2296373,1012362
2022-01-21,ICICIGI,1360.1,1399.1,1356.0,1381.65,536891,271198
2022-01-24,ICICIGI,1378.0,1379.4,1325.55,1331.0,763104,545259
2022-01-25,ICICIGI,1331.0,1355.45,1305.0,1346.15,1105736,595615
2022-01-27,ICICIGI,1333.9,1389.95,1318.05,1373.2,809958,459187
2022-01-28,ICICIGI,1366.0,1415.8,1366.0,1373.2,506536,216285
2022-01-31,ICICIGI,1383.0,1397.4,1361.0,1369.1,1035056,733802
2022-02-01,ICICIGI,1374.0,1402.85,1365.7,1369.15,857386,498056
2022-02-02,ICICIGI,1370.0,1397.55,1370.0,1383.95,410524,292819
2022-02-03,ICICIGI,1383.0,1391.0,1366.7,1384.4,316535,229601
2022-02-04,ICICIGI,1387.0,1391.3,1353.0,1364.85,660886,553858
2022-02-07,ICICIGI,1360.1,1372.45,1326.1,1337.0,972861,733908
2022-02-08,ICICIGI,1337.0,1388.7,1336.95,1366.2,1016198,452841
2022-02-09,ICICIGI,1373.95,1378.2,1351.0,1366.85,604378,407826
2022-02-10,ICICIGI,1366.2,1366.2,1338.1,1344.25,579032,393978
