Date,Open,High,Low,Close,Volume,Deliverable Volume,DeliverablePct,ADL,OBV
2020-08-30,199.0,215.7,191.05,202.6,1897360,578400,30.484462621748115,-1.916872903193102,30.484462621748115
2020-09-06,199.85,199.85,162.6,179.4,329243,170907,51.909076274970154,-7.00326561201565,-21.42461365322204
2020-09-13,179.85,189.45,172.0,177.75,561825,154344,27.47189961286878,-16.370474935601266,-48.89651326609082
2020-09-20,179.4,193.75,178.05,179.65,352564,161996,45.94796973031847,-52.95325338330708,-2.9485435357723517
2020-09-27,180.05,180.05,160.65,167.15,179175,90730,50.6376447607088,-69.65845577859247,-53.586188296481154
2020-10-04,169.7,178.1,168.2,170.3,103636,47111,45.45814195839284,-95.83132539100026,-8.128046338088318
2020-10-11,172.45,174.05,163.6,164.15,161007,82440,51.20274273789338,-141.6443057354311,-59.3307890759817
2020-10-18,166.95,166.95,155.75,156.65,104487,62843,60.14432417429919,-192.12257781028927,-119.47511325028088
2020-10-25,159.4,164.6,156.75,162.85,143499,68792,47.93901002794445,-165.5576486865239,-71.53610322233644
2020-11-01,164.4,164.4,153.65,159.0,83854,45979,54.83220836215327,-165.81268221378977,-126.3683115844897
2020-11-08,159.65,164.4,153.1,160.05,137750,63873,46.36878402903811,-155.14375845489596,-79.99952755545159
2020-11-15,160.55,167.1,157.85,165.1,158275,84490,53.381772231874905,-124.8459958368048,-26.617755323576688
2020-11-22,166.05,189.95,159.3,181.4,1085175,302982,27.92010505218052,-112.50284988388321,1.3023497286038328
2020-11-29,178.2,184.65,174.65,177.25,237516,122838,51.717779012782295,-137.32738381001877,-50.41542928417846
2020-12-06,177.55,187.7,176.85,182.5,259733,135474,52.1589478425922,-135.1641094755333,1.74351855841374
2020-12-13,183.9,196.7,182.0,192.35,652455,314906,48.26478454452798,-115.46419741654228,50.00830310294172
2020-12-20,195.4,203.0,187.5,188.6,388744,201771,51.90330911859733,-160.00058524088712,-1.8950060156556106
2020-12-27,188.65,191.7,168.55,184.0,177289,96052,54.17820620568676,-141.86317279621875,-56.073212221342374
2021-01-03,186.4,201.65,185.0,191.7,548472,211280,38.52156536705611,-149.3823972672658,-17.55164685428626
2021-01-10,193.05,219.5,191.2,210.1,1439469,502959,34.940592676882936,-137.65322304711074,17.388945822596675
2021-01-17,210.85,218.4,204.05,205.6,526813,235183,44.642596139427084,-172.65177402749794,-27.25365031683041
2021-01-24,207.0,210.0,194.05,196.45,262401,144216,54.96015640184299,-211.07219684132562,-82.2138067186734
2021-01-31,196.5,200.9,185.15,192.95,202139,72902,36.06528181103103,-211.41567571571647,-118.27908852970442
2021-02-07,192.0,206.4,189.1,197.55,422258,145199,34.38632305367808,-212.21073520828702,-83.89276547602634
2021-02-14,199.0,202.95,188.0,189.55,237369,119320,50.26772661973552,-252.0550536326258,-134.16049209576187
2021-02-21,191.7,194.5,182.85,184.4,292453,110692,37.84950060351578,-279.83301330301714,-172.00999269927763
2021-02-28,185.65,197.0,180.5,188.1,343299,121505,35.393345159758695,-282.62157989136176,-136.61664753951894
2021-03-07,188.8,202.95,186.5,195.9,396743,190751,48.07923517239119,-275.7531177238772,-88.53741236712774
2021-03-14,197.0,208.0,188.5,190.3,460146,199956,43.454903443689616,-311.1855774548856,-131.99231581081736
2021-03-21,193.2,194.5,172.75,181.15,336481,107122,31.83597290783135,-318.4310057718403,-163.8282887186487
2021-03-28,180.25,183.75,168.0,168.45,278282,102637,36.88237111994308,-353.2058128277867,-200.7106598385918
2021-04-04,171.1,181.35,168.15,179.15,129058,60263,46.694509445365654,-322.07613986420955,-154.01615039322616
2021-04-11,179.45,195.25,172.0,186.45,504232,152171,30.17876691681607,-314.7423750005532,-123.83738347641008
2021-04-18,183.0,183.0,169.2,171.75,145558,73264,50.333200511136454,-346.4741753227913,-174.17058398754654
2021-04-25,170.0,171.5,165.9,168.8,104708,52028,49.688657982198116,-344.6995803948555,-223.85924196974466
2021-05-02,170.0,175.7,170.0,171.8,135840,65089,47.91593050647821,-362.35281794987355,-175.94331146326644
