Date,Open,High,Low,Close,Volume,Deliverable Volume,DeliverablePct
2020-08-30,255.15,331.2,254.3,307.85,1327449,219707,16.551069005287587
2020-09-06,310.5,310.5,254.0,261.8,265740,97009,36.505230676601194
2020-09-13,261.95,278.0,257.05,260.55,72815,30657,42.102588752317516
2020-09-20,262.7,317.0,258.1,301.3,840358,123375,14.681242994057294
2020-09-27,296.2,304.8,260.2,277.0,132927,48533,36.51101732529885
2020-10-04,278.4,293.8,276.65,290.9,69033,39587,57.34503788043399
2020-10-11,288.0,297.35,282.85,291.5,54524,28042,51.43056268799061
2020-10-18,294.95,295.55,280.05,289.7,48001,25102,52.29474385950292
2020-10-25,297.35,297.35,283.1,288.2,39284,17495,44.534670603808166
2020-11-01,289.65,294.55,282.15,287.7,31126,18362,58.99248216924757
2020-11-08,288.0,308.9,275.4,295.4,80246,42853,53.402038730902476
2020-11-15,303.0,304.5,286.0,298.45,92523,58313,63.025409898079396
2020-11-22,298.0,302.45,290.35,295.05,50004,37322,74.63802895768339
2020-11-29,295.0,300.5,292.15,296.2,109149,49761,45.589973339196874
2020-12-06,295.2,359.0,294.9,356.65,791081,93820,11.859721065225939
2020-12-13,361.8,423.8,316.7,319.55,1264326,229361,18.140969971352323
2020-12-20,328.0,363.0,306.0,335.95,965207,184826,19.148845791628116
2020-12-27,334.5,343.0,303.8,322.45,245243,92971,37.90974665943575
2021-01-03,324.1,347.7,311.5,333.6,673587,126478,18.77678755676698
2021-01-10,337.85,346.85,325.0,330.3,303426,90320,29.76673060317837
2021-01-17,335.9,338.0,320.0,321.8,126834,55048,43.40161155526121
2021-01-24,322.5,327.0,316.05,316.4,69311,31611,45.60747933228492
2021-01-31,316.4,333.95,308.0,327.85,82418,45326,54.99526802397534
2021-02-07,335.0,365.0,325.3,341.75,286763,162261,56.583659677155005
2021-02-14,341.7,343.7,320.25,322.3,198005,116527,58.85053407742229
2021-02-21,324.05,329.5,314.6,324.05,187873,93124,49.56752699962209
2021-02-28,325.7,346.75,304.0,339.4,217666,119333,54.82390451425579
2021-03-07,339.5,341.8,322.55,326.15,150440,98379,65.39417708056368
2021-03-14,327.0,350.5,323.05,336.3,97150,50385,51.863098301595464
2021-03-21,339.0,382.0,318.3,325.65,846724,211882,25.023738549987957
2021-03-28,328.3,333.3,315.0,316.3,96937,55761,57.52292726203617
2021-04-04,318.25,319.0,309.0,317.15,53505,34390,64.27436688159986
2021-04-11,317.1,330.3,305.0,323.65,77629,45562,58.69198366589805
2021-04-18,318.05,325.0,306.0,315.05,70766,46279,65.3972246559082
2021-04-25,316.65,322.3,300.0,310.3,42784,25731,60.14164173522813
2021-05-02,315.0,315.8,300.15,303.95,48230,30786,63.83164005805515
2021-05-09,301.25,313.0,300.35,303.45,79870,60516,75.76812320020032
2021-05-16,305.0,307.6,298.5,299.8,71615,38733,54.08503805068771
2021-05-23,302.0,308.9,300.0,302.95,112257,81552,72.64758545124135
2021-05-30,307.0,330.0,302.0,311.75,1347189,825541,61.27878122520299
2021-06-06,311.0,415.0,310.0,392.9,3868793,1252681,32.37911669091626
2021-06-13,392.9,416.7,355.0,400.5,1810885,669630,36.97805216786267
2021-06-20,403.9,409.0,353.05,357.15,612784,298393,48.694646074310036
2021-06-27,350.0,369.9,340.0,354.4,338017,173497,51.32789179242464
2021-07-04,359.0,365.4,349.05,355.05,217437,97079,44.64695521001485
2021-07-11,359.95,359.95,335.55,339.05,237605,143487,60.38888070537236
2021-07-18,347.4,349.75,339.0,341.9,290217,204326,70.40455934697141
2021-07-25,339.0,360.0,337.05,348.2,464630,280875,60.45132686223447
2021-08-01,348.5,353.9,335.35,338.65,264537,190785,72.12034611415416
2021-08-08,342.0,389.0,330.9,373.05,1623656,752248,46.33050350566869
2021-08-15,373.8,383.0,336.25,372.95,983873,407010,41.36814405924342
2021-08-22,370.0,371.0,293.7,296.25,2504288,1234679,49.30259618702003
2021-08-29,294.0,294.9,282.15,288.2,1697681,1057782,62.30746530119616
2021-09-05,289.8,305.6,284.15,290.0,1017708,627596,61.66759031077677
2021-09-12,290.0,307.0,290.0,301.8,464596,216873,46.679911148610834
2021-09-19,306.9,309.4,290.05,290.8,648632,371274,57.23954414829981
2021-09-26,291.0,299.65,274.9,289.95,686854,407371,59.30969318079242
2021-10-03,291.4,293.5,280.0,282.75,644625,445850,69.16424277680822
2021-10-10,283.0,294.0,278.6,289.5,534034,350788,65.68645442050506
2021-10-17,290.95,293.7,282.45,284.15,322054,217338,67.48495593906611
2021-10-24,284.2,292.9,275.0,276.85,411149,269278,65.494017983748
2021-10-31,279.6,279.6,265.0,267.25,204346,114258,55.91398901862527
2021-11-07,268.85,278.35,262.1,272.35,162820,88904,54.60262866969659
2021-11-14,273.75,301.4,268.05,273.5,964811,335952,34.82049852250855
2021-11-21,272.1,274.6,254.65,257.35,310211,201140,64.83973811373549
2021-11-28,268.35,268.35,250.15,251.8,278323,160619,57.70956766059578
2021-12-05,250.0,262.9,240.1,251.05,331151,182514,55.115038154799464
2021-12-12,248.0,276.0,238.0,273.05,689073,287482,41.72010802919284
2021-12-19,273.05,273.05,245.0,248.45,383987,178302,46.43438449739184
2021-12-26,248.0,248.0,230.8,233.3,244958,148370,60.569567027817016
2022-01-02,235.25,243.95,228.45,239.9,182512,112643,61.718133602174106
2022-01-09,239.9,251.8,239.9,242.15,143780,79126,55.032688830157184
