Date,Open,High,Low,Close,Volume,Deliverable Volume,DeliverablePct
2020-08-30,74.4,77.9,73.65,77.35,4165677,3335511,80.07128253102677
2020-09-06,77.8,80.0,74.5,77.45,6525463,5380444,82.45306118508373
2020-09-13,77.35,80.9,75.6,80.05,3737191,2530173,67.70253380145677
2020-09-20,79.0,83.95,75.9,76.9,12417794,9193499,74.03488091363087
2020-09-27,78.0,80.2,70.5,73.2,3201095,2114180,66.045525046898
2020-10-04,73.5,76.1,72.95,75.1,1890293,1120304,59.266156093261735
2020-10-11,76.5,94.0,76.0,87.95,8598959,4789181,55.694892835283895
2020-10-18,89.05,89.9,85.5,86.7,6947871,3167493,45.58940429377575
2020-10-25,87.0,88.0,80.85,84.05,2676167,1702870,63.63093185141287
2020-11-01,84.0,85.5,81.3,83.8,4512683,2191646,48.56636284888613
2020-11-08,81.2,84.65,81.2,84.2,2941408,2070129,70.37884577726041
2020-11-15,83.55,87.5,80.4,82.2,7217796,4920899,68.17730786517103
2020-11-22,82.05,83.5,79.8,82.25,6374393,5131511,80.50195524499352
2020-11-29,82.8,86.15,77.2,78.75,10520969,7711236,73.29397130625516
2020-12-06,86.0,97.0,82.1,92.15,22798214,14633308,64.18620335785953
2020-12-13,92.95,95.7,87.9,88.85,8400450,5349086,63.676184013951634
2020-12-20,,,,,0,0,
2020-12-27,87.0,93.0,84.8,86.2,497533,369163,74.19869636787911
2021-01-03,87.95,88.9,83.25,86.15,1525081,818018,53.637675638212
2021-01-10,86.9,87.7,79.8,81.45,3085757,2084191,67.54229189142242
2021-01-17,82.4,97.0,80.5,82.6,5092798,2013595,39.538088885520295
2021-01-24,83.1,85.9,80.25,80.4,2568269,1142458,44.48358018572042
2021-01-31,80.5,81.0,74.0,76.05,2811779,2178978,77.4946395146987
2021-02-07,78.45,84.0,74.45,82.75,4673467,2550445,54.572868493561636
2021-02-14,83.95,94.75,81.8,91.35,16178312,6709497,41.47216965527677
2021-02-21,92.75,92.75,87.55,89.1,5286834,3052621,57.740057660217815
2021-02-28,89.95,92.75,86.7,91.75,4690108,2916299,62.179783493258576
2021-03-07,101.0,107.0,92.3,96.85,29104317,20066821,68.94791930695368
2021-03-14,97.35,113.7,94.25,98.4,40405017,32527225,80.50293605865826
2021-03-21,99.85,111.8,42.25,43.95,153056730,112517218,73.51340774103824
2021-03-28,43.2,48.0,40.5,47.15,59758392,36173136,60.532311511996504
2021-04-04,47.65,48.75,46.0,47.6,17869850,12448097,69.65977330531594
2021-04-11,47.9,48.2,44.1,44.75,13170531,7543851,57.27826007926332
2021-04-18,44.3,44.4,41.0,42.35,9841134,4397495,44.684840182035934
2021-04-25,42.0,42.0,40.0,40.45,3301161,1721177,52.13853550311542
2021-05-02,40.5,41.45,38.9,39.3,6372544,3294231,51.694127180604795
2021-05-09,39.3,40.8,36.7,39.6,8075562,4189760,51.881961899369976
2021-05-16,40.35,44.9,38.7,42.8,14421077,7572287,52.50847076123372
2021-05-23,43.0,43.4,39.9,41.25,10051352,5651042,56.221710273404014
2021-05-30,41.5,46.75,39.85,45.55,46780621,16606459,35.49858604912492
2021-06-06,46.95,54.5,46.95,49.9,146886861,46586010,31.71557325334905
2021-06-13,50.4,52.95,48.05,51.5,40410103,26722806,66.12902223980969
2021-06-20,52.0,52.0,48.8,50.45,33626539,19164152,56.991152137304404
2021-06-27,49.5,58.4,49.15,54.65,107288356,42419516,39.53785627957613
2021-07-04,54.95,55.35,50.4,50.65,31034990,18475506,59.53121299539649
2021-07-11,50.85,56.1,50.0,50.9,47367134,22968112,48.48955395950281
2021-07-18,51.4,52.4,48.9,50.0,38393339,20458986,53.28785287468746
2021-07-25,49.75,52.6,44.6,45.0,51610618,26903921,52.12865499886089
2021-08-01,45.05,46.6,43.8,44.05,30024388,14416437,48.01575639110446
2021-08-08,44.65,45.45,41.2,44.4,33460280,15226424,45.5059670749916
2021-08-15,44.55,45.7,41.0,43.15,16486364,8548323,51.850868996948016
2021-08-22,43.5,43.5,40.0,42.45,11817104,6132057,51.89136864666673
2021-08-29,42.75,43.5,39.5,40.15,10940463,5570400,50.91557825294962
2021-09-05,40.5,48.5,39.75,45.5,69825544,21483308,30.7671186922654
2021-09-12,45.45,46.7,43.0,44.8,12916617,6062036,46.93207207429004
2021-09-19,44.9,47.0,42.0,42.15,21601449,11425647,52.89296565244304
2021-09-26,41.95,43.8,40.95,43.0,18544638,10621719,57.27649685046426
2021-10-03,43.05,44.0,41.25,41.75,22488930,13889531,61.761635613610785
2021-10-10,42.0,48.4,41.9,45.95,53441334,20643740,38.628788719982175
2021-10-17,46.5,53.0,45.3,51.7,73497255,32872305,44.72589486505312
2021-10-24,51.35,53.0,44.5,45.2,33623460,16819724,50.02377506657554
2021-10-31,45.75,47.55,44.45,45.3,35400457,14927418,42.167303094420504
2021-11-07,45.65,46.85,44.6,45.55,11748481,4573901,38.93184999831042
2021-11-14,45.95,46.15,43.6,44.4,11871589,5766500,48.57395248437256
2021-11-21,44.7,44.75,42.4,42.75,7748726,3945491,50.9179315412624
2021-11-28,42.5,45.0,40.35,41.55,15135060,7044986,46.54746000346216
2021-12-05,41.55,41.55,38.55,40.1,11917621,5605033,47.031475493305244
2021-12-12,40.0,43.0,39.75,42.65,13006574,5437808,41.80815024771319
2021-12-19,42.95,43.15,39.65,39.85,20626507,8894232,43.12039842713068
2021-12-26,39.55,41.4,38.05,39.5,15576593,7710609,49.50125486362775
2022-01-02,39.45,41.4,39.0,40.2,9299831,4525365,48.660722974428246
2022-01-09,40.25,40.6,40.05,40.1,2749406,1674140,60.89097063147458
