Date,Symbol,Open,High,Low,Close,Volume,Deliverable Volume
2020-08-26,INTELLECT,187.6,188.25,181.45,183.0,84514,60009
2020-08-27,INTELLECT,182.5,192.15,178.05,192.15,1500005,1189967
2020-08-28,INTELLECT,201.75,201.75,194.0,201.75,963061,391101
2020-08-31,INTELLECT,209.0,211.8,191.7,191.7,333470,204766
2020-09-01,INTELLECT,182.15,190.0,182.15,187.25,510913,179958
2020-09-02,INTELLECT,187.25,188.55,181.8,185.9,168121,109722
2020-09-03,INTELLECT,187.6,195.15,185.05,191.65,928557,248595
2020-09-04,INTELLECT,182.5,190.5,182.25,187.05,287773,139291
2020-09-07,INTELLECT,183.3,190.15,183.3,186.5,93240,65138
2020-09-08,INTELLECT,185.0,192.5,185.0,186.6,193745,101873
2020-09-09,INTELLECT,183.5,186.6,181.4,185.3,116732,74934
2020-09-10,INTELLECT,188.9,194.55,186.7,189.25,244028,120294
2020-09-11,INTELLECT,188.1,196.5,185.1,194.5,260104,137318
2020-09-14,INTELLECT,199.5,204.2,196.0,204.2,431227,277740
2020-09-15,INTELLECT,209.3,209.3,199.8,205.05,447574,305818
2020-09-16,INTELLECT,205.5,209.9,200.0,208.3,185233,121240
2020-09-17,INTELLECT,208.3,218.7,207.0,215.65,722319,350282
2020-09-18,INTELLECT,218.95,223.7,210.0,213.4,353504,149545
2020-09-21,INTELLECT,217.95,218.0,202.75,208.8,290109,162508
2020-09-22,INTELLECT,210.0,210.0,198.4,207.65,247810,145732
2020-09-23,INTELLECT,211.4,215.9,201.5,202.95,157491,81356
2020-09-24,INTELLECT,202.5,206.0,195.25,199.85,191780,120176
2020-09-25,INTELLECT,204.7,206.5,201.0,205.2,117526,61844
2020-09-28,INTELLECT,209.7,210.0,204.5,205.7,103916,69956
2020-09-29,INTELLECT,210.0,215.95,206.55,212.65,499881,213690
2020-09-30,INTELLECT,213.0,223.25,213.0,223.25,412554,309547
2020-10-01,INTELLECT,234.4,234.4,230.0,234.4,354984,172234
2020-10-05,INTELLECT,239.0,246.1,235.1,246.1,345975,227468
2020-10-06,INTELLECT,256.9,256.9,247.85,249.15,479498,343928
2020-10-07,INTELLECT,244.1,247.8,236.7,236.7,418539,248287
2020-10-08,INTELLECT,235.0,244.95,225.05,230.15,495212,310665
2020-10-09,INTELLECT,235.0,241.65,232.0,239.7,441121,282895
2020-10-12,INTELLECT,241.4,241.8,229.1,231.75,112505,73694
2020-10-13,INTELLECT,232.0,235.0,229.0,229.9,111941,77762
2020-10-14,INTELLECT,230.75,238.55,219.0,234.85,177613,86486
2020-10-15,INTELLECT,239.5,246.55,237.1,239.1,490676,276654
2020-10-16,INTELLECT,240.0,244.45,233.0,236.05,110044,64320
2020-10-19,INTELLECT,236.1,243.0,236.0,236.75,111058,63522
2020-10-20,INTELLECT,236.75,241.0,236.05,239.7,91603,54476
2020-10-21,INTELLECT,239.8,246.1,236.3,237.5,137694,78407
2020-10-22,INTELLECT,238.5,249.35,233.05,248.0,398264,131161
2020-10-23,INTELLECT,248.9,259.4,243.0,245.15,621552,434274
2020-10-26,INTELLECT,247.0,248.5,234.25,236.2,157134,112667
2020-10-27,INTELLECT,238.95,238.95,230.0,235.4,146551,89440
2020-10-28,INTELLECT,240.45,245.6,231.9,234.6,207065,130496
2020-10-29,INTELLECT,236.8,240.0,231.95,238.8,162217,96707
2020-10-30,INTELLECT,240.05,246.5,235.2,238.7,586183,303882
2020-11-02,INTELLECT,247.35,247.35,236.0,238.1,245507,155925
2020-11-03,INTELLECT,240.0,242.0,232.35,234.65,134600,83761
2020-11-04,INTELLECT,235.1,238.65,229.45,232.7,226926,155217
2020-11-05,INTELLECT,235.0,241.0,233.0,240.2,308412,216774
2020-11-06,INTELLECT,240.5,241.65,237.0,238.9,152241,109021
2020-11-09,INTELLECT,239.0,242.0,235.5,239.3,288551,229814
2020-11-10,INTELLECT,240.9,247.3,227.35,240.7,278509,174536
2020-11-11,INTELLECT,239.7,247.4,238.6,244.1,288814,208961
2020-11-12,INTELLECT,245.9,256.3,244.0,256.0,581953,294894
2020-11-13,INTELLECT,259.0,265.2,249.9,252.3,225728,128017
2020-11-14,INTELLECT,257.95,258.05,252.5,256.85,83696,58921
2020-11-17,INTELLECT,252.0,263.45,252.0,258.3,504120,364514
2020-11-18,INTELLECT,260.0,266.5,258.0,262.45,287562,165975
2020-11-19,INTELLECT,260.0,270.0,258.0,261.5,267998,145203
2020-11-20,INTELLECT,261.5,264.0,254.1,257.0,118928,84817
2020-11-23,INTELLECT,258.3,265.1,256.95,262.65,266677,167937
2020-11-24,INTELLECT,264.0,270.0,261.5,265.7,212633,127913
2020-11-25,INTELLECT,265.7,270.0,263.0,263.85,254014,204971
2020-11-26,INTELLECT,264.55,277.0,262.1,276.9,406819,240234
2020-11-27,INTELLECT,278.45,282.0,268.25,272.75,351373,227672
2020-12-01,INTELLECT,272.75,282.0,272.75,280.75,239871,184936
2020-12-02,INTELLECT,279.0,290.0,277.25,287.4,324274,225476
2020-12-03,INTELLECT,287.25,292.0,283.75,285.35,254654,175274
2020-12-04,INTELLECT,286.1,292.0,281.8,290.35,213253,151607
2020-12-07,INTELLECT,293.05,296.5,288.3,290.2,230372,158110
2020-12-08,INTELLECT,292.0,294.8,283.3,288.25,182774,110238
2020-12-09,INTELLECT,288.25,292.0,273.85,286.4,136663,87416
2020-12-10,INTELLECT,284.5,288.95,280.0,283.2,121177,94826
2020-12-11,INTELLECT,284.0,287.9,282.1,286.45,106656,75003
2020-12-14,INTELLECT,286.0,300.75,286.0,300.75,535022,335438
2020-12-15,INTELLECT,308.95,315.75,295.0,315.75,675467,336153
2020-12-16,INTELLECT,313.85,330.6,308.6,318.95,545466,271901
2020-12-17,INTELLECT,319.25,324.9,303.05,305.15,345762,240551
2020-12-18,INTELLECT,308.0,308.0,289.9,295.75,285393,144836
2020-12-21,INTELLECT,298.0,310.5,281.1,295.25,615298,272285
2020-12-22,INTELLECT,292.55,304.8,280.5,298.4,339942,160597
2020-12-23,INTELLECT,303.0,313.3,299.3,310.45,385605,200258
2020-12-24,INTELLECT,313.0,316.65,302.55,304.0,158390,92793
2020-12-28,INTELLECT,306.0,313.3,306.0,307.1,135056,82276
2020-12-29,INTELLECT,311.4,322.45,303.9,319.05,433780,203432
2020-12-30,INTELLECT,322.0,330.0,315.5,316.85,388850,188681
2020-12-31,INTELLECT,319.4,322.5,313.05,315.05,166479,87651
2021-01-01,INTELLECT,316.0,317.4,308.4,309.4,123444,76744
2021-01-04,INTELLECT,314.7,318.0,306.15,315.9,238525,130467
2021-01-05,INTELLECT,314.05,331.65,312.5,328.75,638210,384844
2021-01-06,INTELLECT,333.0,342.5,321.5,324.1,729416,450227
2021-01-07,INTELLECT,326.8,340.3,326.0,340.3,560738,375000
2021-01-08,INTELLECT,350.0,357.0,346.3,348.35,600767,346219
2021-01-11,INTELLECT,353.0,364.2,340.55,344.7,429915,271313
2021-01-12,INTELLECT,344.7,352.6,332.8,336.4,249248,156755
2021-01-13,INTELLECT,338.9,343.6,319.6,321.8,283939,198928
2021-01-14,INTELLECT,322.9,333.5,314.0,324.5,340389,203068
2021-01-15,INTELLECT,327.0,340.0,324.65,334.5,432850,285799
2021-01-18,INTELLECT,336.0,338.2,318.9,324.05,216343,122671
2021-01-19,INTELLECT,323.1,334.5,318.0,326.35,219216,124641
2021-01-20,INTELLECT,329.0,335.35,324.5,329.85,233037,155979
2021-01-21,INTELLECT,333.0,335.0,325.4,330.3,239861,145262
2021-01-22,INTELLECT,327.9,335.0,313.8,317.15,375276,183686
2021-01-25,INTELLECT,320.1,329.1,311.75,325.65,277091,165549
2021-01-27,INTELLECT,326.0,327.35,316.0,317.95,127162,74776
2021-01-28,INTELLECT,317.95,331.0,313.55,325.7,235166,111603
2021-01-29,INTELLECT,328.0,334.5,322.5,328.9,180487,109588
2021-02-01,INTELLECT,329.9,345.3,323.5,344.95,401634,224689
2021-02-02,INTELLECT,349.0,362.15,348.05,362.15,717659,377913
2021-02-03,INTELLECT,380.25,380.25,380.25,380.25,206123,206121
2021-02-04,INTELLECT,399.25,399.25,399.25,399.25,271732,270731
2021-02-05,INTELLECT,421.75,459.0,385.35,450.1,2659382,923922
2021-02-08,INTELLECT,453.7,502.3,433.0,480.1,2931683,1240197
2021-02-09,INTELLECT,480.0,481.9,436.1,441.15,716667,393362
2021-02-10,INTELLECT,441.0,451.5,433.1,447.35,381153,204155
2021-02-11,INTELLECT,446.0,456.0,441.0,447.6,168009,110997
2021-02-12,INTELLECT,447.0,464.0,444.1,446.15,261605,135713
2021-02-15,INTELLECT,451.7,451.7,435.0,437.9,142451,85933
2021-02-16,INTELLECT,438.0,446.0,424.75,428.25,185603,122502
2021-02-17,INTELLECT,430.85,454.0,425.05,444.2,286245,138208
2021-02-18,INTELLECT,448.7,454.9,436.0,445.15,542662,340176
2021-02-19,INTELLECT,447.0,454.0,428.8,433.25,354006,211062
2021-02-22,INTELLECT,437.2,461.55,436.05,448.85,979622,512169
2021-02-23,INTELLECT,452.0,454.5,438.15,441.2,525970,300243
2021-02-24,INTELLECT,445.0,447.4,432.25,440.9,180012,127558
2021-02-25,INTELLECT,441.6,447.0,436.5,439.4,342536,246454
2021-02-26,INTELLECT,438.8,442.0,431.3,434.05,391375,267545
2021-03-01,INTELLECT,436.0,447.95,421.45,426.8,542258,296274
2021-03-02,INTELLECT,431.0,440.0,424.95,435.95,520084,400206
2021-03-03,INTELLECT,436.1,465.0,436.1,459.65,1061491,497997
2021-03-04,INTELLECT,460.0,492.0,454.0,479.75,1133841,588208
2021-03-05,INTELLECT,479.7,494.7,455.1,460.6,506787,297762
2021-03-08,INTELLECT,461.9,470.85,460.1,467.3,242336,115136
2021-03-09,INTELLECT,474.8,484.5,463.1,471.35,477961,227809
2021-03-10,INTELLECT,476.0,488.9,476.0,484.2,382645,178101
2021-03-12,INTELLECT,487.1,509.0,483.35,498.05,966441,498896
