Date,Open,High,Low,Close,Volume,Deliverable Volume,DeliverablePct
2020-08-30,11.7,11.75,10.75,11.05,25030000,11955399,47.76427886536156
2020-09-06,11.15,11.45,10.05,10.25,12697007,6767623,53.300931471487736
2020-09-13,10.15,11.05,10.0,10.2,12478429,4982666,39.93023480760278
2020-09-20,10.2,10.45,10.0,10.05,7285723,4068071,55.83620184297426
2020-09-27,10.1,10.1,8.75,9.4,10772569,5904736,54.81270066592286
2020-10-04,9.5,9.7,9.1,9.3,3704030,2140173,57.77958061894747
2020-10-11,9.35,9.5,9.1,9.25,4245253,2350877,55.37660535190718
2020-10-18,9.3,9.4,8.5,9.0,4350212,2519171,57.90915477222719
2020-10-25,9.1,9.5,9.0,9.3,5578971,2684042,48.1099830058267
2020-11-01,9.3,9.45,9.05,9.15,3879218,2191313,56.48852423349242
2020-11-08,9.25,10.4,9.15,9.65,16959159,6475350,38.182023059044376
2020-11-15,9.9,9.9,9.25,9.45,9467483,4751863,50.1914077902226
2020-11-22,9.5,9.85,9.35,9.6,9796718,4139999,42.25904022142926
2020-11-29,9.8,12.15,9.6,10.95,56770331,25099337,44.212067391328056
2020-12-06,11.05,11.25,10.65,11.0,15908404,8361492,52.560219114375016
2020-12-13,11.1,12.0,11.05,11.5,33396960,17408831,52.12699299576967
2020-12-20,11.6,11.7,10.85,10.95,12741182,6202439,48.6802480335027
2020-12-27,10.9,10.95,9.85,10.6,12807680,5099223,39.813791412652414
2021-01-03,10.6,10.85,10.4,10.8,10815676,4477053,41.39411165793058
2021-01-10,11.05,11.45,10.9,11.1,20829033,9629780,46.232487125062406
2021-01-17,11.1,11.7,10.9,11.1,23231800,9549860,41.106844928072725
2021-01-24,11.1,11.25,10.75,10.8,12319514,5127136,41.61800538560206
2021-01-31,10.95,10.95,10.2,10.7,8221382,3343769,40.67161701037612
2021-02-07,11.0,12.25,10.8,11.45,46406907,19129697,41.22165909484121
2021-02-14,11.6,12.25,11.0,11.1,53560354,13328837,24.885640225604185
2021-02-21,11.1,20.65,10.95,17.6,429463079,114075649,26.562387916005232
2021-02-28,17.15,18.95,15.3,17.9,199333316,57221445,28.70641303132689
2021-03-07,18.9,18.9,15.9,16.0,51470873,23264753,45.19984147150564
2021-03-14,17.4,18.85,16.9,17.15,61256564,24153716,39.43041271462761
2021-03-21,17.8,17.85,14.5,15.6,47449790,19848064,41.82961399829167
2021-03-28,15.85,18.0,14.9,16.05,74722203,24134085,32.298412026208595
2021-04-04,16.05,17.6,15.7,16.95,35512063,9067518,25.533627826690893
2021-04-11,16.85,18.45,15.95,17.9,82077717,24147047,29.419735200480783
2021-04-18,17.2,18.5,15.5,16.95,179627046,32290361,17.976335813037867
2021-04-25,16.0,16.75,15.7,15.9,57463329,12330187,21.457488131256717
2021-05-02,16.0,16.25,12.8,15.7,34261256,10534540,30.747676033826664
2021-05-09,15.6,16.45,15.35,15.85,46866289,11663415,24.886576788702
2021-05-16,16.1,17.2,15.7,16.15,67500305,17099290,25.3321670176157
2021-05-23,16.25,18.35,16.05,16.9,89750100,23353493,26.020576021642317
2021-05-30,17.1,17.3,16.45,16.85,34670650,12924161,37.27695038887359
2021-06-06,16.95,20.1,16.45,19.25,165589563,41352265,24.972748433426325
2021-06-13,20.0,23.4,19.8,20.7,275125511,65891691,23.949684186138594
2021-06-20,20.85,21.9,19.2,19.7,76851670,25136723,32.70810250447388
2021-06-27,19.5,27.4,19.05,24.8,263634577,83368788,31.622858028975465
2021-07-04,25.3,29.0,24.85,27.45,249271976,65347774,26.215451511484787
2021-07-11,27.8,28.1,25.85,26.15,74687657,22036135,29.504386514628518
2021-07-18,26.35,27.2,24.9,25.25,58674909,16267641,27.725038312373012
2021-07-25,24.95,26.3,23.15,25.75,69204486,19715716,28.48907222575138
2021-08-01,25.75,25.75,24.1,24.45,38769860,11171324,28.814455352688917
2021-08-08,24.65,24.75,21.55,21.7,58902265,20060728,34.05765126349555
2021-08-15,21.85,21.95,18.85,21.0,60026270,16943089,28.22612332900245
2021-08-22,20.95,21.0,19.35,19.55,24472514,6743390,27.554954100751562
2021-08-29,19.7,19.95,18.75,19.55,25875199,7317164,28.278677199738638
2021-09-05,19.9,20.45,19.5,19.75,25109636,9177005,36.54774207001646
2021-09-12,19.85,20.2,19.55,19.7,12662268,3950898,31.202135352055414
2021-09-19,19.9,23.55,19.5,21.85,76216986,22504724,29.527176527290123
2021-09-26,21.4,21.4,20.2,20.4,23904150,7634634,31.93852950219941
2021-10-03,20.65,24.5,20.0,22.5,114447183,24995723,21.840400388011297
2021-10-10,22.8,23.1,21.85,22.45,33421995,11123991,33.2834440313931
2021-10-17,22.6,23.6,22.1,22.7,48154300,16833421,34.95725407699832
2021-10-24,22.85,23.4,21.15,21.65,48175164,14683241,30.478860435223424
2021-10-31,21.85,23.1,20.8,21.25,60057593,13601422,22.647297902864672
2021-11-07,21.35,21.7,21.1,21.35,13394727,4097783,30.592508529662453
2021-11-14,21.35,21.9,21.15,21.3,21297016,6981268,32.780498451050605
2021-11-21,21.3,21.45,20.55,20.65,10341886,3780630,36.55648495835286
2021-11-28,20.25,23.3,19.45,21.55,80861871,17750703,21.951882612263574
2021-12-05,21.5,21.5,20.6,21.1,22204098,6765047,30.46756053769894
2021-12-12,21.2,23.3,20.55,22.85,32745095,10938244,33.40422130398461
2021-12-19,23.4,23.4,20.55,20.7,28216421,9733835,34.49705758217883
2021-12-26,20.4,21.85,19.6,20.8,31481531,8188470,26.01039320482857
2022-01-02,20.65,20.85,20.15,20.35,22007801,5166597,23.476207368469026
2022-01-09,20.4,20.85,20.4,20.55,5005738,1483700,29.639985153038374
