Date,Open,High,Low,Close,Volume,Deliverable Volume,DeliverablePct
2020-08-30,12.8,13.05,11.15,11.75,26191939,18368448,70.13015722127331
2020-09-06,12.0,13.15,10.7,13.05,27385064,16767701,61.22936575937891
2020-09-13,13.6,14.35,13.05,14.2,21692075,13248033,61.073147681814675
2020-09-20,14.35,17.25,14.3,16.05,33705740,18665805,55.37871294325536
2020-09-27,15.55,15.95,12.9,13.8,10731850,5607260,52.248773510624915
2020-10-04,14.15,15.15,13.8,14.5,7740037,4296394,55.50870105659702
2020-10-11,14.2,14.7,12.95,13.3,8594730,5000051,58.175777482247845
2020-10-18,13.85,15.25,12.9,14.7,12293814,6830689,55.56200053132413
2020-10-25,14.85,15.15,13.8,14.2,11272173,5068614,44.96572222587428
2020-11-01,14.25,15.3,13.55,15.0,16276256,6681639,41.051449424241056
2020-11-08,14.8,14.8,13.45,14.2,9258664,4551053,49.154532446581925
2020-11-15,14.4,16.5,14.0,16.15,27810534,14140206,50.844784210184535
2020-11-22,16.3,18.75,16.25,18.55,29602670,16140906,54.52516952018179
2020-11-29,20.0,20.95,18.45,19.4,36897072,20189084,54.71730656568088
2020-12-06,19.6,20.0,18.3,18.75,21445290,11749160,54.78666877435558
2020-12-13,18.8,19.25,17.4,19.1,17127307,10289022,60.07378743196464
2020-12-20,19.3,20.25,18.0,18.45,21199129,11731462,55.339358517984394
2020-12-27,18.5,18.75,16.7,18.1,8561174,5573645,65.10374628526415
2021-01-03,18.25,19.6,18.25,19.0,13466712,8988419,66.74546095587401
2021-01-10,19.05,22.4,18.5,22.3,40794598,21674364,53.13047575563804
2021-01-17,23.4,24.3,21.4,21.7,34648519,18378484,53.0426249964681
2021-01-24,21.7,22.55,19.85,20.1,13451079,8534268,63.44671680242158
2021-01-31,20.65,21.2,19.35,20.95,11102054,5623808,50.65556337593026
2021-02-07,21.3,21.65,19.35,19.7,13168039,7413513,56.299294071045814
2021-02-14,19.75,21.65,19.65,20.25,14273812,8174027,57.265900657792045
2021-02-21,20.75,20.95,19.05,19.35,7425012,5063351,68.19316925009683
2021-02-28,19.55,19.9,18.45,19.0,7889585,5438013,68.9264771214202
2021-03-07,19.0,24.3,18.2,22.85,31416063,19377265,61.67948224448111
2021-03-14,23.3,26.35,23.0,23.7,36029626,22286201,61.85521048705862
2021-03-21,23.4,23.5,19.25,21.1,15700419,10140200,64.58553749425413
2021-03-28,21.5,21.7,18.55,18.8,18245251,12189702,66.81027298555662
