Date,Open,High,Low,Close,Volume,Deliverable Volume,DeliverablePct
2020-08-30,286.55,288.2,273.8,275.3,1369825,914124,66.7329038380815
2020-09-06,279.75,279.75,258.0,263.3,1305508,661585,50.67644166102391
2020-09-13,266.0,266.0,243.2,257.9,1214002,638155,52.566223119896016
2020-09-20,262.0,276.9,260.4,273.15,2408672,1479292,61.415252886237724
2020-09-27,276.0,278.1,243.9,247.4,1211046,593318,48.992193525266586
2020-10-04,248.2,264.95,248.2,261.15,512712,241517,47.10578258359469
2020-10-11,266.0,270.0,260.0,265.75,853254,359659,42.15145783084521
2020-10-18,268.4,278.0,262.0,274.4,1735154,753656,43.434530883137754
2020-10-25,278.0,297.3,265.9,295.05,2876305,1468695,51.06186583133569
2020-11-01,297.0,298.8,278.65,290.1,1281942,624415,48.70852191440798
2020-11-08,290.8,306.45,278.15,287.25,2491713,1076435,43.20060135336614
2020-11-15,287.0,342.8,287.0,338.8,3777974,2082333,55.11771653272363
2020-11-22,338.05,358.0,333.9,341.45,2374052,1403154,59.103760153526544
2020-11-29,343.2,351.25,329.1,331.0,1121935,590582,52.63959142018031
2020-12-06,333.65,368.5,331.45,362.85,2521358,1228196,48.71168632141886
2020-12-13,367.95,368.7,342.0,343.75,1392235,779570,55.994138920512704
2020-12-20,345.0,350.45,337.0,340.25,1809841,1002267,55.378732164869724
2020-12-27,338.35,345.0,308.0,337.1,1013191,560338,55.30428122634331
2021-01-03,337.5,350.0,332.05,342.45,1573706,800773,50.88453624755831
2021-01-10,346.0,354.6,337.0,353.75,2787713,1586995,56.928206024077795
2021-01-17,356.5,359.9,335.55,338.1,2107568,1230498,58.38473539169318
2021-01-24,336.0,339.0,323.6,325.7,1310086,777516,59.34847025309789
2021-01-31,334.0,337.9,310.3,318.25,1232176,569180,46.19307631377335
2021-02-07,318.25,361.45,310.5,350.1,3731433,2052487,55.00532905186828
2021-02-14,352.0,388.9,351.0,375.0,4837839,1995169,41.240913556652046
2021-02-21,377.7,390.0,361.7,376.25,1713813,853598,49.806950933386545
2021-02-28,376.25,381.55,360.5,373.6,1110840,687311,61.873087033236104
2021-03-07,376.5,448.5,373.6,428.7,4694739,2421434,51.57760633764731
2021-03-14,435.0,443.0,421.0,429.1,1278073,655306,51.272971105719314
2021-03-21,429.1,439.0,377.6,412.8,1327329,660996,49.79895715380287
2021-03-28,411.9,428.8,385.0,409.9,1062278,558363,52.56279429678483
2021-04-04,419.0,441.0,412.1,438.65,1625929,935196,57.51764068418732
2021-04-11,438.0,467.0,414.45,443.95,2801886,1322038,47.183861156378235
2021-04-18,439.0,440.0,390.05,409.0,2497065,1053810,42.20194508352807
2021-04-25,394.0,413.7,386.3,393.7,887350,424979,47.89305234687553
2021-05-02,399.0,412.05,394.35,402.75,946534,490416,51.81176798720384
2021-05-09,401.0,422.9,398.5,418.45,1227698,531474,43.29028800242405
2021-05-16,422.0,423.3,397.5,406.0,873705,457169,52.325327198539554
2021-05-23,418.0,513.8,411.35,493.55,11378977,3691606,32.44233642444308
2021-05-30,493.55,563.9,485.25,537.65,8763285,2779083,31.712799481016535
2021-06-06,539.25,560.0,532.45,541.35,3920919,2056633,52.452830573648676
2021-06-13,546.8,588.0,538.0,565.1,3378687,1671188,49.46264628833627
2021-06-20,568.9,594.7,542.0,570.15,3585133,1692759,47.21607259758564
2021-06-27,569.7,590.95,561.5,578.5,1482668,601681,40.58096620416708
2021-07-04,571.35,587.0,565.3,584.1,1106565,540123,48.81077930352035
2021-07-11,588.5,674.0,584.25,638.8,7144524,1504283,21.055048593860135
2021-07-18,645.7,675.0,640.15,656.55,2487731,664742,26.720815072047582
2021-07-25,654.75,721.25,653.05,696.45,5500766,1300458,23.64139830707214
2021-08-01,708.0,816.0,685.85,691.95,6287513,2515161,40.00247792728222
2021-08-08,700.4,700.4,647.2,672.9,2717141,970071,35.70190137353932
2021-08-15,678.9,684.6,632.0,666.55,2863587,1529377,53.40773652066447
2021-08-22,671.7,721.9,665.55,697.05,2851710,1241905,43.54948434448103
2021-08-29,699.0,715.55,676.25,712.4,1900320,771214,40.583375431506276
2021-09-05,719.0,728.9,698.25,707.85,1567860,913017,58.23332440396464
2021-09-12,714.1,747.6,696.1,714.4,2280433,790761,34.67591461796948
2021-09-19,715.0,747.0,680.55,688.65,3252339,2315388,71.19147173772475
2021-09-26,684.95,689.5,636.15,641.75,1734042,859476,49.56488943174387
2021-10-03,632.0,646.95,612.5,627.0,1968619,930576,47.27049774486582
2021-10-10,632.0,660.0,628.1,650.85,1586111,753622,47.51382469448859
2021-10-17,650.85,656.7,627.3,631.25,719752,420058,58.36149118029543
2021-10-24,632.0,634.75,577.5,585.1,1297586,746705,57.545704099766795
2021-10-31,589.8,620.5,561.6,614.95,1062987,488046,45.9126969567831
2021-11-07,597.2,635.0,597.2,631.15,865540,478995,55.34059662176214
2021-11-14,630.0,678.6,621.05,651.5,1689755,849169,50.25397172962944
2021-11-21,654.85,656.3,624.5,635.75,1157255,742364,64.1486967003815
2021-11-28,629.75,641.8,606.2,633.35,590004,271758,46.06036569243599
2021-12-05,623.0,659.9,540.4,623.65,1401462,868322,61.95829783468978
2021-12-12,628.7,637.3,618.95,627.55,237007,95696,40.37686650605256
2021-12-19,630.7,639.0,565.0,567.9,1394495,642622,46.082775485032215
2021-12-26,559.5,566.35,529.1,550.7,1440109,760403,52.80176708846345
2022-01-02,553.0,585.0,545.7,578.25,1462272,1012984,69.27466299019608
2022-01-09,577.7,589.9,573.0,584.45,118747,66729,56.194261749770526
