Date,Open,High,Low,Close,Volume,Deliverable Volume,DeliverablePct,ADL,OBV
2020-08-30,98.0,100.75,97.2,98.7,4427731,1977997,44.6729261556314,-6.921157573407652,44.6729261556314
2020-09-06,98.95,99.5,92.85,93.55,3676989,2047916,55.6954616943374,-50.891258911042414,-11.022535538706002
2020-09-13,94.7,94.7,90.4,92.45,2457011,1210329,49.26021902221846,-53.18243188882005,-60.28275456092446
2020-09-20,93.0,97.85,93.0,96.8,3064308,1506220,49.153675152758794,-25.311791338286678,-11.129079408165666
2020-09-27,97.5,99.0,88.05,91.7,3473056,1423478,40.986324435885855,-38.97389948358193,-52.11540384405152
2020-10-04,91.75,92.9,90.0,90.35,1194608,681185,57.021633874877786,-82.23169069900672,-109.1370377189293
2020-10-11,90.5,94.4,90.0,91.2,3737146,980096,26.22578834222693,-94.15250358183712,-82.91124937670237
2020-10-18,91.2,91.9,87.75,88.8,2646186,1277295,48.26928265813514,-117.99636609971121,-131.1805320348375
2020-10-25,88.85,94.45,88.5,93.65,1950949,930632,47.70150321715227,-83.12215786532252,-83.47902881768525
2020-11-01,94.1,94.45,86.3,87.85,1579594,736777,46.643441289343976,-112.02392209982405,-130.12247010702922
2020-11-08,87.8,91.7,86.35,90.55,2090471,1225070,58.60258286290506,-78.61497299106517,-71.51988724412416
2020-11-15,91.8,93.35,90.0,91.3,2587722,974192,37.646702389205636,-87.04333919760376,-33.87318485491853
2020-11-22,91.45,100.0,90.45,98.95,5497947,2403790,43.72159280545993,-52.935918632087876,9.8484079505414
2020-11-29,98.95,99.5,93.25,96.45,3906822,1781317,45.59503862730372,-51.84163770503255,-35.74663067676232
2020-12-06,97.1,101.35,96.25,99.65,3946249,1720125,43.58886121985714,-37.31201729841334,7.842230543094814
2020-12-13,99.65,105.7,99.5,101.8,6960331,2915636,41.889329688487514,-48.122166895442426,49.73156023158233
2020-12-20,104.1,112.8,101.95,110.75,12799578,4367966,34.12585946192914,-26.89179349746807,83.85741969351147
2020-12-27,114.0,118.0,98.0,106.15,14101032,3846382,27.277308497704283,-31.938095569543346,56.58011119580719
2021-01-03,107.45,114.95,104.45,113.85,7247183,2771064,38.23642924430086,-1.7131086430960636,94.81654044010804
2021-01-10,114.7,132.0,113.1,128.3,22765980,8422629,36.9965580221014,20.7980245449551,131.81309846220944
2021-01-17,128.0,129.8,122.7,126.0,6701172,3405083,50.81324580237606,17.21962695323838,80.99985265983338
2021-01-24,125.1,129.8,121.25,124.2,4932722,2021622,40.98390300527782,4.517013741076237,40.01594965455556
2021-01-31,124.9,134.45,116.0,127.3,9306828,2635514,28.318069271292,10.886660758738136,68.33401892584756
2021-02-07,129.0,136.0,124.2,133.5,7067525,2758999,39.03769707217165,33.38296076643027,107.37171599801921
2021-02-14,133.8,142.45,131.95,139.9,7988980,2455342,30.73411123823066,49.18907511752043,138.10582723624987
2021-02-21,138.65,148.4,137.9,142.75,8071453,2937089,36.38860314245775,46.41661011619028,174.49443037870762
2021-02-28,142.05,149.5,138.75,145.1,5593585,2082545,37.23095295771853,53.17013181549732,211.72538333642615
2021-03-07,146.1,167.75,145.3,155.3,12360934,3693294,29.87876158872784,49.909420639890065,241.604144925154
2021-03-14,157.9,159.2,148.25,151.0,2950150,892419,30.249953392200396,34.85350776432002,211.35419153295362
2021-03-21,152.9,165.9,138.45,148.0,8341665,2609708,31.285217040003406,25.336875258526646,180.06897449295022
2021-03-28,147.0,157.85,143.75,152.45,5601550,1860394,33.21212878578251,33.10992667647571,213.28110327873273
2021-04-04,152.5,155.5,146.3,154.55,2448397,739955,30.222018733073106,57.09044154076204,243.50312201180583
2021-04-11,153.0,153.0,142.5,146.3,5061399,2079236,41.08026259142976,45.744464253605344,202.42285942037608
2021-04-18,143.05,143.65,132.0,135.4,2860373,957636,33.479409853190475,31.80668418596813,168.9434495671856
2021-04-25,130.1,133.55,125.2,131.8,1911528,700201,36.630433872797056,53.08304398034728,132.31301569438855
2021-05-02,133.0,145.5,131.85,139.8,3373188,957923,28.398150355094348,57.76405777514311,160.7111660494829
2021-05-09,137.8,151.8,133.4,142.65,7897357,1889527,23.92606792373702,57.8940907529895,184.6372339732199
2021-05-16,144.15,147.5,140.0,144.15,2901402,1118611,38.55415416409033,62.00653386382586,223.19138813731024
2021-05-23,145.3,166.55,142.5,153.05,11641134,2903082,24.938137470112448,58.94759392466447,248.1295256074227
2021-05-30,154.1,161.7,144.7,151.95,11712347,2836049,24.214181837337982,55.38668483093829,223.91534377008472
2021-06-06,152.0,164.25,149.3,159.35,9817206,3781102,38.51505204230206,68.65441178865434,262.4303958123868
2021-06-13,160.25,179.1,157.4,172.8,13060500,4545278,34.801715095134185,83.24867940919452,297.23211090752096
2021-06-20,173.0,181.7,160.5,168.0,7479788,2270513,30.355312209383474,74.37118244229937,266.87679869813746
2021-06-27,165.0,218.0,163.3,199.6,47022333,6023610,12.810104509276474,78.5631544846403,279.68690320741393
2021-07-04,201.55,226.85,191.25,219.6,37752675,3882669,10.284487125746718,84.65873533725984,289.9713903331606
2021-07-11,221.5,237.45,216.0,226.1,17653616,3392357,19.216216099863054,83.53890922421421,309.1876064330237
2021-07-18,227.1,230.85,218.1,219.1,5974862,1388016,23.230929852438432,63.952046799609256,285.9566765805853
2021-07-25,218.0,234.7,207.65,219.35,8875210,2336092,26.321540560730394,60.40034169622049,312.2782171413157
2021-08-01,217.0,274.0,214.8,261.15,27724383,4063659,14.657346928153459,68.69461740725326,326.93556406946914
2021-08-08,264.4,274.95,239.75,258.75,15447997,2318233,15.006689864064576,69.88833137371294,311.92887420540455
2021-08-15,258.75,284.9,245.0,263.5,26493972,4225510,15.948948689158424,68.72913460181923,327.877822894563
2021-08-22,264.35,269.35,240.0,242.95,6049355,1140971,18.861035598010037,53.65958486507865,309.01678729655293
2021-08-29,241.85,249.8,218.1,239.55,12731348,1907063,14.979270066296198,58.95194526705081,294.03751723025675
2021-09-05,240.15,251.85,239.0,244.4,7657848,1455104,19.001474043360485,55.92058170371317,313.0389912736172
2021-09-12,245.5,259.8,239.3,252.9,9446108,1749407,18.51987082934051,61.97341753574152,331.55886210295773
2021-09-19,252.8,258.0,241.25,243.4,4829978,1482285,30.689270220278438,39.16258683469876,300.8695918826793
2021-09-26,242.9,246.5,228.0,235.6,4777412,1291100,27.02509224659711,34.341894704224664,273.84449963608216
2021-10-03,237.8,244.0,218.8,227.6,13772132,4575375,33.2219804457291,24.322567268211092,240.62251919035305
2021-10-10,228.05,253.65,227.7,246.9,16789998,3956334,23.56363592181488,35.62766427116274,264.1861551121679
2021-10-17,248.0,254.9,242.7,251.05,4914577,2078238,42.287220242962924,51.225409442747505,306.4733753551308
2021-10-24,251.9,255.0,221.75,225.6,5500282,2335500,42.461459248816695,18.59713023049887,264.0119161063141
2021-10-31,229.85,239.75,220.3,225.65,9242879,2278318,24.649440937179858,7.508050117371678,288.661357043494
2021-11-07,225.8,230.0,224.0,229.35,1488746,536532,36.03919002972972,35.738748973993225,324.7005470732237
2021-11-14,232.7,235.5,222.85,224.95,3048167,1165222,38.22697378457283,10.203734864930706,286.47357328865087
2021-11-21,225.95,227.55,213.5,216.4,1656154,745816,45.03301021523361,-16.239135902021395,241.44056307341725
2021-11-28,220.0,223.0,207.15,212.25,1847501,641951,34.746990664687054,-28.625287148424054,206.6935724087302
2021-12-05,212.25,218.9,197.65,209.55,3071809,685483,22.31528718094126,-25.94745268671109,184.37828522778895
2021-12-12,209.55,218.7,203.3,213.35,2080716,709218,34.085286026540864,-15.544800457831746,218.46357125432982
2021-12-19,214.8,221.5,203.1,204.0,2372383,812116,34.23207804136179,-46.42808825601682,184.23149321296802
2021-12-26,202.0,207.0,192.0,200.15,2087605,673967,32.284220434421265,-43.630122485033624,151.94727277854676
2022-01-02,197.15,209.6,197.15,205.1,2411769,762029,31.59626813347381,-34.87453011069753,183.54354091202057
2022-01-09,205.0,217.2,201.35,209.0,4609705,1252812,27.17770443010995,-35.81760502783065,210.72124534213052
