Date,Open,High,Low,Close,Volume,Deliverable Volume,DeliverablePct,ADL,OBV
2020-08-30,60.45,63.7,59.1,61.95,10221179,3559892,34.82858484329449,8.328574636439996,34.82858484329449
2020-09-06,62.05,62.35,58.5,59.8,3348262,1467631,43.8326212225925,-5.9027958903758275,-9.004036379298007
2020-09-13,59.8,60.05,55.05,57.05,2847399,1156088,40.601545480629866,-14.023104986501801,-49.605581859927874
2020-09-20,57.5,61.95,57.3,61.5,3975594,1706755,42.93081738225785,20.598521934673848,-6.674764477670024
2020-09-27,61.6,61.65,54.6,56.9,2343266,1133046,48.35328127493848,3.794899363950517,-55.028045752608506
2020-10-04,57.3,61.2,57.2,58.85,2503867,712569,28.45874002093562,-1.1853801397132369,-26.569305731672888
2020-10-11,59.0,60.8,58.05,58.15,1444612,536020,37.10477276943567,-35.59162398046264,-63.67407850110855
2020-10-18,58.9,59.8,55.7,57.7,2102913,670777,31.897515493983818,-36.36961216324269,-95.57159399509237
2020-10-25,58.9,76.9,58.05,72.8,26466034,7892012,29.81939794984016,-19.522047804314454,-65.75219604525222
2020-11-01,73.0,75.5,66.5,66.85,10898501,2923515,26.824927574902276,-44.260592123391035,-92.5771236201545
2020-11-08,67.2,71.5,65.35,71.1,4864334,1809337,37.195986130886574,-11.903108253432862,-55.38113748926792
2020-11-15,71.95,81.1,71.2,77.4,8753631,4149889,47.407630045177825,0.06851549534949442,-7.973507444090096
2020-11-22,77.5,83.1,76.4,81.2,8463163,2862388,33.82172835380815,14.707771051475463,25.84822090971805
2020-11-29,81.75,85.3,79.1,80.5,8101186,2525141,31.17001634081726,-2.3854637160694363,-5.321795431099208
2020-12-06,83.5,83.5,80.5,81.25,4236676,1742020,41.11761201470209,-22.944269723420483,35.795816583602885
2020-12-13,81.45,86.0,80.25,82.65,8803139,3268082,37.12405313604613,-29.077808937201944,72.91986971964901
2020-12-20,83.0,84.0,72.0,73.7,19806605,7196571,36.33419760731332,-55.11731722244314,36.58567211233569
2020-12-27,73.7,75.45,66.3,72.85,5660922,1950419,34.454087161066695,-40.24369489608107,2.131584951268998
2021-01-03,73.45,76.4,72.25,76.0,6209208,2448627,39.43541591777889,-8.41028686606688,41.56700086904789
2021-01-10,77.2,78.3,75.65,77.25,7532953,3389864,45.00046661647829,0.9294326203719923,86.56746748552618
2021-01-17,77.95,92.9,77.5,90.8,40504862,13255089,32.724686236432554,24.729204428686543,119.29215372195873
2021-01-24,91.4,138.8,85.55,136.1,191580906,24127055,12.593663692142682,36.04576419711897,131.8858174141014
2021-01-31,143.0,146.7,122.4,127.25,52412483,10692009,20.399737596862185,23.789131731514527,111.48607981723923
2021-02-07,128.5,144.35,121.15,131.75,34393013,9090627,26.431609815633195,21.5105446784427,137.91768963287242
2021-02-14,132.75,136.9,123.75,124.4,14156761,4349425,30.723305987859796,-6.175476306814961,107.19438364501264
2021-02-21,125.5,130.0,120.0,122.85,13695899,4843086,35.36157794387941,-21.38095482268315,71.83280570113322
2021-02-28,123.5,130.85,121.15,124.1,11093870,3963645,35.72824451701705,-35.377586695329065,107.56105021815029
2021-03-07,124.9,130.4,123.0,124.4,13296107,4396560,33.06652089968891,-55.932451038378886,140.62757111783918
2021-03-14,124.9,126.4,121.1,122.9,5161750,1888220,36.581004504286334,-67.66598078503667,104.04656661355284
2021-03-21,123.85,124.15,104.1,112.25,8743788,3140760,35.919901077199036,-74.38416677204397,68.12666553635381
2021-03-28,114.9,119.35,108.5,109.85,6355603,1776946,27.95873184652975,-95.38542617750183,40.16793368982406
2021-04-04,110.8,119.9,98.9,119.15,2857015,1408528,49.300686205707706,-49.606217557916096,89.46861989553176
2021-04-11,119.9,124.0,113.0,119.3,4710722,2178028,46.23554520941801,-42.881047345637135,135.70416510494977
2021-04-18,113.5,116.0,106.0,109.55,2715795,1480169,54.50223599351203,-58.68669578375565,81.20192911143774
2021-04-25,106.05,113.85,103.25,111.0,2662871,1166114,43.7916068784406,-38.44340581164629,124.99353598987832
2021-05-02,112.0,127.5,108.9,121.5,7231140,3446119,47.6566488824722,-21.532982014640034,172.6501848723505
2021-05-09,119.0,125.0,114.25,118.05,5736429,3414629,59.52534233405486,-38.97529162880498,113.12484253829564
2021-05-16,118.5,124.9,112.95,113.75,5709508,3235687,56.67190588050669,-88.05932726589658,56.452936657788946
2021-05-23,115.05,131.5,114.4,123.7,13689095,6993428,51.08758467963003,-83.57796018873606,107.54052133741897
2021-05-30,126.0,130.65,124.0,127.0,9408656,4727528,50.24658144585157,-88.48928017968399,157.78710278327054
2021-06-06,127.0,136.0,125.1,133.9,13046790,7118148,54.55861556750741,-54.95325042717937,212.34571835077796
2021-06-13,136.45,142.45,135.3,137.55,15512181,7002686,45.14314266962202,-71.68462498305317,257.4888610204
2021-06-20,137.6,156.6,134.35,150.95,40320352,10320820,25.597048359101628,-59.08742590295598,283.08590937950163
2021-06-27,146.15,150.0,142.15,142.7,5789673,2144949,37.04784363469232,-90.94385195826482,246.0380657448093
2021-07-04,144.0,147.75,134.25,145.8,13737942,4620719,33.63472491003383,-67.02582535557403,279.67279065484314
2021-07-11,146.9,148.4,140.0,142.45,5273506,1783956,33.82865213389346,-81.12109707802975,245.84413852094968
2021-07-18,143.2,150.3,142.5,144.1,9200647,2633528,28.62329138374725,-98.00149968895767,274.4674299046969
2021-07-25,142.4,146.9,140.0,143.0,3571321,1427608,39.974228023748076,-103.2155294311857,234.49320188094885
2021-08-01,143.0,149.5,136.6,148.4,6854235,2062776,30.094912123672447,-78.25308294100775,264.5881140046213
2021-08-08,150.6,166.25,145.5,160.95,49396704,11213405,22.70071501126877,-67.14887776682087,287.28882901589003
2021-08-15,158.0,162.8,138.8,161.35,19581875,5753451,29.38151224027321,-41.317631588914054,316.6703412561632
2021-08-22,161.85,161.9,146.05,148.7,7232331,2203584,30.468516996802276,-61.59793785492448,286.20182425936093
2021-08-29,150.2,153.15,139.0,144.95,7339479,1570793,21.40196872284804,-65.0010777578509,264.7998555365129
2021-09-05,144.95,156.7,143.5,155.35,7898993,2162374,27.375312270817304,-43.225261178791655,292.1751678073302
2021-09-12,156.25,158.55,152.4,154.05,5089955,1490239,29.278038803879408,-56.79313281961378,262.8971290034508
2021-09-19,153.95,159.85,149.3,153.4,5359306,1786910,33.34219020149251,-64.22006618203153,229.5549388019583
2021-09-26,149.75,161.0,146.55,153.0,6022369,1763995,29.290715995648885,-67.3619768943676,200.2642228063094
2021-10-03,153.0,154.6,145.65,148.9,3696591,1584218,42.85618830971563,-79.09355916909419,157.40803449659376
2021-10-10,149.6,153.7,146.6,152.25,5111716,1962028,38.38296180773737,-56.38814514198184,195.79099630433112
2021-10-17,153.2,157.6,150.1,151.7,5214631,2055514,39.418206197140314,-78.987916695009,156.3727901071908
2021-10-24,153.0,171.7,151.75,156.6,22171113,6667019,30.070745659002323,-94.43779854988489,186.44353576619312
2021-10-31,156.6,157.45,140.3,143.55,6993129,2486994,35.56339372546967,-116.52235500331065,150.88014204072346
2021-11-07,145.15,149.4,144.1,147.25,2279951,979901,42.97903770738933,-108.41310260569004,193.85917974811278
2021-11-14,148.45,148.45,142.0,142.95,3768574,2060552,54.67723335139498,-146.98386411713938,139.1819463967178
2021-11-21,143.0,143.0,136.3,137.7,3760634,1821186,48.427632149259935,-175.173082830888,90.75431424745786
2021-11-28,138.6,144.65,130.3,135.35,5300842,1493434,28.17352413069471,-183.51715792186036,62.58079011676315
2021-12-05,133.0,138.0,126.55,137.15,4192799,1271001,30.313902478988382,-157.70400952272175,92.89469259575154
2021-12-12,136.05,142.45,134.0,138.5,4500951,1235501,27.449776724963236,-155.91733766488386,120.34446932071478
2021-12-19,139.75,142.9,135.0,135.3,3703126,1402316,37.8684387190714,-190.90969243060795,82.47603060164337
2021-12-26,136.5,137.35,128.5,133.55,2116203,806130,38.09322640597334,-185.52929322072458,44.38280419567003
2022-01-02,133.0,146.8,127.65,139.3,9233542,1849808,20.03356891645698,-181.1878148393514,64.41637311212702
2022-01-09,139.3,144.0,135.55,136.05,3621463,1171982,32.362114427235625,-209.72009323969525,32.054258684891394
