Date,Symbol,Open,High,Low,Close,Volume,Deliverable Volume
2020-08-26,JMCPROJECT,61.0,62.35,59.0,60.1,1854571,664893
2020-08-27,JMCPROJECT,60.6,60.9,57.75,57.9,427250,244569
2020-08-28,JMCPROJECT,58.4,58.4,57.0,58.0,221726,136154
2020-08-31,JMCPROJECT,57.95,57.95,52.0,54.45,201364,125529
2020-09-01,JMCPROJECT,53.6,54.6,51.9,52.7,139341,79530
2020-09-02,JMCPROJECT,53.0,56.8,52.75,54.15,102348,58309
2020-09-03,JMCPROJECT,55.25,55.25,52.45,53.15,86604,53529
2020-09-04,JMCPROJECT,52.95,54.4,51.6,52.0,146044,96807
2020-09-07,JMCPROJECT,52.0,53.45,51.1,52.1,62214,32323
2020-09-08,JMCPROJECT,52.9,53.95,50.8,51.3,59076,36163
2020-09-09,JMCPROJECT,50.0,51.9,48.0,50.45,132871,75946
2020-09-10,JMCPROJECT,51.5,53.0,51.05,52.25,73987,35996
2020-09-11,JMCPROJECT,52.4,52.4,51.2,51.5,46244,29598
2020-09-14,JMCPROJECT,52.95,55.0,51.65,53.8,149592,84786
2020-09-15,JMCPROJECT,54.55,55.3,53.25,53.75,49978,31666
2020-09-16,JMCPROJECT,53.8,53.85,52.9,53.05,35168,26156
2020-09-17,JMCPROJECT,54.5,57.4,54.35,56.6,528288,211854
2020-09-18,JMCPROJECT,59.0,59.0,55.25,56.0,181518,96530
2020-09-21,JMCPROJECT,56.05,57.4,51.0,52.0,134664,76857
2020-09-22,JMCPROJECT,51.1,52.9,49.35,51.6,101608,48096
2020-09-23,JMCPROJECT,52.1,52.95,49.75,50.3,115251,61666
2020-09-24,JMCPROJECT,48.1,49.8,48.0,48.75,96086,54880
2020-09-25,JMCPROJECT,49.25,53.0,49.25,51.05,77665,38668
2020-09-28,JMCPROJECT,52.95,52.95,51.25,52.15,54934,26048
2020-09-29,JMCPROJECT,52.6,53.15,50.55,51.2,45150,18918
2020-09-30,JMCPROJECT,51.4,51.45,49.0,50.15,33337,18616
2020-10-01,JMCPROJECT,50.15,51.9,50.15,51.15,51051,23541
2020-10-05,JMCPROJECT,51.0,51.5,50.1,50.65,33388,16196
2020-10-06,JMCPROJECT,51.6,51.7,49.9,50.6,58587,33726
2020-10-07,JMCPROJECT,50.6,51.0,50.0,50.45,18263,10860
2020-10-08,JMCPROJECT,51.2,51.2,49.8,50.15,38959,19656
2020-10-09,JMCPROJECT,52.25,55.2,52.0,52.5,346547,183239
2020-10-12,JMCPROJECT,52.45,52.45,50.3,50.65,82293,48760
2020-10-13,JMCPROJECT,50.7,52.0,50.55,50.7,45184,24858
2020-10-14,JMCPROJECT,50.95,51.15,49.7,50.25,37471,22532
2020-10-15,JMCPROJECT,50.3,55.0,50.0,50.35,288025,31641
2020-10-16,JMCPROJECT,50.35,50.65,49.5,50.0,47976,23567
2020-10-19,JMCPROJECT,51.0,51.0,49.05,49.25,54508,33776
2020-10-20,JMCPROJECT,50.9,50.9,48.55,48.95,58220,39060
2020-10-21,JMCPROJECT,49.1,51.0,48.35,49.45,48585,24661
2020-10-22,JMCPROJECT,50.7,50.7,48.2,49.05,55295,31961
2020-10-23,JMCPROJECT,50.05,50.4,47.75,49.0,119323,62181
2020-10-26,JMCPROJECT,50.0,50.0,48.6,48.9,44784,24453
2020-10-27,JMCPROJECT,49.5,49.5,48.2,49.0,33421,19119
2020-10-28,JMCPROJECT,49.0,49.0,47.95,48.05,46011,28774
2020-10-29,JMCPROJECT,48.35,48.35,47.0,47.7,33569,19820
2020-10-30,JMCPROJECT,47.8,48.0,46.4,46.55,52922,37346
2020-11-02,JMCPROJECT,47.7,47.7,46.5,47.2,35363,19325
2020-11-03,JMCPROJECT,48.35,48.35,45.0,47.25,45702,25445
2020-11-04,JMCPROJECT,45.05,47.2,45.05,46.65,58243,31450
2020-11-05,JMCPROJECT,46.1,47.05,45.75,46.5,47616,27049
2020-11-06,JMCPROJECT,47.6,48.55,47.35,47.85,73173,36165
2020-11-09,JMCPROJECT,47.4,48.15,46.6,47.15,68663,38147
2020-11-10,JMCPROJECT,48.9,48.95,46.6,47.2,113518,76263
2020-11-11,JMCPROJECT,48.5,48.5,47.3,47.8,90352,60448
2020-11-12,JMCPROJECT,48.05,51.0,48.0,48.75,130760,97632
2020-11-13,JMCPROJECT,49.6,49.6,48.1,48.45,85497,60396
2020-11-14,JMCPROJECT,49.5,49.5,48.2,49.2,43375,33317
2020-11-17,JMCPROJECT,49.7,53.8,49.15,51.75,420520,227422
2020-11-18,JMCPROJECT,52.5,53.95,52.1,53.15,215872,142740
2020-11-19,JMCPROJECT,53.0,54.4,51.9,52.1,123195,84109
2020-11-20,JMCPROJECT,52.35,52.9,51.0,51.75,71762,46970
2020-11-23,JMCPROJECT,52.75,55.3,51.0,53.7,247604,129197
2020-11-24,JMCPROJECT,53.85,54.7,52.1,52.4,170627,119606
2020-11-25,JMCPROJECT,53.35,53.7,51.75,52.05,95492,62504
2020-11-26,JMCPROJECT,52.1,53.0,50.7,52.25,61099,26114
2020-11-27,JMCPROJECT,52.5,53.9,52.35,53.1,164062,98715
2020-12-01,JMCPROJECT,53.1,59.8,53.1,58.3,1039150,520342
2020-12-02,JMCPROJECT,59.5,63.0,59.15,61.8,882152,522859
2020-12-03,JMCPROJECT,62.75,66.7,60.0,64.35,867250,471683
2020-12-04,JMCPROJECT,64.95,76.8,63.35,75.0,3859143,609828
2020-12-07,JMCPROJECT,75.0,75.1,70.0,71.25,588229,316830
2020-12-08,JMCPROJECT,75.5,78.35,72.45,72.85,1641204,606859
2020-12-09,JMCPROJECT,73.45,74.0,70.0,71.65,225142,127097
2020-12-10,JMCPROJECT,68.0,69.9,64.6,66.05,569430,344456
2020-12-11,JMCPROJECT,67.7,70.4,66.2,67.85,324427,154023
2020-12-14,JMCPROJECT,68.0,68.9,66.25,66.6,159258,89533
2020-12-15,JMCPROJECT,67.9,67.9,65.0,65.75,169801,103430
2020-12-16,JMCPROJECT,68.85,72.0,66.8,69.85,1542779,522897
2020-12-17,JMCPROJECT,69.25,71.0,68.0,69.05,217304,130662
2020-12-18,JMCPROJECT,68.2,69.45,65.3,67.0,155435,89069
2020-12-21,JMCPROJECT,67.35,68.65,60.8,61.45,328086,154437
2020-12-22,JMCPROJECT,60.1,63.15,57.0,61.35,256632,116057
2020-12-23,JMCPROJECT,62.4,65.0,61.75,64.7,148114,74873
2020-12-24,JMCPROJECT,65.8,66.55,64.4,64.9,100474,57871
2020-12-28,JMCPROJECT,67.25,69.2,67.0,67.5,202816,119556
2020-12-29,JMCPROJECT,68.0,68.4,66.0,66.4,102826,68753
2020-12-30,JMCPROJECT,68.55,69.8,67.8,68.3,398220,159089
2020-12-31,JMCPROJECT,70.1,70.1,67.7,68.3,145936,77763
