Date,Symbol,Open,High,Low,Close,Volume,Deliverable Volume
2020-08-26,JPINFRATEC,1.35,1.4,1.3,1.35,1765378,792955
2020-08-27,JPINFRATEC,1.4,1.4,1.35,1.35,1101722,726782
2020-08-28,JPINFRATEC,1.35,1.4,1.3,1.35,2526867,1347015
2020-08-31,JPINFRATEC,1.35,1.4,1.3,1.35,3765266,2428388
2020-09-01,JPINFRATEC,1.35,1.35,1.3,1.35,3152069,1702439
2020-09-02,JPINFRATEC,1.35,1.35,1.3,1.3,1013161,494791
2020-09-03,JPINFRATEC,1.3,1.35,1.25,1.3,1099197,623513
2020-09-04,JPINFRATEC,1.25,1.35,1.25,1.35,2521614,1319594
2020-09-07,JPINFRATEC,1.4,1.4,1.35,1.35,1263951,824648
2020-09-08,JPINFRATEC,1.4,1.4,1.35,1.35,994940,553652
2020-09-09,JPINFRATEC,1.35,1.35,1.3,1.3,1653376,854877
2020-09-10,JPINFRATEC,1.3,1.35,1.25,1.3,1069600,540790
2020-09-11,JPINFRATEC,1.25,1.3,1.25,1.25,832347,560473
2020-09-14,JPINFRATEC,1.25,1.3,1.2,1.3,1459276,851419
2020-09-15,JPINFRATEC,1.35,1.35,1.3,1.35,1392450,714313
2020-09-16,JPINFRATEC,1.3,1.35,1.3,1.3,664844,472147
2020-09-17,JPINFRATEC,1.3,1.35,1.25,1.25,841592,478212
2020-09-18,JPINFRATEC,1.3,1.3,1.25,1.3,488629,247594
2020-09-21,JPINFRATEC,1.3,1.3,1.25,1.25,1905708,1323447
2020-09-22,JPINFRATEC,1.2,1.3,1.2,1.25,1861484,1007710
2020-09-23,JPINFRATEC,1.25,1.3,1.2,1.2,1553503,1216665
2020-09-24,JPINFRATEC,1.2,1.25,1.15,1.15,883092,626339
2020-09-25,JPINFRATEC,1.2,1.2,1.15,1.2,523140,325728
2020-09-28,JPINFRATEC,1.2,1.25,1.2,1.25,1199731,842487
2020-09-29,JPINFRATEC,1.3,1.3,1.25,1.3,1073525,616865
2020-09-30,JPINFRATEC,1.3,1.3,1.25,1.25,451755,237370
2020-10-01,JPINFRATEC,1.3,1.3,1.2,1.25,883246,343097
2020-10-05,JPINFRATEC,1.25,1.25,1.2,1.2,850286,422326
2020-10-06,JPINFRATEC,1.2,1.25,1.15,1.2,707537,564761
2020-10-07,JPINFRATEC,1.2,1.25,1.15,1.2,1047472,615037
2020-10-08,JPINFRATEC,1.25,1.3,1.15,1.25,1570453,903088
