Date,Symbol,Open,High,Low,Close,Volume,Deliverable Volume
2021-09-13,JSWISPL,37.4,37.4,35.4,35.5,2597022,1802393
2021-09-14,JSWISPL,35.85,37.2,35.3,35.7,1967823,966999
2021-09-15,JSWISPL,36.0,37.0,36.0,36.15,1636536,1166452
2021-09-16,JSWISPL,36.9,36.9,35.1,35.55,1381600,984047
2021-09-17,JSWISPL,35.75,35.9,33.8,34.05,2611072,2038268
2021-09-20,JSWISPL,33.4,33.4,32.35,32.35,2562119,1816311
2021-09-21,JSWISPL,32.0,33.2,30.75,32.85,2585389,1487294
2021-09-22,JSWISPL,32.85,33.45,32.05,32.6,1355952,734028
2021-09-23,JSWISPL,32.55,33.65,31.1,32.4,1688081,997759
2021-09-24,JSWISPL,32.65,32.9,32.1,32.45,752291,472071
2021-09-27,JSWISPL,32.45,33.25,32.1,32.55,849258,581176
2021-09-28,JSWISPL,32.55,33.0,32.1,32.25,779378,610388
2021-09-29,JSWISPL,32.3,33.85,31.8,33.3,2777028,1780631
2021-09-30,JSWISPL,33.45,33.9,32.6,32.85,1048629,769198
2021-10-01,JSWISPL,32.85,34.35,32.25,33.35,1216652,751544
2021-10-04,JSWISPL,34.1,35.0,33.15,34.95,2929369,1689745
2021-10-05,JSWISPL,35.5,35.85,34.3,34.65,2146130,1415897
2021-10-06,JSWISPL,34.65,35.2,33.25,33.4,1439163,968550
2021-10-07,JSWISPL,33.75,34.4,32.55,32.85,2564665,1921372
2021-10-08,JSWISPL,33.15,34.15,33.05,33.5,953097,688429
2021-10-11,JSWISPL,33.7,34.0,32.5,32.75,2008716,1548956
2021-10-12,JSWISPL,32.75,33.25,31.8,32.85,1420669,907751
2021-10-13,JSWISPL,33.15,33.85,31.85,32.15,4011428,2295397
2021-10-14,JSWISPL,32.5,33.2,32.4,32.65,1612370,1167557
2021-10-18,JSWISPL,33.2,34.25,33.0,34.25,2798685,2423403
2021-10-19,JSWISPL,35.35,35.5,33.1,34.0,3315439,2547667
2021-10-20,JSWISPL,32.3,32.6,32.3,32.3,1681779,1255895
2021-10-21,JSWISPL,31.2,31.9,30.7,31.15,4650901,2954089
2021-10-22,JSWISPL,31.3,32.05,30.65,31.1,1610904,1086113
2021-10-25,JSWISPL,31.45,31.45,29.65,30.25,1546552,945454
2021-10-26,JSWISPL,30.4,31.4,29.65,30.2,2748699,1594099
2021-10-27,JSWISPL,30.45,30.7,29.0,29.2,2858779,1755725
2021-10-28,JSWISPL,29.2,29.95,28.55,28.9,2015585,1224713
2021-10-29,JSWISPL,29.0,29.5,28.55,29.35,1061150,630400
2021-11-01,JSWISPL,29.5,29.8,29.3,29.4,921979,640151
2021-11-02,JSWISPL,29.6,29.7,29.25,29.45,821684,566052
2021-11-03,JSWISPL,29.75,29.9,29.35,29.6,707696,490736
2021-11-04,JSWISPL,29.85,30.2,29.65,30.05,365566,285676
2021-11-08,JSWISPL,30.15,30.4,29.6,29.7,773601,549934
2021-11-09,JSWISPL,29.7,30.9,29.65,30.45,1366795,908807
2021-11-10,JSWISPL,30.5,31.95,30.5,31.95,3203554,2167001
2021-11-11,JSWISPL,32.0,32.7,30.85,31.65,2138180,1307576
2021-11-12,JSWISPL,31.85,32.85,30.5,31.1,1184818,677110
2021-11-15,JSWISPL,31.35,31.5,29.7,29.9,1350455,973738
2021-11-16,JSWISPL,30.0,30.55,29.6,29.7,773176,538698
2021-11-17,JSWISPL,29.65,30.15,29.25,29.4,773188,573634
2021-11-18,JSWISPL,29.5,30.85,28.0,29.9,2020241,1016501
2021-11-22,JSWISPL,30.45,30.75,28.45,28.65,1205711,862987
2021-11-23,JSWISPL,28.35,30.05,28.35,30.0,1134744,756239
2021-11-24,JSWISPL,30.2,30.7,29.7,30.0,665122,410280
2021-11-25,JSWISPL,30.0,30.2,29.3,29.8,532872,386876
2021-11-26,JSWISPL,29.65,29.85,28.5,28.7,916263,649205
