Date,Open,High,Low,Close,Volume,Deliverable Volume,DeliverablePct
2021-04-11,306.25,349.9,301.0,333.85,6477885,2942531,45.42425498445866
2021-04-18,323.0,327.2,297.0,301.05,1789046,1196601,66.88486489447449
2021-04-25,302.0,344.7,295.5,330.3,3274278,1895365,57.88650200135724
2021-05-02,343.5,432.0,320.25,410.15,11796573,5113434,43.34677537281378
2021-05-09,415.0,456.75,392.65,416.7,6183550,3130162,50.62079226334387
2021-05-16,424.0,463.7,405.6,424.4,3470102,1929071,55.5911901148727
2021-05-23,426.0,449.0,410.0,436.95,2941676,1599715,54.3810739184057
2021-05-30,440.0,503.7,436.75,483.9,5402540,2311316,42.78202475132068
2021-06-06,485.0,600.0,461.0,571.85,7045846,2792383,39.63162124179268
2021-06-13,579.8,611.6,536.3,576.25,6493053,3083624,47.49112628527751
2021-06-20,580.0,581.0,525.35,552.05,2546714,1330856,52.25777217229732
2021-06-27,543.0,564.45,537.05,549.65,2487086,1406143,56.537771512525104
2021-07-04,555.1,575.0,515.0,543.25,3561841,2011785,56.48160600094165
2021-07-11,547.4,582.6,540.5,563.85,4783565,2305918,48.20501027998992
2021-07-18,568.4,584.0,556.35,562.6,4431550,2043554,46.11375252451174
2021-07-25,563.0,671.6,557.6,629.55,26292233,10350034,39.36536695076451
2021-08-01,636.6,649.8,586.05,593.3,7817286,3873490,49.55031707935465
2021-08-08,600.0,626.7,592.25,613.25,6638253,3769482,56.78424730121012
2021-08-15,617.2,748.6,605.05,719.35,18973452,7685173,40.50487491680481
2021-08-22,723.0,763.8,695.1,699.95,7338181,2731313,37.22057278227397
2021-08-29,707.0,724.0,650.0,715.4,7551144,3264942,43.23771338488579
2021-09-05,724.9,778.85,723.5,751.0,10782613,4162681,38.60549386312947
2021-09-12,751.0,756.9,695.0,703.55,5405795,3139984,58.08551748632718
2021-09-19,705.9,803.4,705.0,754.95,13250931,6185322,46.67839565386009
2021-09-26,744.0,789.0,730.2,763.0,7783447,3758356,48.286523952690885
2021-10-03,768.1,770.4,715.25,748.0,5643174,2722073,48.23655978001033
2021-10-10,753.0,804.9,750.0,770.3,7143069,2797462,39.163306416331686
2021-10-17,774.9,814.8,751.35,793.1,6062025,2473558,40.80415372750855
2021-10-24,823.0,838.75,655.15,677.45,13567297,5563055,41.00341431310894
2021-10-31,680.0,697.3,629.2,669.3,4582807,2077350,45.329205441119385
2021-11-07,673.8,678.1,623.05,636.25,1905981,892913,46.84794864167062
2021-11-14,640.7,672.9,635.05,649.5,2264164,1015364,44.84498472725474
2021-11-21,653.8,656.8,585.0,592.85,2724445,1258910,46.207943269179594
2021-11-28,596.0,620.0,532.05,585.25,4901651,2057169,41.96889986659597
2021-12-05,576.0,594.8,536.05,586.55,4475730,2161817,48.30088052675206
2021-12-12,592.9,614.3,572.35,599.0,1976760,841625,42.575982921548395
2021-12-19,604.0,605.9,548.0,558.9,1488849,725005,48.695670279524656
2021-12-26,553.6,553.6,518.0,528.35,1935076,826848,42.72948452670593
2022-01-02,526.85,578.7,520.0,573.7,2548976,870993,34.17030995976423
2022-01-09,576.5,593.3,574.9,589.55,643635,218911,34.0116681038166
