Date,Open,High,Low,Close,Volume,Deliverable Volume,DeliverablePct
2020-08-30,833.0,880.0,812.0,814.85,3379923,1271766,37.62707020248686
2020-09-06,822.7,840.0,740.25,829.75,3764059,1441625,38.29974503587749
2020-09-13,791.25,808.0,686.0,738.45,4157898,1467169,35.28631534491707
2020-09-20,743.0,824.0,743.0,799.25,3360220,1566509,46.619239216479876
2020-09-27,794.0,805.9,694.15,719.15,2943557,1055132,35.84547538912955
2020-10-04,725.0,741.9,710.2,734.3,1043081,345230,33.09714202444489
2020-10-11,733.0,776.9,711.0,715.5,1490600,644880,43.263115523950084
2020-10-18,722.5,722.5,682.55,690.85,1030151,395799,38.42145471877424
2020-10-25,697.8,784.4,685.0,776.25,1818689,840526,46.21603803618981
2020-11-01,776.0,777.5,721.1,728.45,941866,347513,36.89622515304725
2020-11-08,728.8,740.0,681.5,700.3,1374059,590546,42.97821272594554
2020-11-15,708.0,713.85,679.0,702.95,1097148,462498,42.15456802546238
2020-11-22,706.0,706.9,685.0,696.8,711196,372159,52.32861264686528
2020-11-29,699.7,746.95,691.55,723.0,1761410,696401,39.53656445688397
2020-12-06,729.0,834.5,712.75,820.95,3624595,1580559,43.606499484770026
2020-12-13,830.0,885.9,780.0,796.25,2712361,1125824,41.507159260880094
2020-12-20,810.0,832.95,769.0,773.7,1025719,473471,46.15991319259953
2020-12-27,785.0,875.0,730.3,865.45,3397835,1311027,38.5841866953516
2021-01-03,873.9,897.9,838.85,851.8,2399629,959850,39.999933323026184
2021-01-10,857.0,955.8,845.95,928.8,4063442,1851582,45.56683717892368
2021-01-17,940.0,1010.0,903.7,976.2,3734712,1665035,44.58268803591817
2021-01-24,974.9,996.9,917.95,934.0,2424954,1258726,51.90721143576332
2021-01-31,944.55,948.95,875.55,891.4,1429974,601954,42.09545068651598
2021-02-07,882.0,1046.95,870.0,1025.6,2021302,742554,36.73642038646378
2021-02-14,,,,,0,0,
2021-02-21,851.95,854.95,742.0,772.7,413724,294762,71.24604809003104
2021-02-28,775.0,785.35,638.3,769.6,449476,227517,50.6182755030302
2021-03-07,777.7,806.7,746.2,759.6,677156,402430,59.429437234551564
2021-03-14,764.05,799.8,745.0,784.0,351521,193599,55.07466125779115
2021-03-21,776.9,780.0,697.2,712.8,598753,375615,62.73287983525761
2021-03-28,723.9,724.05,634.1,664.45,1404198,984738,70.1281443215273
2021-04-04,681.55,722.0,668.9,712.7,458241,277323,60.51902819695313
2021-04-11,712.9,741.95,685.6,735.95,854827,447924,52.39937437633579
2021-04-18,751.0,793.05,706.7,723.25,1086337,372906,34.32691696959599
2021-04-25,730.0,834.0,722.0,791.7,5409751,1145266,21.1704013733719
2021-05-02,796.0,824.5,770.0,798.5,1417872,592652,41.79869550989088
2021-05-09,798.5,847.6,783.05,836.0,1796231,796922,44.3663426363313
2021-05-16,845.5,869.85,808.25,820.9,1709796,992787,58.06464630868244
2021-05-23,827.0,857.95,808.55,845.5,1283163,822070,64.06590589036622
2021-05-30,863.0,925.0,826.0,881.6,2290366,1058652,46.22195753866413
2021-06-06,883.0,889.45,825.0,836.5,1380004,733344,53.14071553415787
2021-06-13,795.0,809.9,756.1,772.3,2703039,1490221,55.13131701022442
2021-06-20,776.0,779.0,730.0,733.7,1705156,918924,53.890904996375696
2021-06-27,730.0,764.95,726.6,739.15,993717,474084,47.7081503083876
2021-07-04,745.0,747.0,711.0,722.9,1589010,739836,46.559555949931095
2021-07-11,726.0,742.9,720.1,730.5,672446,387925,57.688647118132906
2021-07-18,736.8,767.0,699.0,713.8,4753266,2373132,49.92634538020805
2021-07-25,717.0,725.0,690.0,697.1,1480911,831873,56.17305834044044
2021-08-01,715.0,715.0,659.05,686.6,1898478,1019225,53.68642670602451
2021-08-08,695.0,695.0,650.55,667.7,1029978,580988,56.40780676868826
2021-08-15,673.9,674.4,605.0,646.4,1518554,688409,45.333191970782735
2021-08-22,651.4,651.4,606.6,608.7,766368,378576,49.39872228485532
2021-08-29,617.3,644.35,585.05,621.1,2114051,877774,41.52094722407359
2021-09-05,628.0,677.85,627.85,646.35,1637183,769244,46.985828706992436
2021-09-12,651.05,655.0,628.7,631.1,493427,254603,51.598919394358234
2021-09-19,632.0,635.0,608.0,614.35,1722444,1193984,69.31917670472886
2021-09-26,616.0,627.0,596.05,617.6,809285,438450,54.177452936851665
2021-10-03,618.0,639.6,604.15,628.5,1131220,711912,62.93311645833701
2021-10-10,635.5,649.95,620.05,630.6,1039400,594731,57.218683856070804
2021-10-17,635.6,648.8,621.0,625.15,740617,439375,59.32553533067699
2021-10-24,630.0,655.5,593.05,604.2,1594186,759327,47.63101670695891
2021-10-31,600.05,612.0,585.05,596.2,876110,503521,57.47234936252297
2021-11-07,610.0,620.0,595.0,611.1,300422,158637,52.80472135862221
2021-11-14,620.0,626.0,605.0,611.55,446385,255955,57.339516336794475
2021-11-21,614.9,623.0,596.0,610.8,448872,268320,59.776506442816654
2021-11-28,618.0,618.0,585.65,597.1,491826,225655,45.881063628193715
2021-12-05,595.1,602.75,575.0,597.6,486960,254717,52.30758173155906
2021-12-12,599.0,605.75,579.65,600.6,383374,196629,51.289080636662895
2021-12-19,608.7,614.35,578.35,583.6,667090,339889,50.95099611746541
2021-12-26,583.0,587.1,557.0,575.75,384700,209235,54.3891343904341
2022-01-02,575.0,595.95,564.35,586.6,360762,152621,42.30517626579296
2022-01-09,593.45,594.8,587.65,590.15,44273,24081,54.39206739999548
