Date,Symbol,Open,High,Low,Close,Volume,Deliverable Volume
2021-08-23,KAJARIACER,1093.15,1096.35,1048.0,1083.95,320601,160497
2021-08-24,KAJARIACER,1083.95,1115.0,1075.1,1088.45,475908,338537
2021-08-25,KAJARIACER,1107.2,1115.0,1081.05,1087.25,164245,81230
2021-08-26,KAJARIACER,1095.25,1169.9,1095.25,1163.35,1090756,349004
2021-08-27,KAJARIACER,1162.95,1219.9,1161.0,1185.05,1797097,616468
2021-08-30,KAJARIACER,1189.0,1203.4,1156.3,1166.2,339795,148856
2021-08-31,KAJARIACER,1166.2,1192.25,1145.55,1175.2,298286,142058
2021-09-01,KAJARIACER,1185.8,1190.5,1150.3,1159.35,185783,86960
2021-09-02,KAJARIACER,1166.95,1228.9,1162.5,1200.65,683815,233052
2021-09-03,KAJARIACER,1210.9,1210.9,1180.05,1198.25,214284,106222
2021-09-06,KAJARIACER,1198.0,1203.85,1175.1,1178.75,140573,69104
2021-09-07,KAJARIACER,1192.0,1202.0,1180.0,1182.15,253075,108570
2021-09-08,KAJARIACER,1185.0,1210.0,1171.15,1196.45,137044,83536
2021-09-09,KAJARIACER,1196.0,1196.0,1180.1,1188.25,121362,88848
2021-09-13,KAJARIACER,1188.0,1188.0,1165.55,1172.7,136134,78004
2021-09-14,KAJARIACER,1172.7,1180.0,1155.55,1163.7,137985,90893
2021-09-15,KAJARIACER,1168.6,1168.7,1142.1,1149.75,163355,113788
2021-09-16,KAJARIACER,1160.0,1187.75,1142.5,1180.2,353985,200358
2021-09-17,KAJARIACER,1187.95,1187.95,1150.0,1155.0,287057,191200
2021-09-20,KAJARIACER,1155.0,1171.2,1135.1,1140.45,146790,82104
2021-09-21,KAJARIACER,1140.0,1152.2,1116.1,1123.85,169846,110646
2021-09-22,KAJARIACER,1125.0,1182.9,1125.0,1178.95,210381,123617
2021-09-23,KAJARIACER,1184.0,1184.4,1147.1,1167.0,215289,129605
2021-09-24,KAJARIACER,1188.0,1265.8,1174.0,1242.15,1283982,437471
2021-09-27,KAJARIACER,1262.7,1270.0,1217.1,1227.65,546725,211686
2021-09-28,KAJARIACER,1231.5,1238.25,1184.1,1194.65,321182,201896
2021-09-29,KAJARIACER,1199.5,1205.0,1169.0,1187.8,363065,203867
2021-09-30,KAJARIACER,1190.1,1210.0,1179.1,1197.0,508153,392160
2021-10-01,KAJARIACER,1192.85,1217.95,1171.1,1199.35,950662,769918
2021-10-04,KAJARIACER,1217.05,1223.0,1179.4,1196.9,372406,215455
2021-10-05,KAJARIACER,1184.0,1212.0,1183.0,1204.5,287794,183656
2021-10-06,KAJARIACER,1205.0,1254.9,1205.0,1225.55,639717,378537
2021-10-07,KAJARIACER,1244.85,1274.9,1235.5,1250.95,341604,193699
2021-10-08,KAJARIACER,1253.65,1259.8,1232.0,1242.7,153213,81631
2021-10-11,KAJARIACER,1246.0,1298.0,1244.05,1286.2,408930,243858
2021-10-12,KAJARIACER,1292.0,1296.3,1239.0,1268.95,258392,142766
2021-10-13,KAJARIACER,1278.0,1286.8,1239.1,1247.4,295450,162777
2021-10-14,KAJARIACER,1264.0,1317.9,1251.5,1303.7,485070,233266
2021-10-18,KAJARIACER,1318.0,1337.5,1300.0,1331.05,276712,156755
2021-10-19,KAJARIACER,1341.0,1355.0,1280.0,1291.0,335873,180538
2021-10-20,KAJARIACER,1285.0,1289.25,1212.25,1255.15,474692,259345
2021-10-21,KAJARIACER,1255.0,1274.95,1195.0,1250.35,783739,456961
2021-10-22,KAJARIACER,1261.85,1264.05,1175.15,1226.3,1016551,409382
2021-10-25,KAJARIACER,1276.5,1276.5,1202.3,1233.2,775729,537198
2021-10-26,KAJARIACER,1233.9,1275.0,1230.0,1269.15,462350,273615
2021-10-27,KAJARIACER,1275.0,1287.1,1217.1,1226.35,251205,143840
2021-10-28,KAJARIACER,1238.0,1239.2,1192.0,1201.25,228220,152818
2021-10-29,KAJARIACER,1207.3,1239.6,1185.15,1221.25,329400,182465
2021-11-01,KAJARIACER,1234.0,1245.0,1216.2,1221.6,144188,64674
2021-11-02,KAJARIACER,1225.0,1227.75,1200.2,1211.25,220326,136609
2021-11-03,KAJARIACER,1214.3,1229.0,1190.0,1203.1,181370,111652
2021-11-04,KAJARIACER,1205.0,1229.9,1205.0,1225.65,30748,21298
2021-11-08,KAJARIACER,1220.0,1227.55,1205.45,1215.9,138630,79655
2021-11-09,KAJARIACER,1218.8,1239.9,1217.45,1229.25,106755,56862
2021-11-10,KAJARIACER,1229.0,1236.95,1216.95,1225.4,274225,173329
2021-11-11,KAJARIACER,1226.0,1230.95,1190.5,1203.05,276511,203807
2021-11-12,KAJARIACER,1215.35,1215.4,1176.85,1194.4,223860,145785
2021-11-15,KAJARIACER,1206.0,1207.0,1144.0,1167.25,355013,236209
2021-11-16,KAJARIACER,1165.0,1180.0,1163.8,1178.05,249300,180746
2021-11-17,KAJARIACER,1173.0,1180.0,1167.1,1175.25,153536,114381
2021-11-18,KAJARIACER,1180.0,1180.0,1135.0,1170.4,200477,116224
2021-11-22,KAJARIACER,1170.4,1176.2,1083.2,1115.6,395171,237238
2021-11-23,KAJARIACER,1061.35,1140.65,1061.35,1135.25,479942,345432
2021-11-24,KAJARIACER,1140.7,1144.0,1111.1,1118.1,170590,109040
2021-11-25,KAJARIACER,1148.0,1152.9,1116.5,1143.5,327659,230403
2021-11-26,KAJARIACER,1121.1,1134.05,1101.1,1115.4,226817,147903
2021-11-29,KAJARIACER,1100.0,1140.0,1045.85,1133.3,745066,585038
2021-11-30,KAJARIACER,1141.0,1151.2,1108.4,1141.1,226952,143927
2021-12-01,KAJARIACER,1133.15,1133.15,1105.0,1124.1,166445,105066
2021-12-02,KAJARIACER,1124.0,1143.95,1121.4,1133.45,92948,52896
2021-12-03,KAJARIACER,1138.7,1144.0,1116.0,1125.7,100328,53531
2021-12-06,KAJARIACER,1134.7,1134.7,1095.6,1114.45,136046,71000
2021-12-07,KAJARIACER,1115.05,1131.65,1102.7,1125.25,139293,71318
2021-12-08,KAJARIACER,1131.0,1184.9,1122.65,1174.05,505494,323191
2021-12-09,KAJARIACER,1185.0,1204.7,1170.0,1177.7,196154,75876
2021-12-10,KAJARIACER,1181.5,1181.5,1159.5,1171.0,60888,27187
2021-12-13,KAJARIACER,1183.1,1212.0,1167.1,1179.65,290338,172115
2021-12-14,KAJARIACER,1181.95,1213.0,1180.25,1203.65,182735,66997
2021-12-15,KAJARIACER,1210.35,1210.35,1185.0,1205.6,64013,34957
2021-12-16,KAJARIACER,1206.0,1228.0,1202.55,1223.1,160846,61012
2021-12-17,KAJARIACER,1227.5,1246.9,1204.55,1239.05,335328,181502
2021-12-20,KAJARIACER,1225.0,1229.85,1170.0,1200.9,472740,395128
2021-12-21,KAJARIACER,1204.2,1231.0,1204.2,1224.8,182772,131193
2021-12-22,KAJARIACER,1223.85,1241.3,1220.0,1228.4,128839,94398
2021-12-23,KAJARIACER,1229.5,1234.55,1215.8,1227.8,141194,101934
2021-12-24,KAJARIACER,1236.0,1240.0,1205.05,1220.7,168074,106479
2021-12-27,KAJARIACER,1223.7,1224.0,1195.95,1200.05,84790,50802
2021-12-28,KAJARIACER,1202.0,1229.0,1190.0,1219.55,115726,59997
2021-12-29,KAJARIACER,1220.0,1237.0,1210.0,1234.1,86802,48555
2021-12-30,KAJARIACER,1233.0,1289.9,1220.05,1284.9,462511,170173
2021-12-31,KAJARIACER,1289.95,1299.0,1280.0,1289.95,155642,64589
2022-01-03,KAJARIACER,1295.0,1322.9,1280.15,1315.3,402869,222843
2022-01-04,KAJARIACER,1315.3,1318.75,1296.0,1310.3,114867,52064
2022-01-05,KAJARIACER,1316.1,1329.9,1301.5,1324.9,200678,84634
2022-01-06,KAJARIACER,1330.0,1344.9,1315.0,1340.05,374621,150991
2022-01-07,KAJARIACER,1340.05,1359.9,1328.1,1356.3,389952,209049
2022-01-10,KAJARIACER,1365.0,1374.9,1325.15,1347.8,343640,177352
2022-01-11,KAJARIACER,1350.0,1361.9,1337.45,1348.8,255753,180087
2022-01-12,KAJARIACER,1348.8,1360.0,1329.9,1352.2,175258,112149
2022-01-13,KAJARIACER,1358.7,1359.9,1313.5,1358.95,188365,99702
2022-01-14,KAJARIACER,1328.95,1368.95,1328.95,1360.55,202229,135503
2022-01-17,KAJARIACER,1360.55,1374.55,1352.0,1357.9,227211,159673
2022-01-18,KAJARIACER,1370.0,1370.0,1344.15,1364.9,183208,113163
2022-01-19,KAJARIACER,1364.9,1372.0,1338.1,1363.55,217285,105956
2022-01-20,KAJARIACER,1363.0,1368.95,1335.1,1347.45,131779,86201
2022-01-21,KAJARIACER,1347.95,1350.8,1227.95,1267.2,892656,592809
2022-01-24,KAJARIACER,1270.0,1286.15,1209.1,1228.5,597860,285698
2022-01-25,KAJARIACER,1175.1,1268.2,1175.1,1255.85,465551,362117
2022-01-27,KAJARIACER,1260.0,1282.0,1239.95,1274.3,192042,103099
2022-01-28,KAJARIACER,1281.0,1319.95,1281.0,1316.8,137793,82234
2022-01-31,KAJARIACER,1316.8,1341.95,1291.25,1337.55,234714,153155
2022-02-01,KAJARIACER,1351.5,1351.5,1322.1,1336.7,101913,58394
2022-02-02,KAJARIACER,1340.0,1340.0,1307.35,1320.75,77396,31916
2022-02-03,KAJARIACER,1329.75,1351.95,1291.1,1296.6,152268,58907
2022-02-04,KAJARIACER,1300.0,1307.55,1272.1,1284.95,67397,24356
2022-02-07,KAJARIACER,1270.0,1284.95,1255.55,1277.85,83718,39158
2022-02-08,KAJARIACER,1284.6,1306.0,1260.05,1276.3,72452,32156
2022-02-09,KAJARIACER,1276.3,1300.0,1256.55,1277.6,283636,204991
2022-02-10,KAJARIACER,1277.0,1284.15,1256.55,1274.9,109696,64038
2022-02-11,KAJARIACER,1260.0,1276.95,1245.1,1270.25,67469,35498
2022-02-14,KAJARIACER,1259.0,1259.0,1215.05,1246.15,120899,68173
2022-02-15,KAJARIACER,1252.7,1281.9,1217.4,1264.55,72459,32567
2022-02-16,KAJARIACER,1282.5,1282.5,1256.0,1273.55,43609,19848
2022-02-17,KAJARIACER,1273.0,1274.55,1236.15,1264.95,132135,67894
2022-02-18,KAJARIACER,1254.0,1274.9,1248.7,1261.1,35991,11357
2022-02-21,KAJARIACER,1240.05,1260.0,1230.75,1256.3,37831,13939
2022-02-22,KAJARIACER,1150.0,1257.95,1150.0,1236.15,118797,49940
2022-02-23,KAJARIACER,1224.9,1237.75,1175.55,1189.55,213991,117376
2022-02-24,KAJARIACER,1118.0,1183.95,1111.5,1122.15,159933,89434
2022-02-25,KAJARIACER,1112.5,1141.35,1107.1,1123.45,627221,424224
2022-02-28,KAJARIACER,1124.9,1127.6,1075.1,1081.25,460964,329936
2022-03-02,KAJARIACER,1075.0,1097.15,1014.05,1038.6,565285,391847
2022-03-03,KAJARIACER,1040.0,1051.2,951.65,964.6,1021320,583281
2022-03-04,KAJARIACER,934.0,964.6,907.1,953.7,868467,492572
2022-03-07,KAJARIACER,930.7,953.55,907.0,914.45,324138,177316
